"name","leesL","leesL_expectation","leesL_pvalue","alternative"
"AGO",0.0538062619887247,0.0205674386749929,5.89839459573882e-15,"two.sided"
"GRC",-0.136424398408295,-0.0346505813248193,8.76731499305251e-84,"two.sided"
"KHM",0.0382904377866419,0.0053658223843701,1.45391549657142e-07,"two.sided"
"UKR",-0.0140431822228845,-0.00523180717727731,9.12952010495065e-05,"two.sided"
"PHL",-0.0246032619953074,-0.0103609000390617,4.8001901310947e-05,"two.sided"
"URY",-0.0393620576751899,-0.0179277170555142,7.3632864899019e-08,"two.sided"
"ALB",0.0538062619887247,0.0205674386749929,5.89839459573882e-15,"two.sided"
"CHL",0.0149985415410344,-0.00568304544204398,7.2463803120369e-17,"two.sided"
"HTI",-0.0130200681892956,-0.00798423380455887,0.620563724002327,"two.sided"
"KWT",0.0932214215939977,0.0231942769725262,2.93784872685591e-05,"two.sided"
"QAT",0.134347715830075,0.0400716126136975,3.63263345092867e-08,"two.sided"
"MAR",-0.0568454873093504,-0.0135787554538393,1.16028531882704e-34,"two.sided"
"ROU",-0.0445690390184666,-0.0154510861723465,4.36130673700934e-15,"two.sided"
"VEN",-0.0318250137714746,-0.017993401362122,5.53538946395616e-05,"two.sided"
"COL",-0.114892107143341,-0.0616191373050402,7.75728160178447e-102,"two.sided"
"IRQ",0.0238566784079475,-0.000463704057185443,7.70825388115312e-09,"two.sided"
"MEX",-0.0881327265743822,-0.0181509146282617,0,"two.sided"
"SRB",-0.0118947361460735,-0.00963782798936591,0.730612670174472,"two.sided"
"VNM",-0.0295207253142875,-0.000964458814892585,1.85652802897794e-16,"two.sided"
"MMR",0.0217856640739346,-0.00166438609125195,2.33574529939555e-09,"two.sided"
"TCD",0.118524993960277,0.0425043651534367,1.09087638849402e-97,"two.sided"
"ZAF",-0.129137280034257,-0.0383561581280011,0,"two.sided"
"DOM",0.0171201660051475,0.000607104916281567,0.0426909200731512,"two.sided"
"PER",-0.0443296952631362,-0.0181445863235377,2.98287969769749e-19,"two.sided"
"MYS",0.0176824764458511,-0.00476810088239177,3.20286188663163e-09,"two.sided"
"THA",0.298551186965223,0.0613732986283677,0,"two.sided"
"ARE",0.0244863168379015,-0.000243666583688847,0.0121287717685887,"two.sided"
"ECU",0.0343858510066853,-0.00322984996603056,1.53122749280327e-13,"two.sided"
"IRN",-0.00393824659012199,-0.00830764926810803,0.0410740112685297,"two.sided"
"PAK",-0.0212363890885353,-0.00841772771623757,0.000107962196903553,"two.sided"
"TZA",0.0176192297482793,0.000545855033883468,2.58478406968624e-08,"two.sided"
"EGY",0.030264901693364,0.0119853750675805,0.00053766618239318,"two.sided"
