,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,Apple,GEOMETRY,['highway'],11452,0.472,0.472,24,0.304
1,t0,Apple,CREATED,['highway'],5950,0.245,0.718,16,0.203
2,t0,Apple,GEOMETRY,['waterway'],1753,0.072,0.79,30,0.38
3,t0,Apple,TAG,['highway'],1545,0.064,0.854,23,0.291
4,t0,Apple,TAG_GEOMETRY,['highway'],531,0.022,0.876,13,0.165
5,t0,Apple,GEOMETRY,['other'],497,0.02,0.896,24,0.304
6,t0,Apple,GEOMETRY,['natural'],276,0.011,0.907,18,0.228
7,t0,Apple,CREATED,['waterway'],217,0.009,0.916,19,0.241
8,t0,Apple,NONE,['other'],167,0.007,0.923,19,0.241
9,t0,Amazon,CREATED,['highway'],154,0.006,0.93,2,0.025
10,t0,Apple,NONE,['building'],153,0.006,0.936,1,0.013
11,t0,Apple,GEOMETRY,['aeroway'],107,0.004,0.94,2,0.025
12,t0,Apple,GEOMETRY,['water' 'natural'],93,0.004,0.944,11,0.139
13,t0,Apple,NONE,['highway'],88,0.004,0.948,11,0.139
14,t0,Amazon,CREATED,['building'],87,0.004,0.955,1,0.013
15,t0,Apple,TAG_GEOMETRY,['other'],87,0.004,0.955,16,0.203
16,t0,Apple,GEOMETRY,['building'],85,0.004,0.958,9,0.114
17,t0,Apple,DELETED,['highway'],79,0.003,0.962,8,0.101
18,t0,Apple,CREATED,['other'],68,0.003,0.965,13,0.165
19,t0,Apple,GEOMETRY,['barrier'],67,0.003,0.967,2,0.025
0,t1,Apple,CREATED,['other'],30309,0.388,0.388,19,0.086
1,t1,Apple,DELETED,['other'],24680,0.316,0.705,3,0.014
2,t1,TomTom,GEOMETRY,['highway'],7122,0.091,0.796,53,0.239
3,t1,Apple,GEOMETRY,['highway'],4613,0.059,0.855,96,0.432
4,t1,TomTom,CREATED,['highway'],3663,0.047,0.902,47,0.212
5,t1,Apple,CREATED,['highway'],1559,0.02,0.922,69,0.311
6,t1,Apple,TAG,['highway'],1060,0.014,0.935,58,0.261
7,t1,Apple,GEOMETRY,['building'],491,0.006,0.942,30,0.135
8,t1,Microsoft,TAG,['highway'],428,0.005,0.947,11,0.05
9,t1,Apple,TAG_GEOMETRY,['highway'],288,0.004,0.951,47,0.212
10,t1,TomTom,DELETED,['highway'],260,0.003,0.954,24,0.108
11,t1,TomTom,TAG,['highway'],247,0.003,0.957,31,0.14
12,t1,Microsoft,CREATED,['highway'],245,0.003,0.96,10,0.045
13,t1,TomTom,GEOMETRY,['building'],238,0.003,0.964,22,0.099
14,t1,Apple,NONE,['other'],233,0.003,0.967,24,0.108
15,t1,Apple,DELETED,['highway'],226,0.003,0.969,28,0.126
16,t1,Apple,TAG,['other'],184,0.002,0.972,16,0.072
17,t1,Microsoft,GEOMETRY,['highway'],165,0.002,0.974,10,0.045
18,t1,Meta,GEOMETRY,['building'],140,0.002,0.976,7,0.032
19,t1,Apple,GEOMETRY,['aeroway'],112,0.001,0.977,16,0.072
0,t0,nc,CREATED,['building'],221880,0.487,0.487,594,0.548
1,t0,nc,GEOMETRY,['highway'],56095,0.123,0.61,540,0.498
2,t0,nc,CREATED,['highway'],33517,0.074,0.684,368,0.339
3,t0,nc,TAG,['highway'],19699,0.043,0.727,161,0.149
4,t0,nc,GEOMETRY,['building'],14114,0.031,0.758,339,0.313
5,t0,nc,NONE,['building'],9797,0.022,0.779,85,0.078
6,t0,nc,TAG,['other'],9604,0.021,0.801,62,0.057
7,t0,nc,CREATED,['natural'],7283,0.016,0.817,95,0.088
8,t0,nc,CREATED,['barrier'],6984,0.015,0.832,44,0.041
9,t0,nc,DELETED,['building'],6194,0.014,0.845,146,0.135
10,t0,nc,TAG_GEOMETRY,['highway'],5455,0.012,0.857,141,0.13
11,t0,nc,GEOMETRY,['waterway'],5138,0.011,0.869,153,0.141
12,t0,nc,TAG,['building'],4872,0.011,0.879,87,0.08
13,t0,nc,DELETED,['highway'],4056,0.009,0.888,112,0.103
14,t0,nc,CREATED,['waterway'],3516,0.008,0.896,106,0.098
15,t0,nc,CREATED,['power'],3262,0.007,0.903,15,0.014
16,t0,nc,CREATED,['other'],3091,0.007,0.91,153,0.141
17,t0,nc,NONE,['other'],2863,0.006,0.916,99,0.091
18,t0,nc,CREATED,['landuse'],2408,0.005,0.922,132,0.122
19,t0,nc,CREATED,['amenity'],1901,0.004,0.926,127,0.117
0,t1,nc,CREATED,['building'],163923,0.529,0.529,529,0.629
1,t1,nc,TAG,['highway'],19559,0.063,0.592,74,0.088
2,t1,nc,GEOMETRY,['highway'],18945,0.061,0.653,278,0.331
3,t1,nc,CREATED,['highway'],16615,0.054,0.706,140,0.166
4,t1,nc,GEOMETRY,['building'],15291,0.049,0.756,200,0.238
5,t1,nc,DELETED,['building'],9703,0.031,0.787,123,0.146
6,t1,nc,CREATED,['landuse'],6111,0.02,0.807,162,0.193
7,t1,nc,CREATED,['waterway'],4458,0.014,0.821,58,0.069
8,t1,nc,CREATED,['natural'],4169,0.013,0.834,61,0.073
9,t1,nc,DELETED,['highway'],3866,0.012,0.847,42,0.05
10,t1,nc,TAG_GEOMETRY,['highway'],3573,0.012,0.858,56,0.067
11,t1,nc,CREATED,['barrier'],2933,0.009,0.868,23,0.027
12,t1,nc,CREATED,['other'],2337,0.008,0.875,67,0.08
13,t1,nc,GEOMETRY,['landuse'],1945,0.006,0.882,150,0.178
14,t1,nc,CREATED,['power'],1940,0.006,0.888,11,0.013
15,t1,nc,TAG,['building'],1877,0.006,0.894,55,0.065
16,t1,nc,GEOMETRY,['waterway'],1673,0.005,0.899,62,0.074
17,t1,nc,TAG,['waterway'],1667,0.005,0.905,30,0.036
18,t1,nc,NONE,['building'],1545,0.005,0.91,50,0.059
19,t1,nc,CREATED,['place'],1414,0.005,0.914,24,0.029
