,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,Kaart,GEOMETRY,['highway'],16874,0.177,0.177,39,0.358
1,t0,Kaart,TAG,['highway'],14703,0.154,0.331,35,0.321
2,t0,Kaart,CREATED,['highway'],11650,0.122,0.454,37,0.339
3,t0,Apple,GEOMETRY,['highway'],11243,0.118,0.572,39,0.358
4,t0,Apple,GEOMETRY,['building'],7907,0.083,0.655,18,0.165
5,t0,Kaart,TAG_GEOMETRY,['highway'],4552,0.048,0.702,34,0.312
6,t0,Apple,CREATED,['highway'],3304,0.035,0.737,26,0.239
7,t0,Kaart,CREATED,['building'],2946,0.031,0.768,20,0.183
8,t0,Kaart,NONE,['highway'],1887,0.02,0.788,36,0.33
9,t0,Apple,TAG_GEOMETRY,['highway'],1768,0.019,0.806,19,0.174
10,t0,Apple,TAG,['highway'],1562,0.016,0.823,23,0.211
11,t0,Apple,GEOMETRY,['waterway'],1184,0.012,0.835,35,0.321
12,t0,Apple,NONE,['other'],1129,0.012,0.847,28,0.257
13,t0,Kaart,GEOMETRY,['building'],1095,0.011,0.859,23,0.211
14,t0,Kaart,DELETED,['highway'],952,0.01,0.869,29,0.266
15,t0,Kaart,DELETED,['building'],831,0.009,0.877,13,0.119
16,t0,Kaart,TAG,['building'],792,0.008,0.886,21,0.193
17,t0,Kaart,CREATED,['shop'],706,0.007,0.893,17,0.156
18,t0,Kaart,CREATED,['amenity'],692,0.007,0.9,17,0.156
19,t0,Apple,GEOMETRY,['other'],622,0.007,0.907,32,0.294
0,t1,Kaart,GEOMETRY,['highway'],2985,0.266,0.266,27,0.239
1,t1,Kaart,CREATED,['highway'],1999,0.178,0.444,24,0.212
2,t1,Apple,GEOMETRY,['highway'],1402,0.125,0.569,34,0.301
3,t1,Apple,CREATED,['highway'],703,0.063,0.632,25,0.221
4,t1,Kaart,TAG,['highway'],487,0.043,0.675,18,0.159
5,t1,Kontur,CREATED,['building'],411,0.037,0.712,2,0.018
6,t1,Kontur,NONE,['other'],374,0.033,0.745,1,0.009
7,t1,Apple,TAG,['highway'],260,0.023,0.768,23,0.204
8,t1,Kaart,TAG_GEOMETRY,['highway'],215,0.019,0.787,18,0.159
9,t1,Kaart,NONE,['highway'],204,0.018,0.805,17,0.15
10,t1,Kontur,CREATED,['highway'],190,0.017,0.822,2,0.018
11,t1,Kontur,GEOMETRY,['highway'],135,0.012,0.834,2,0.018
12,t1,Kaart,DELETED,['highway'],124,0.011,0.845,12,0.106
13,t1,Apple,GEOMETRY,['building'],114,0.01,0.856,11,0.097
14,t1,RocketData,CREATED,['office' 'shop'],108,0.01,0.865,1,0.009
15,t1,Kaart,NONE,['other'],104,0.009,0.874,10,0.088
16,t1,Apple,TAG_GEOMETRY,['highway'],90,0.008,0.882,18,0.159
17,t1,Kaart,CREATED,['other'],88,0.008,0.89,9,0.08
18,t1,Apple,CREATED,['building'],68,0.006,0.896,5,0.044
19,t1,Kaart,CREATED,['barrier'],67,0.006,0.902,8,0.071
0,t0,nc,CREATED,['building'],95282,0.24,0.24,459,0.393
1,t0,nc,GEOMETRY,['highway'],82371,0.208,0.448,426,0.365
2,t0,nc,GEOMETRY,['building'],55628,0.14,0.589,293,0.251
3,t0,nc,CREATED,['highway'],43424,0.11,0.698,258,0.221
4,t0,nc,TAG,['highway'],28385,0.072,0.77,164,0.141
5,t0,nc,TAG,['building'],13627,0.034,0.804,85,0.073
6,t0,nc,TAG_GEOMETRY,['highway'],11099,0.028,0.832,115,0.099
7,t0,nc,NONE,['highway'],7664,0.019,0.852,111,0.095
8,t0,nc,NONE,['other'],5447,0.014,0.865,89,0.076
9,t0,nc,DELETED,['building'],5162,0.013,0.878,155,0.133
10,t0,nc,CREATED,['landuse'],3713,0.009,0.888,111,0.095
11,t0,nc,CREATED,['natural'],2845,0.007,0.895,87,0.075
12,t0,nc,CREATED,['amenity'],2411,0.006,0.901,237,0.203
13,t0,nc,GEOMETRY,['landuse'],2256,0.006,0.907,215,0.184
14,t0,nc,CREATED,['power'],2225,0.006,0.912,13,0.011
15,t0,nc,CREATED,['shop'],1978,0.005,0.917,116,0.099
16,t0,nc,NONE,['building'],1869,0.005,0.922,94,0.081
17,t0,nc,DELETED,['highway'],1744,0.004,0.927,105,0.09
18,t0,nc,CREATED,['barrier'],1481,0.004,0.93,41,0.035
19,t0,nc,CREATED,['waterway'],1446,0.004,0.934,59,0.051
0,t1,nc,CREATED,['building'],31738,0.249,0.249,179,0.214
1,t1,nc,TAG,['highway'],23209,0.182,0.431,188,0.225
2,t1,nc,TAG,['building'],12044,0.094,0.525,96,0.115
3,t1,nc,GEOMETRY,['highway'],9047,0.071,0.596,217,0.259
4,t1,nc,CREATED,['highway'],8363,0.066,0.662,179,0.214
5,t1,nc,NONE,['highway'],3304,0.026,0.688,101,0.121
6,t1,nc,CREATED,['amenity'],3211,0.025,0.713,224,0.268
7,t1,nc,GEOMETRY,['building'],2283,0.018,0.731,86,0.103
8,t1,nc,TAG_GEOMETRY,['highway'],2196,0.017,0.748,90,0.108
9,t1,nc,CREATED,['natural'],2192,0.017,0.765,83,0.099
10,t1,nc,CREATED,['shop'],2168,0.017,0.783,88,0.105
11,t1,nc,TAG,['amenity'],2000,0.016,0.798,131,0.157
12,t1,nc,DELETED,['highway'],1688,0.013,0.811,81,0.097
13,t1,nc,CREATED,['landuse'],1245,0.01,0.821,70,0.084
14,t1,nc,TAG,['shop'],1025,0.008,0.829,60,0.072
15,t1,nc,CREATED,['barrier'],979,0.008,0.837,47,0.056
16,t1,nc,CREATED,['other'],893,0.007,0.844,73,0.087
17,t1,nc,GEOMETRY,['landuse'],869,0.007,0.851,93,0.111
18,t1,nc,TAG,['public_transport' 'highway'],798,0.006,0.857,28,0.033
19,t1,nc,DELETED,['building'],752,0.006,0.863,42,0.05
