,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,Kaart,GEOMETRY,['highway'],35255,0.288,0.288,32,0.222
1,t0,Kaart,CREATED,['highway'],25452,0.208,0.496,32,0.222
2,t0,Kaart,TAG,['highway'],16535,0.135,0.631,33,0.229
3,t0,Kaart,TAG_GEOMETRY,['highway'],4555,0.037,0.668,31,0.215
4,t0,Amazon,CREATED,['highway'],4277,0.035,0.703,9,0.063
5,t0,Apple,NONE,['other'],3453,0.028,0.732,39,0.271
6,t0,DigitalEgypt,TAG,['highway'],3410,0.028,0.759,1,0.007
7,t0,Kaart,DELETED,['highway'],2862,0.023,0.783,31,0.215
8,t0,Kaart,NONE,['other'],2490,0.02,0.803,30,0.208
9,t0,Amazon,GEOMETRY,['highway'],2384,0.019,0.823,9,0.063
10,t0,Kaart,NONE,['highway'],2319,0.019,0.842,31,0.215
11,t0,Apple,GEOMETRY,['highway'],2305,0.019,0.86,52,0.361
12,t0,Apple,GEOMETRY,['aeroway'],1348,0.011,0.871,6,0.042
13,t0,Apple,CREATED,['highway'],931,0.008,0.879,38,0.264
14,t0,Kaart,CREATED,['other'],926,0.008,0.887,29,0.201
15,t0,Amazon,CREATED,['barrier'],722,0.006,0.892,7,0.049
16,t0,Apple,GEOMETRY,['natural'],633,0.005,0.898,49,0.34
17,t0,Apple,TAG,['highway'],512,0.004,0.902,20,0.139
18,t0,Kaart,CREATED,['barrier'],463,0.004,0.906,21,0.146
19,t0,Kaart,GEOMETRY,['building'],447,0.004,0.909,23,0.16
0,t1,Apple,CREATED,['building'],392804,0.242,0.242,81,0.303
1,t1,DigitalEgypt,GEOMETRY,['highway'],340995,0.21,0.453,28,0.105
2,t1,Apple,GEOMETRY,['building'],166955,0.103,0.556,94,0.352
3,t1,DigitalEgypt,TAG,['highway'],159766,0.099,0.655,29,0.109
4,t1,DigitalEgypt,DELETED,['highway'],153007,0.094,0.749,28,0.105
5,t1,DigitalEgypt,CREATED,['highway'],126484,0.078,0.827,28,0.105
6,t1,DigitalEgypt,NONE,['highway'],46632,0.029,0.856,28,0.105
7,t1,DigitalEgypt,TAG_GEOMETRY,['highway'],38601,0.024,0.88,28,0.105
8,t1,DigitalEgypt,NONE,['other'],29244,0.018,0.898,28,0.105
9,t1,Apple,NONE,['building'],15025,0.009,0.907,69,0.258
10,t1,Apple,GEOMETRY,['highway'],14533,0.009,0.916,130,0.487
11,t1,DigitalEgypt,CREATED,['barrier'],14246,0.009,0.925,28,0.105
12,t1,DigitalEgypt,GEOMETRY,['building'],12557,0.008,0.933,28,0.105
13,t1,Apple,DELETED,['building'],11920,0.007,0.94,75,0.281
14,t1,Apple,NONE,['shop'],7759,0.005,0.945,60,0.225
15,t1,Apple,NONE,['other'],7659,0.005,0.949,92,0.345
16,t1,DigitalEgypt,CREATED,['other'],7508,0.005,0.954,27,0.101
17,t1,DigitalEgypt,TAG,['other'],7099,0.004,0.959,27,0.101
18,t1,DigitalEgypt,TAG,['barrier'],5558,0.003,0.962,27,0.101
19,t1,DigitalEgypt,NONE,['barrier'],5209,0.003,0.965,28,0.105
0,t0,nc,CREATED,['building'],39500,0.166,0.166,158,0.138
1,t0,nc,CREATED,['highway'],28647,0.12,0.286,179,0.156
2,t0,nc,CREATED,['power'],24727,0.104,0.389,13,0.011
3,t0,nc,GEOMETRY,['highway'],23149,0.097,0.487,253,0.221
4,t0,nc,TAG,['highway'],21617,0.091,0.577,159,0.139
5,t0,nc,CREATED,['barrier'],9569,0.04,0.617,52,0.045
6,t0,nc,CREATED,['other'],7734,0.032,0.65,125,0.109
7,t0,nc,CREATED,['landuse'],6089,0.026,0.675,65,0.057
8,t0,nc,CREATED,['natural'],5786,0.024,0.7,45,0.039
9,t0,nc,CREATED,['waterway'],5284,0.022,0.722,14,0.012
10,t0,nc,NONE,['highway'],4725,0.02,0.742,108,0.094
11,t0,nc,TAG_GEOMETRY,['highway'],4170,0.017,0.759,87,0.076
12,t0,nc,NONE,['other'],4140,0.017,0.776,86,0.075
13,t0,nc,DELETED,['highway'],3448,0.014,0.791,94,0.082
14,t0,nc,TAG,['other'],3443,0.014,0.805,98,0.086
15,t0,nc,CREATED,['amenity'],3226,0.014,0.819,288,0.252
16,t0,nc,GEOMETRY,['building'],2936,0.012,0.831,111,0.097
17,t0,nc,TAG,['building'],2524,0.011,0.842,151,0.132
18,t0,nc,TAG,['amenity'],2143,0.009,0.851,164,0.143
19,t0,nc,CREATED,['man_made'],1651,0.007,0.858,38,0.033
0,t1,nc,CREATED,['highway'],429224,0.396,0.396,186,0.145
1,t1,nc,DELETED,['highway'],288692,0.266,0.662,105,0.082
2,t1,nc,CREATED,['other'],77082,0.071,0.733,130,0.101
3,t1,nc,CREATED,['power'],49569,0.046,0.779,23,0.018
4,t1,nc,CREATED,['building'],46147,0.043,0.821,297,0.231
5,t1,nc,TAG,['highway'],37483,0.035,0.856,208,0.162
6,t1,nc,GEOMETRY,['highway'],32431,0.03,0.886,267,0.208
7,t1,nc,TAG,['building'],16060,0.015,0.901,214,0.167
8,t1,nc,TAG,['other'],13566,0.013,0.913,124,0.097
9,t1,nc,TAG_GEOMETRY,['highway'],10456,0.01,0.923,95,0.074
10,t1,nc,GEOMETRY,['building'],6970,0.006,0.929,154,0.12
11,t1,nc,NONE,['highway'],5541,0.005,0.934,135,0.105
12,t1,nc,NONE,['other'],4790,0.004,0.939,78,0.061
13,t1,nc,CREATED,['barrier'],4333,0.004,0.943,56,0.044
14,t1,nc,DELETED,['building'],3953,0.004,0.947,79,0.062
15,t1,nc,CREATED,['natural'],3755,0.003,0.95,65,0.051
16,t1,nc,TAG,['amenity'],3281,0.003,0.953,186,0.145
17,t1,nc,CREATED,['amenity'],2689,0.002,0.955,257,0.2
18,t1,nc,CREATED,['landuse'],2184,0.002,0.957,83,0.065
19,t1,nc,CREATED,['man_made'],2057,0.002,0.959,44,0.034
