,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,Apple,GEOMETRY,['highway'],4407645,0.604,0.604,462,0.629
1,t0,Apple,CREATED,['highway'],836175,0.115,0.719,378,0.514
2,t0,Kaart,TAG,['highway'],445356,0.061,0.78,99,0.135
3,t0,Apple,TAG,['highway'],290902,0.04,0.82,377,0.513
4,t0,Apple,NONE,['other'],217111,0.03,0.85,400,0.544
5,t0,Kaart,GEOMETRY,['highway'],161717,0.022,0.872,103,0.14
6,t0,Kaart,CREATED,['highway'],144889,0.02,0.892,96,0.131
7,t0,Apple,TAG_GEOMETRY,['highway'],135374,0.019,0.91,359,0.488
8,t0,Apple,NONE,['highway'],88280,0.012,0.923,354,0.482
9,t0,Kaart,TAG_GEOMETRY,['highway'],65478,0.009,0.932,94,0.128
10,t0,Apple,GEOMETRY,['building'],40646,0.006,0.937,326,0.444
11,t0,Apple,GEOMETRY,['landuse'],37752,0.005,0.942,376,0.512
12,t0,Apple,GEOMETRY,['other'],34973,0.005,0.947,404,0.55
13,t0,Apple,CREATED,['other'],34208,0.005,0.952,356,0.484
14,t0,Apple,GEOMETRY,['natural'],27690,0.004,0.956,362,0.493
15,t0,Apple,DELETED,['highway'],25249,0.003,0.959,326,0.444
16,t0,Apple,TAG,['other'],22197,0.003,0.962,335,0.456
17,t0,Kaart,NONE,['highway'],21427,0.003,0.965,88,0.12
18,t0,Apple,GEOMETRY,['leisure'],18740,0.003,0.968,326,0.444
19,t0,Apple,GEOMETRY,['waterway'],18632,0.003,0.97,364,0.495
0,t1,Apple,GEOMETRY,['highway'],797633,0.26,0.26,505,0.535
1,t1,Kaart,TAG,['highway'],475443,0.155,0.415,91,0.096
2,t1,Kaart,CREATED,['other'],265127,0.086,0.501,50,0.053
3,t1,Kaart,GEOMETRY,['highway'],229834,0.075,0.576,85,0.09
4,t1,Kaart,CREATED,['highway'],209025,0.068,0.645,80,0.085
5,t1,Apple,CREATED,['highway'],194768,0.063,0.708,472,0.5
6,t1,Apple,GEOMETRY,['building'],98320,0.032,0.74,315,0.334
7,t1,Apple,TAG,['highway'],96124,0.031,0.771,476,0.504
8,t1,Kaart,CREATED,['building'],91901,0.03,0.801,17,0.018
9,t1,Kaart,TAG_GEOMETRY,['highway'],68744,0.022,0.824,74,0.078
10,t1,Apple,NONE,['other'],40649,0.013,0.837,390,0.413
11,t1,Apple,NONE,['highway'],32147,0.01,0.847,417,0.442
12,t1,Kaart,NONE,['highway'],31718,0.01,0.858,74,0.078
13,t1,Apple,CREATED,['barrier'],28939,0.009,0.867,345,0.365
14,t1,Apple,TAG_GEOMETRY,['highway'],26645,0.009,0.876,431,0.457
15,t1,Kaart,CREATED,['natural'],22976,0.007,0.883,10,0.011
16,t1,Kaart,NONE,['other'],18223,0.006,0.889,70,0.074
17,t1,Microsoft,TAG,['highway'],17234,0.006,0.895,23,0.024
18,t1,Kaart,TAG,['other'],15781,0.005,0.9,54,0.057
19,t1,Amazon,CREATED,['building'],13032,0.004,0.904,46,0.049
0,t0,nc,GEOMETRY,['highway'],2821983,0.235,0.235,7334,0.459
1,t0,nc,CREATED,['building'],2419861,0.202,0.437,5596,0.35
2,t0,nc,CREATED,['highway'],1232449,0.103,0.54,5039,0.315
3,t0,nc,TAG,['highway'],695141,0.058,0.598,4721,0.295
4,t0,nc,CREATED,['waterway'],617001,0.051,0.65,1088,0.068
5,t0,nc,CREATED,['natural'],497158,0.041,0.691,2156,0.135
6,t0,nc,CREATED,['other'],323165,0.027,0.718,2803,0.175
7,t0,nc,TAG,['other'],278294,0.023,0.741,1587,0.099
8,t0,nc,DELETED,['building'],256848,0.021,0.763,1629,0.102
9,t0,nc,TAG_GEOMETRY,['highway'],233967,0.02,0.782,2827,0.177
10,t0,nc,CREATED,['landuse'],227092,0.019,0.801,2588,0.162
11,t0,nc,NONE,['other'],191448,0.016,0.817,1767,0.11
12,t0,nc,GEOMETRY,['building'],172551,0.014,0.832,3114,0.195
13,t0,nc,TAG,['building'],162672,0.014,0.845,1880,0.118
14,t0,nc,NONE,['highway'],123613,0.01,0.856,2130,0.133
15,t0,nc,GEOMETRY,['waterway'],99280,0.008,0.864,1719,0.107
16,t0,nc,DELETED,['highway'],90594,0.008,0.871,2274,0.142
17,t0,nc,TAG,['natural'],90544,0.008,0.879,754,0.047
18,t0,nc,CREATED,['power'],88834,0.007,0.886,211,0.013
19,t0,nc,DELETED,['other'],76240,0.006,0.893,1114,0.07
0,t1,nc,CREATED,['building'],2255337,0.242,0.242,5491,0.373
1,t1,nc,GEOMETRY,['highway'],871984,0.094,0.336,5995,0.407
2,t1,nc,CREATED,['highway'],869285,0.093,0.429,3875,0.263
3,t1,nc,CREATED,['other'],667636,0.072,0.501,2201,0.149
4,t1,nc,TAG,['highway'],602588,0.065,0.565,3670,0.249
5,t1,nc,CREATED,['waterway'],443367,0.048,0.613,896,0.061
6,t1,nc,CREATED,['natural'],419648,0.045,0.658,2207,0.15
7,t1,nc,GEOMETRY,['building'],277971,0.03,0.688,2759,0.187
8,t1,nc,TAG,['other'],270857,0.029,0.717,1340,0.091
9,t1,nc,TAG,['building'],239669,0.026,0.743,1798,0.122
10,t1,nc,DELETED,['building'],197440,0.021,0.764,1464,0.099
11,t1,nc,CREATED,['power'],164390,0.018,0.781,209,0.014
12,t1,nc,TAG_GEOMETRY,['highway'],155554,0.017,0.798,2024,0.137
13,t1,nc,DELETED,['highway'],130901,0.014,0.812,1786,0.121
14,t1,nc,NONE,['other'],121746,0.013,0.825,1524,0.103
15,t1,nc,NONE,['highway'],119909,0.013,0.838,1859,0.126
16,t1,nc,DELETED,['other'],91352,0.01,0.848,886,0.06
17,t1,nc,CREATED,['landuse'],91210,0.01,0.858,1937,0.132
18,t1,nc,GEOMETRY,['waterway'],82687,0.009,0.867,1372,0.093
19,t1,nc,GEOMETRY,['other'],80351,0.009,0.875,1597,0.108
