,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,Kaart,TAG,['other'],250057,0.165,0.165,20,0.094
1,t0,Kaart,CREATED,['other'],176592,0.117,0.282,23,0.108
2,t0,Kaart,GEOMETRY,['highway'],170762,0.113,0.395,28,0.132
3,t0,Kaart,TAG,['highway'],168375,0.111,0.507,27,0.127
4,t0,Kaart,CREATED,['highway'],152790,0.101,0.608,26,0.123
5,t0,Apple,TAG,['other'],96175,0.064,0.671,68,0.321
6,t0,Apple,NONE,['other'],61578,0.041,0.712,89,0.42
7,t0,Microsoft,CREATED,['highway'],61334,0.041,0.753,30,0.142
8,t0,Kaart,TAG_GEOMETRY,['highway'],53247,0.035,0.788,24,0.113
9,t0,Kaart,NONE,['other'],32209,0.021,0.809,27,0.127
10,t0,Microsoft,GEOMETRY,['highway'],28826,0.019,0.828,30,0.142
11,t0,Kaart,NONE,['highway'],21779,0.014,0.843,29,0.137
12,t0,Kaart,GEOMETRY,['building'],20852,0.014,0.857,23,0.108
13,t0,Kaart,DELETED,['highway'],16737,0.011,0.868,22,0.104
14,t0,Apple,GEOMETRY,['natural'],11978,0.008,0.876,83,0.392
15,t0,Kaart,DELETED,['other'],11822,0.008,0.883,16,0.075
16,t0,Kaart,GEOMETRY,['barrier'],9765,0.006,0.89,19,0.09
17,t0,Kaart,CREATED,['building'],8813,0.006,0.896,8,0.038
18,t0,Apple,GEOMETRY,['highway'],8494,0.006,0.901,74,0.349
19,t0,Kaart,GEOMETRY,['landuse'],6696,0.004,0.906,23,0.108
0,t1,Kaart,TAG,['highway'],364778,0.236,0.236,50,0.236
1,t1,Kaart,GEOMETRY,['highway'],260144,0.168,0.404,53,0.25
2,t1,Kaart,TAG,['other'],190457,0.123,0.527,38,0.179
3,t1,Kaart,CREATED,['highway'],148672,0.096,0.623,52,0.245
4,t1,Kaart,CREATED,['other'],116363,0.075,0.698,41,0.193
5,t1,Kaart,TAG_GEOMETRY,['highway'],82795,0.054,0.752,50,0.236
6,t1,Kaart,NONE,['other'],72512,0.047,0.799,44,0.208
7,t1,Kaart,GEOMETRY,['building'],56784,0.037,0.835,23,0.108
8,t1,Kaart,NONE,['highway'],39212,0.025,0.861,48,0.226
9,t1,Kaart,DELETED,['other'],19730,0.013,0.874,15,0.071
10,t1,Microsoft,CREATED,['highway'],13809,0.009,0.882,21,0.099
11,t1,Microsoft,GEOMETRY,['highway'],11484,0.007,0.89,22,0.104
12,t1,Kaart,GEOMETRY,['landuse'],11121,0.007,0.897,35,0.165
13,t1,Kaart,CREATED,['building'],10938,0.007,0.904,8,0.038
14,t1,Kaart,CREATED,['barrier'],9173,0.006,0.91,37,0.175
15,t1,Kaart,DELETED,['highway'],6457,0.004,0.914,43,0.203
16,t1,Apple,GEOMETRY,['highway'],5976,0.004,0.918,67,0.316
17,t1,Kaart,TAG,['barrier'],5040,0.003,0.921,43,0.203
18,t1,Kaart,TAG,['amenity'],4988,0.003,0.925,6,0.028
19,t1,Kaart,GEOMETRY,['other'],4762,0.003,0.928,29,0.137
0,t0,nc,TAG,['other'],410962,0.239,0.239,364,0.135
1,t0,nc,TAG,['power'],193783,0.113,0.352,36,0.013
2,t0,nc,NONE,['other'],193422,0.112,0.464,409,0.151
3,t0,nc,CREATED,['building'],133034,0.077,0.541,517,0.191
4,t0,nc,GEOMETRY,['highway'],112273,0.065,0.607,989,0.366
5,t0,nc,CREATED,['natural'],102818,0.06,0.667,367,0.136
6,t0,nc,CREATED,['highway'],70528,0.041,0.708,731,0.27
7,t0,nc,DELETED,['other'],50162,0.029,0.737,290,0.107
8,t0,nc,CREATED,['other'],41014,0.024,0.761,419,0.155
9,t0,nc,TAG,['highway'],38624,0.022,0.783,664,0.246
10,t0,nc,GEOMETRY,['natural'],33163,0.019,0.802,319,0.118
11,t0,nc,TAG,['natural'],31735,0.018,0.821,230,0.085
12,t0,nc,CREATED,['power'],24709,0.014,0.835,45,0.017
13,t0,nc,CREATED,['landuse'],19279,0.011,0.846,312,0.115
14,t0,nc,GEOMETRY,['building'],16891,0.01,0.856,337,0.125
15,t0,nc,CREATED,['barrier'],14109,0.008,0.864,148,0.055
16,t0,nc,NONE,['power'],12347,0.007,0.872,34,0.013
17,t0,nc,GEOMETRY,['landuse'],12080,0.007,0.879,466,0.172
18,t0,nc,NONE,['highway'],11985,0.007,0.886,364,0.135
19,t0,nc,TAG_GEOMETRY,['highway'],11012,0.006,0.892,402,0.149
0,t1,nc,CREATED,['building'],104065,0.14,0.14,438,0.228
1,t1,nc,GEOMETRY,['highway'],88301,0.119,0.259,705,0.367
2,t1,nc,TAG,['highway'],64893,0.087,0.347,560,0.291
3,t1,nc,CREATED,['highway'],62920,0.085,0.431,534,0.278
4,t1,nc,CREATED,['natural'],48364,0.065,0.497,222,0.115
5,t1,nc,TAG,['other'],39657,0.053,0.55,249,0.129
6,t1,nc,CREATED,['landuse'],22419,0.03,0.58,235,0.122
7,t1,nc,CREATED,['other'],19695,0.027,0.607,305,0.159
8,t1,nc,TAG,['building'],17586,0.024,0.631,334,0.174
9,t1,nc,NONE,['other'],17375,0.023,0.654,287,0.149
10,t1,nc,NONE,['highway'],17279,0.023,0.677,312,0.162
11,t1,nc,CREATED,['barrier'],17002,0.023,0.7,155,0.081
12,t1,nc,GEOMETRY,['building'],12980,0.017,0.718,265,0.138
13,t1,nc,TAG_GEOMETRY,['highway'],12791,0.017,0.735,306,0.159
14,t1,nc,GEOMETRY,['landuse'],11366,0.015,0.75,341,0.177
15,t1,nc,CREATED,['amenity'],10750,0.014,0.765,421,0.219
16,t1,nc,DELETED,['other'],9561,0.013,0.778,162,0.084
17,t1,nc,CREATED,['leisure'],8865,0.012,0.789,236,0.123
18,t1,nc,TAG,['natural'],8436,0.011,0.801,144,0.075
19,t1,nc,CREATED,['waterway'],7913,0.011,0.811,126,0.066
