,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,Kaart,GEOMETRY,['highway'],433307,0.404,0.404,91,0.285
1,t0,Kaart,CREATED,['highway'],220151,0.205,0.61,90,0.282
2,t0,Kaart,TAG,['highway'],113010,0.105,0.715,91,0.285
3,t0,Kaart,TAG_GEOMETRY,['highway'],60303,0.056,0.772,87,0.273
4,t0,Kaart,DELETED,['highway'],46880,0.044,0.816,85,0.266
5,t0,Microsoft,GEOMETRY,['highway'],26553,0.025,0.84,33,0.103
6,t0,Microsoft,CREATED,['highway'],26239,0.024,0.865,33,0.103
7,t0,Kaart,NONE,['other'],20977,0.02,0.884,85,0.266
8,t0,Kaart,GEOMETRY,['building'],10757,0.01,0.894,76,0.238
9,t0,Apple,NONE,['other'],10303,0.01,0.904,75,0.235
10,t0,Apple,GEOMETRY,['waterway'],6744,0.006,0.91,79,0.248
11,t0,Kaart,NONE,['highway'],6231,0.006,0.916,85,0.266
12,t0,Kaart,CREATED,['other'],5588,0.005,0.921,85,0.266
13,t0,Apple,GEOMETRY,['other'],5421,0.005,0.926,81,0.254
14,t0,Microsoft,GEOMETRY,['building'],5131,0.005,0.931,25,0.078
15,t0,Kaart,DELETED,['other'],4693,0.004,0.936,69,0.216
16,t0,Apple,GEOMETRY,['building'],4569,0.004,0.94,46,0.144
17,t0,Microsoft,TAG,['highway'],3570,0.003,0.943,29,0.091
18,t0,Apple,GEOMETRY,['natural'],2811,0.003,0.946,78,0.245
19,t0,Kaart,GEOMETRY,['landuse'],2798,0.003,0.948,82,0.257
0,t1,Apple,GEOMETRY,['highway'],558171,0.285,0.285,308,0.538
1,t1,Kaart,CREATED,['building'],481308,0.246,0.531,12,0.021
2,t1,Kaart,GEOMETRY,['highway'],147901,0.076,0.607,70,0.122
3,t1,Apple,CREATED,['highway'],128128,0.065,0.672,291,0.508
4,t1,Kaart,TAG,['highway'],83933,0.043,0.715,64,0.112
5,t1,Kaart,CREATED,['highway'],69309,0.035,0.75,66,0.115
6,t1,Apple,TAG,['highway'],55409,0.028,0.779,283,0.494
7,t1,Apple,GEOMETRY,['building'],48164,0.025,0.803,213,0.372
8,t1,Kaart,NONE,['highway'],38960,0.02,0.823,60,0.105
9,t1,Kaart,GEOMETRY,['building'],33668,0.017,0.84,34,0.059
10,t1,Apple,TAG_GEOMETRY,['highway'],32299,0.017,0.857,263,0.459
11,t1,Apple,NONE,['other'],26161,0.013,0.87,224,0.391
12,t1,Apple,NONE,['highway'],20279,0.01,0.881,244,0.426
13,t1,Kaart,TAG_GEOMETRY,['highway'],19480,0.01,0.891,58,0.101
14,t1,Kaart,DELETED,['building'],18865,0.01,0.9,17,0.03
15,t1,Apple,TAG,['barrier'],16688,0.009,0.909,224,0.391
