,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,Kaart,GEOMETRY,['highway'],21080,0.273,0.273,30,0.492
1,t0,Kaart,CREATED,['highway'],16212,0.21,0.483,30,0.492
2,t0,Apple,GEOMETRY,['highway'],12002,0.155,0.638,12,0.197
3,t0,Apple,CREATED,['building'],7635,0.099,0.737,6,0.098
4,t0,Apple,CREATED,['highway'],4356,0.056,0.793,10,0.164
5,t0,Kaart,TAG,['highway'],3732,0.048,0.841,29,0.475
6,t0,Kaart,TAG_GEOMETRY,['highway'],1739,0.023,0.864,28,0.459
7,t0,Apple,NONE,['other'],1543,0.02,0.884,8,0.131
8,t0,Kaart,GEOMETRY,['building'],1026,0.013,0.897,22,0.361
9,t0,Kaart,NONE,['other'],926,0.012,0.909,25,0.41
10,t0,Kaart,NONE,['highway'],709,0.009,0.918,27,0.443
11,t0,Apple,TAG,['highway'],699,0.009,0.927,7,0.115
12,t0,Kaart,DELETED,['highway'],455,0.006,0.933,25,0.41
13,t0,Kaart,TAG,['other'],452,0.006,0.939,19,0.311
14,t0,Apple,GEOMETRY,['natural'],417,0.005,0.945,3,0.049
15,t0,Apple,TAG_GEOMETRY,['highway'],372,0.005,0.949,6,0.098
16,t0,Kaart,TAG,['barrier'],263,0.003,0.953,17,0.279
17,t0,Apple,TAG,['other'],215,0.003,0.956,6,0.098
18,t0,Kaart,CREATED,['barrier'],175,0.002,0.958,13,0.213
19,t0,Kaart,CREATED,['building'],174,0.002,0.96,7,0.115
0,t1,TomTom,GEOMETRY,['highway'],19626,0.294,0.294,118,0.42
1,t1,TomTom,CREATED,['highway'],15805,0.237,0.531,110,0.391
2,t1,Apple,GEOMETRY,['highway'],10114,0.151,0.682,100,0.356
3,t1,Apple,CREATED,['building'],7478,0.112,0.794,5,0.018
4,t1,Apple,CREATED,['highway'],4675,0.07,0.864,81,0.288
5,t1,Apple,TAG,['highway'],1337,0.02,0.884,84,0.299
6,t1,Microsoft,CREATED,['building'],727,0.011,0.895,5,0.018
7,t1,Apple,TAG_GEOMETRY,['highway'],702,0.011,0.905,66,0.235
8,t1,Microsoft,CREATED,['highway'],690,0.01,0.916,11,0.039
9,t1,Microsoft,GEOMETRY,['highway'],622,0.009,0.925,12,0.043
10,t1,Kaart,CREATED,['building'],410,0.006,0.931,1,0.004
11,t1,TomTom,TAG,['highway'],407,0.006,0.937,61,0.217
12,t1,TomTom,TAG_GEOMETRY,['highway'],349,0.005,0.943,68,0.242
13,t1,Apple,NONE,['other'],325,0.005,0.947,35,0.125
14,t1,TomTom,GEOMETRY,['building'],250,0.004,0.951,55,0.196
15,t1,TomTom,NONE,['other'],206,0.003,0.954,41,0.146
16,t1,Apple,GEOMETRY,['aeroway'],148,0.002,0.956,9,0.032
17,t1,Microsoft,TAG,['highway'],131,0.002,0.96,10,0.036
18,t1,Apple,GEOMETRY,['building'],131,0.002,0.96,27,0.096
19,t1,Apple,NONE,['highway'],130,0.002,0.962,40,0.142
0,t0,nc,CREATED,['building'],12595,0.186,0.186,118,0.203
1,t0,nc,TAG,['highway'],11250,0.166,0.352,101,0.174
2,t0,nc,GEOMETRY,['highway'],10967,0.162,0.515,209,0.36
3,t0,nc,CREATED,['highway'],6040,0.089,0.604,139,0.239
4,t0,nc,CREATED,['power'],3553,0.053,0.656,8,0.014
