,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,Microsoft,CREATED,['highway'],68011,0.348,0.348,32,0.215
1,t0,Microsoft,GEOMETRY,['highway'],45342,0.232,0.579,32,0.215
2,t0,Kaart,GEOMETRY,['highway'],27317,0.14,0.719,35,0.235
3,t0,Kaart,CREATED,['highway'],6851,0.035,0.754,32,0.215
4,t0,Kaart,TAG,['highway'],4972,0.025,0.779,28,0.188
5,t0,Microsoft,GEOMETRY,['building'],4914,0.025,0.804,25,0.168
6,t0,Apple,GEOMETRY,['highway'],4498,0.023,0.827,19,0.128
7,t0,Microsoft,TAG,['highway'],3756,0.019,0.847,31,0.208
8,t0,Microsoft,TAG_GEOMETRY,['highway'],3302,0.017,0.863,27,0.181
9,t0,Kaart,TAG_GEOMETRY,['highway'],2623,0.013,0.877,27,0.181
10,t0,Kaart,NONE,['other'],2048,0.01,0.887,21,0.141
11,t0,Kaart,NONE,['highway'],1462,0.007,0.895,22,0.148
12,t0,Microsoft,CREATED,['other'],1385,0.007,0.902,26,0.174
13,t0,Microsoft,DELETED,['highway'],1330,0.007,0.909,28,0.188
14,t0,Apple,NONE,['other'],1207,0.006,0.915,14,0.094
15,t0,Microsoft,CREATED,['barrier'],1027,0.005,0.92,15,0.101
16,t0,Microsoft,CREATED,['building'],949,0.005,0.925,18,0.121
17,t0,Microsoft,NONE,['other'],780,0.004,0.929,27,0.181
18,t0,Kaart,DELETED,['highway'],772,0.004,0.933,23,0.154
19,t0,Kaart,GEOMETRY,['building'],769,0.004,0.937,15,0.101
0,t1,Kaart,GEOMETRY,['highway'],50575,0.328,0.328,56,0.199
1,t1,Kaart,TAG,['highway'],27307,0.177,0.506,49,0.174
2,t1,Kaart,CREATED,['highway'],14103,0.092,0.597,53,0.188
3,t1,Apple,GEOMETRY,['highway'],8957,0.058,0.655,75,0.266
4,t1,Kaart,NONE,['other'],6740,0.044,0.699,43,0.152
5,t1,Kaart,NONE,['highway'],5452,0.035,0.734,45,0.16
6,t1,Kaart,TAG_GEOMETRY,['highway'],4732,0.031,0.765,47,0.167
7,t1,Apple,CREATED,['highway'],2436,0.016,0.781,61,0.216
8,t1,Microsoft,GEOMETRY,['highway'],2296,0.015,0.796,23,0.082
9,t1,Kaart,TAG,['barrier'],2225,0.014,0.81,36,0.128
10,t1,Kaart,CREATED,['building'],2112,0.014,0.824,3,0.011
11,t1,Kaart,CREATED,['barrier'],1949,0.013,0.837,34,0.121
12,t1,Kaart,NONE,['barrier'],1779,0.012,0.848,30,0.106
13,t1,Kaart,DELETED,['highway'],1743,0.011,0.859,42,0.149
14,t1,Apple,TAG,['highway'],1456,0.009,0.869,67,0.238
15,t1,Microsoft,CREATED,['highway'],1440,0.009,0.878,21,0.074
16,t1,Microsoft,GEOMETRY,['building'],1407,0.009,0.887,14,0.05
17,t1,TomTom,GEOMETRY,['highway'],1165,0.008,0.895,32,0.113
18,t1,Kaart,GEOMETRY,['building'],795,0.005,0.9,29,0.103
19,t1,Microsoft,TAG,['highway'],702,0.005,0.905,21,0.074
0,t0,nc,CREATED,['building'],58712,0.184,0.184,600,0.196
1,t0,nc,GEOMETRY,['highway'],56581,0.178,0.362,917,0.3
2,t0,nc,CREATED,['highway'],35628,0.112,0.474,689,0.225
3,t0,nc,TAG,['highway'],29243,0.092,0.566,450,0.147
4,t0,nc,CREATED,['shop'],11246,0.035,0.601,682,0.223
5,t0,nc,GEOMETRY,['building'],8231,0.026,0.627,356,0.116
6,t0,nc,CREATED,['amenity'],6534,0.021,0.648,972,0.318
7,t0,nc,NONE,['other'],6050,0.019,0.667,180,0.059
8,t0,nc,TAG_GEOMETRY,['highway'],5495,0.017,0.684,289,0.095
9,t0,nc,DELETED,['building'],5274,0.017,0.701,202,0.066
10,t0,nc,CREATED,['landuse'],4758,0.015,0.716,265,0.087
11,t0,nc,DELETED,['highway'],4676,0.015,0.73,251,0.082
12,t0,nc,CREATED,['place'],4448,0.014,0.744,101,0.033
13,t0,nc,TAG,['building'],3989,0.013,0.769,277,0.091
14,t0,nc,NONE,['highway'],3989,0.013,0.769,269,0.088
15,t0,nc,CREATED,['natural'],3920,0.012,0.782,200,0.065
16,t0,nc,TAG,['amenity'],3884,0.012,0.794,396,0.13
17,t0,nc,TAG,['other'],3340,0.01,0.804,165,0.054
18,t0,nc,CREATED,['other'],3092,0.01,0.814,365,0.119
19,t0,nc,CREATED,['power'],2782,0.009,0.823,28,0.009
0,t1,nc,CREATED,['building'],93808,0.164,0.164,951,0.347
1,t1,nc,GEOMETRY,['highway'],85808,0.15,0.314,1039,0.379
2,t1,nc,CREATED,['highway'],64453,0.113,0.426,730,0.267
3,t1,nc,CREATED,['barrier'],28625,0.05,0.477,188,0.069
4,t1,nc,TAG,['highway'],25797,0.045,0.522,534,0.195
5,t1,nc,CREATED,['natural'],23714,0.041,0.563,381,0.139
6,t1,nc,DELETED,['shop'],19295,0.034,0.597,89,0.033
7,t1,nc,GEOMETRY,['building'],15164,0.026,0.623,513,0.187
8,t1,nc,CREATED,['power'],13272,0.023,0.646,111,0.041
9,t1,nc,CREATED,['amenity'],12739,0.022,0.669,632,0.231
10,t1,nc,CREATED,['other'],12555,0.022,0.691,376,0.137
11,t1,nc,NONE,['highway'],11604,0.02,0.711,413,0.151
12,t1,nc,DELETED,['highway'],11055,0.019,0.73,306,0.112
13,t1,nc,NONE,['barrier'],9293,0.016,0.746,165,0.06
14,t1,nc,CREATED,['shop'],8970,0.016,0.762,371,0.136
15,t1,nc,CREATED,['man_made'],8074,0.014,0.776,172,0.063
16,t1,nc,NONE,['other'],7213,0.013,0.789,281,0.103
17,t1,nc,TAG,['building'],6711,0.012,0.801,266,0.097
18,t1,nc,TAG_GEOMETRY,['highway'],6598,0.012,0.812,318,0.116
19,t1,nc,TAG,['other'],6138,0.011,0.823,235,0.086
