,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,DigitalEgypt,CREATED,['other'],2209066,0.416,0.416,21,0.16
1,t0,DigitalEgypt,TAG,['other'],1168089,0.22,0.635,21,0.16
2,t0,DigitalEgypt,GEOMETRY,['highway'],619585,0.117,0.752,21,0.16
3,t0,DigitalEgypt,CREATED,['highway'],313604,0.059,0.811,21,0.16
4,t0,DigitalEgypt,NONE,['other'],253950,0.048,0.859,21,0.16
5,t0,DigitalEgypt,TAG_GEOMETRY,['highway'],155394,0.029,0.888,21,0.16
6,t0,DigitalEgypt,DELETED,['highway'],130936,0.025,0.912,21,0.16
7,t0,DigitalEgypt,TAG,['highway'],122420,0.023,0.936,21,0.16
8,t0,Apple,GEOMETRY,['highway'],109791,0.021,0.956,48,0.366
9,t0,DigitalEgypt,NONE,['highway'],88030,0.017,0.973,21,0.16
10,t0,Apple,CREATED,['highway'],34846,0.007,0.979,43,0.328
11,t0,DigitalEgypt,DELETED,['other'],13922,0.003,0.982,21,0.16
12,t0,Apple,TAG,['highway'],10712,0.002,0.984,35,0.267
13,t0,DigitalEgypt,CREATED,['barrier'],10508,0.002,0.986,15,0.115
14,t0,DigitalEgypt,GEOMETRY,['place' 'landuse'],10286,0.002,0.988,21,0.16
15,t0,DigitalEgypt,GEOMETRY,['building'],10076,0.002,0.99,21,0.16
16,t0,Apple,TAG_GEOMETRY,['highway'],7727,0.001,0.991,36,0.275
17,t0,DigitalEgypt,CREATED,['place' 'landuse'],5488,0.001,0.992,21,0.16
18,t0,DigitalEgypt,TAG,['barrier'],4026,0.001,0.993,15,0.115
19,t0,DigitalEgypt,GEOMETRY,['landuse'],2736,0.001,0.993,21,0.16
0,t1,DigitalEgypt,TAG,['other'],179476,0.32,0.32,27,0.119
1,t1,DigitalEgypt,GEOMETRY,['highway'],105818,0.189,0.509,31,0.137
2,t1,DigitalEgypt,CREATED,['highway'],63340,0.113,0.622,31,0.137
3,t1,DigitalEgypt,CREATED,['other'],28025,0.05,0.672,28,0.123
4,t1,TomTom,CREATED,['highway'],21889,0.039,0.711,63,0.278
5,t1,DigitalEgypt,DELETED,['highway'],20020,0.036,0.747,31,0.137
6,t1,DigitalEgypt,TAG,['highway'],19767,0.035,0.782,31,0.137
7,t1,DigitalEgypt,TAG_GEOMETRY,['highway'],17974,0.032,0.814,31,0.137
8,t1,TomTom,GEOMETRY,['highway'],17925,0.032,0.846,72,0.317
9,t1,DigitalEgypt,NONE,['other'],8764,0.016,0.862,27,0.119
10,t1,DigitalEgypt,CREATED,['barrier'],7727,0.014,0.876,26,0.115
11,t1,Apple,GEOMETRY,['highway'],7311,0.013,0.889,22,0.097
12,t1,DigitalEgypt,DELETED,['other'],6794,0.012,0.901,27,0.119
13,t1,Apple,TAG,['other'],5345,0.01,0.911,10,0.044
14,t1,DigitalEgypt,GEOMETRY,['building'],5032,0.009,0.92,25,0.11
15,t1,DigitalEgypt,NONE,['highway'],4767,0.009,0.928,30,0.132
16,t1,Apple,CREATED,['highway'],4640,0.008,0.936,22,0.097
17,t1,Microsoft,CREATED,['highway'],3662,0.007,0.943,17,0.075
18,t1,Microsoft,TAG,['other'],3011,0.005,0.948,2,0.009
19,t1,Microsoft,TAG,['building'],2459,0.004,0.953,2,0.009
0,t0,nc,GEOMETRY,['highway'],1332514,0.528,0.528,645,0.385
1,t0,nc,CREATED,['highway'],518918,0.205,0.733,488,0.292
2,t0,nc,TAG,['highway'],141415,0.056,0.789,415,0.248
3,t0,nc,CREATED,['other'],132253,0.052,0.841,327,0.195
4,t0,nc,TAG_GEOMETRY,['highway'],109901,0.044,0.885,315,0.188
5,t0,nc,TAG,['other'],72774,0.029,0.914,283,0.169
6,t0,nc,DELETED,['highway'],27967,0.011,0.925,273,0.163
7,t0,nc,NONE,['other'],27236,0.011,0.935,293,0.175
8,t0,nc,CREATED,['building'],25356,0.01,0.946,276,0.165
9,t0,nc,GEOMETRY,['building'],11425,0.005,0.95,241,0.144
10,t0,nc,TAG,['building'],11358,0.004,0.955,130,0.078
11,t0,nc,DELETED,['other'],9419,0.004,0.958,132,0.079
12,t0,nc,TAG,['place' 'landuse'],8238,0.003,0.962,28,0.017
13,t0,nc,CREATED,['power'],7955,0.003,0.965,23,0.014
14,t0,nc,NONE,['highway'],7505,0.003,0.968,250,0.149
15,t0,nc,TAG,['place'],7479,0.003,0.971,83,0.05
16,t0,nc,CREATED,['waterway'],4835,0.002,0.973,81,0.048
17,t0,nc,GEOMETRY,['other'],4828,0.002,0.974,157,0.094
18,t0,nc,TAG,['natural'],4303,0.002,0.976,44,0.026
19,t0,nc,DELETED,['building'],3188,0.001,0.977,81,0.048
0,t1,nc,CREATED,['building'],135961,0.428,0.428,1672,0.582
1,t1,nc,GEOMETRY,['highway'],32837,0.103,0.531,1244,0.433
2,t1,nc,CREATED,['highway'],16105,0.051,0.582,411,0.143
3,t1,nc,CREATED,['other'],11142,0.035,0.617,233,0.081
4,t1,nc,CREATED,['natural'],8734,0.027,0.644,214,0.074
5,t1,nc,TAG,['highway'],8345,0.026,0.67,299,0.104
6,t1,nc,GEOMETRY,['building'],8152,0.026,0.696,685,0.238
7,t1,nc,CREATED,['landuse'],8025,0.025,0.721,194,0.068
8,t1,nc,TAG,['other'],6136,0.019,0.741,221,0.077
9,t1,nc,DELETED,['place'],4976,0.016,0.756,14,0.005
10,t1,nc,DELETED,['highway'],4721,0.015,0.771,200,0.07
11,t1,nc,NONE,['other'],4446,0.014,0.785,550,0.191
12,t1,nc,TAG,['building'],4263,0.013,0.799,202,0.07
13,t1,nc,DELETED,['other'],4064,0.013,0.811,152,0.053
14,t1,nc,CREATED,['power'],3834,0.012,0.823,27,0.009
15,t1,nc,CREATED,['railway'],3432,0.011,0.834,34,0.012
16,t1,nc,TAG_GEOMETRY,['highway'],2858,0.009,0.843,175,0.061
17,t1,nc,CREATED,['amenity'],2838,0.009,0.852,337,0.117
18,t1,nc,DELETED,['building'],2387,0.008,0.86,273,0.095
19,t1,nc,CREATED,['barrier'],2162,0.007,0.866,99,0.034
