,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,Apple,GEOMETRY,['highway'],349996,0.339,0.339,111,0.432
1,t0,Kaart,GEOMETRY,['highway'],321097,0.311,0.649,79,0.307
2,t0,Kaart,CREATED,['highway'],70168,0.068,0.717,48,0.187
3,t0,Kaart,GEOMETRY,['building'],43271,0.042,0.759,27,0.105
4,t0,Apple,CREATED,['highway'],36722,0.036,0.794,93,0.362
5,t0,Apple,NONE,['other'],26770,0.026,0.82,94,0.366
6,t0,Kaart,NONE,['other'],20038,0.019,0.84,37,0.144
7,t0,Kaart,TAG,['highway'],12974,0.013,0.852,23,0.089
8,t0,Kaart,TAG_GEOMETRY,['highway'],12361,0.012,0.864,27,0.105
9,t0,Apple,NONE,['highway'],10013,0.01,0.874,83,0.323
10,t0,Kaart,NONE,['highway'],9564,0.009,0.883,31,0.121
11,t0,Apple,GEOMETRY,['building'],9086,0.009,0.892,64,0.249
12,t0,Kaart,GEOMETRY,['landuse'],8064,0.008,0.9,32,0.125
13,t0,Kaart,DELETED,['highway'],7643,0.007,0.907,27,0.105
14,t0,Apple,TAG,['highway'],7206,0.007,0.914,89,0.346
15,t0,Apple,TAG_GEOMETRY,['highway'],7198,0.007,0.921,86,0.335
16,t0,Kaart,CREATED,['building'],4954,0.005,0.926,19,0.074
17,t0,Apple,GEOMETRY,['landuse'],4671,0.005,0.93,75,0.292
18,t0,Apple,CREATED,['other'],3785,0.004,0.934,62,0.241
19,t0,Kaart,GEOMETRY,['leisure'],3179,0.003,0.937,16,0.062
0,t1,Apple,GEOMETRY,['highway'],733891,0.541,0.541,220,0.546
1,t1,Apple,CREATED,['building'],162493,0.12,0.661,43,0.107
2,t1,Apple,CREATED,['highway'],141633,0.104,0.765,188,0.467
3,t1,Apple,GEOMETRY,['building'],70568,0.052,0.817,168,0.417
4,t1,Apple,TAG_GEOMETRY,['highway'],63017,0.046,0.864,169,0.419
5,t1,Apple,TAG,['highway'],58606,0.043,0.907,182,0.452
6,t1,Apple,NONE,['other'],26460,0.02,0.927,177,0.439
7,t1,Kaart,TAG,['highway'],13374,0.01,0.936,42,0.104
8,t1,Apple,GEOMETRY,['landuse'],8688,0.006,0.943,163,0.404
9,t1,Apple,CREATED,['barrier'],7135,0.005,0.948,127,0.315
10,t1,Apple,NONE,['highway'],6359,0.005,0.953,172,0.427
11,t1,Apple,NONE,['building'],6255,0.005,0.957,80,0.199
12,t1,Apple,DELETED,['building'],5826,0.004,0.962,37,0.092
13,t1,Kaart,GEOMETRY,['highway'],4404,0.003,0.965,41,0.102
14,t1,Apple,GEOMETRY,['waterway'],3964,0.003,0.968,146,0.362
15,t1,Kaart,CREATED,['highway'],3452,0.003,0.97,36,0.089
16,t1,Apple,GEOMETRY,['natural'],3427,0.003,0.973,149,0.37
17,t1,Apple,TAG,['barrier'],3383,0.002,0.975,125,0.31
18,t1,Apple,CREATED,['other'],2804,0.002,0.978,134,0.333
19,t1,Apple,TAG,['other'],2616,0.002,0.979,135,0.335
0,t0,nc,GEOMETRY,['highway'],365881,0.181,0.181,1279,0.349
1,t0,nc,TAG,['other'],278306,0.137,0.318,381,0.104
2,t0,nc,TAG,['highway'],250473,0.124,0.441,894,0.244
3,t0,nc,CREATED,['highway'],203059,0.1,0.542,1087,0.296
4,t0,nc,CREATED,['building'],153462,0.076,0.617,638,0.174
5,t0,nc,NONE,['highway'],71758,0.035,0.653,517,0.141
6,t0,nc,CREATED,['other'],71644,0.035,0.688,578,0.158
7,t0,nc,NONE,['other'],52785,0.026,0.714,365,0.1
8,t0,nc,TAG,['building'],45650,0.023,0.737,463,0.126
9,t0,nc,GEOMETRY,['building'],37035,0.018,0.755,449,0.122
10,t0,nc,TAG_GEOMETRY,['highway'],33667,0.017,0.772,563,0.153
11,t0,nc,DELETED,['highway'],32213,0.016,0.787,423,0.115
12,t0,nc,CREATED,['natural'],25085,0.012,0.8,386,0.105
13,t0,nc,GEOMETRY,['landuse'],20970,0.01,0.81,492,0.134
14,t0,nc,CREATED,['landuse'],19598,0.01,0.82,316,0.086
15,t0,nc,NONE,['building'],19389,0.01,0.829,123,0.034
16,t0,nc,CREATED,['waterway'],17643,0.009,0.838,184,0.05
17,t0,nc,CREATED,['amenity'],15643,0.008,0.846,1219,0.332
18,t0,nc,TAG,['amenity'],15143,0.007,0.853,779,0.212
19,t0,nc,CREATED,['man_made'],15122,0.007,0.861,211,0.058
0,t1,nc,CREATED,['building'],275181,0.187,0.187,816,0.217
1,t1,nc,GEOMETRY,['highway'],251084,0.171,0.358,1272,0.338
2,t1,nc,TAG,['highway'],181669,0.124,0.482,1218,0.324
3,t1,nc,CREATED,['highway'],120474,0.082,0.564,1037,0.276
4,t1,nc,TAG,['building'],42069,0.029,0.592,690,0.183
5,t1,nc,GEOMETRY,['building'],41285,0.028,0.621,558,0.148
