,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,Kaart,GEOMETRY,['highway'],12235,0.287,0.287,21,0.328
1,t0,Kaart,GEOMETRY,['building'],6381,0.15,0.437,16,0.25
2,t0,Kaart,CREATED,['highway'],4175,0.098,0.535,18,0.281
3,t0,Kaart,TAG_GEOMETRY,['highway'],3537,0.083,0.618,18,0.281
4,t0,Kaart,TAG,['highway'],1927,0.045,0.664,18,0.281
5,t0,Kaart,DELETED,['highway'],1826,0.043,0.707,16,0.25
6,t0,Kaart,CREATED,['building'],1714,0.04,0.747,5,0.078
7,t0,Apple,NONE,['other'],1113,0.026,0.773,5,0.078
8,t0,Apple,GEOMETRY,['highway'],1022,0.024,0.797,11,0.172
9,t0,Apple,CREATED,['building'],907,0.021,0.818,18,0.281
10,t0,Meta,GEOMETRY,['highway'],750,0.018,0.836,6,0.094
11,t0,Meta,CREATED,['highway'],738,0.017,0.853,5,0.078
12,t0,Kaart,NONE,['other'],684,0.016,0.869,14,0.219
13,t0,Apple,GEOMETRY,['natural'],457,0.011,0.88,2,0.031
14,t0,Kaart,TAG,['other'],455,0.011,0.891,13,0.203
15,t0,Apple,CREATED,['highway'],395,0.009,0.9,12,0.188
16,t0,Kaart,DELETED,['building'],346,0.008,0.908,12,0.188
17,t0,Apple,TAG_GEOMETRY,['highway'],321,0.008,0.916,8,0.125
18,t0,Kaart,GEOMETRY,['waterway'],245,0.006,0.921,13,0.203
19,t0,Apple,GEOMETRY,['building'],221,0.005,0.927,15,0.234
0,t1,TomTom,GEOMETRY,['highway'],16552,0.28,0.28,83,0.407
1,t1,TomTom,CREATED,['highway'],11212,0.19,0.47,77,0.377
2,t1,Apple,GEOMETRY,['building'],7091,0.12,0.59,29,0.142
3,t1,Apple,DELETED,['building'],6830,0.116,0.706,4,0.02
4,t1,TomTom,GEOMETRY,['building'],3996,0.068,0.773,74,0.363
5,t1,Apple,NONE,['building'],1655,0.028,0.801,4,0.02
6,t1,TomTom,NONE,['other'],1583,0.027,0.828,51,0.25
7,t1,Apple,CREATED,['building'],1264,0.021,0.85,6,0.029
8,t1,Apple,GEOMETRY,['highway'],1258,0.021,0.871,60,0.294
9,t1,Kaart,CREATED,['building'],935,0.016,0.887,3,0.015
10,t1,Amazon,CREATED,['building'],794,0.013,0.9,7,0.034
11,t1,Apple,DELETED,['highway'],458,0.008,0.908,17,0.083
12,t1,TomTom,TAG_GEOMETRY,['highway'],354,0.006,0.914,47,0.23
13,t1,Apple,TAG,['highway'],311,0.005,0.919,29,0.142
14,t1,Microsoft,GEOMETRY,['highway'],285,0.005,0.924,9,0.044
15,t1,TomTom,TAG,['highway'],260,0.004,0.928,47,0.23
16,t1,Apple,CREATED,['highway'],243,0.004,0.933,25,0.123
17,t1,Apple,TAG_GEOMETRY,['highway'],228,0.004,0.936,25,0.123
18,t1,DevelopmentSeed,CREATED,['building'],225,0.004,0.94,1,0.005
19,t1,TomTom,TAG,['other'],215,0.004,0.944,40,0.196
0,t0,nc,CREATED,['building'],143055,0.457,0.457,954,0.763
1,t0,nc,GEOMETRY,['building'],57609,0.184,0.642,595,0.476
2,t0,nc,NONE,['building'],29226,0.093,0.735,193,0.154
3,t0,nc,DELETED,['building'],23700,0.076,0.811,398,0.318
4,t0,nc,GEOMETRY,['highway'],14636,0.047,0.858,664,0.531
5,t0,nc,CREATED,['highway'],12076,0.039,0.896,584,0.467
6,t0,nc,TAG,['building'],6108,0.02,0.916,80,0.064
7,t0,nc,TAG,['highway'],3459,0.011,0.927,142,0.114
8,t0,nc,NONE,['other'],2753,0.009,0.936,149,0.119
9,t0,nc,GEOMETRY,['waterway'],2234,0.007,0.943,238,0.19
10,t0,nc,DELETED,['highway'],1424,0.005,0.947,177,0.141
11,t0,nc,GEOMETRY,['landuse'],1320,0.004,0.952,264,0.211
12,t0,nc,TAG_GEOMETRY,['highway'],1102,0.004,0.955,165,0.132
13,t0,nc,CREATED,['barrier'],1063,0.003,0.959,40,0.032
14,t0,nc,TAG_GEOMETRY,['building'],980,0.003,0.962,66,0.053
15,t0,nc,CREATED,['waterway'],966,0.003,0.965,122,0.098
16,t0,nc,TAG,['landuse'],617,0.002,0.967,20,0.016
17,t0,nc,TAG,['other'],610,0.002,0.969,87,0.07
18,t0,nc,GEOMETRY,['natural'],582,0.002,0.971,95,0.076
19,t0,nc,TAG,['natural'],575,0.002,0.972,20,0.016
0,t1,nc,CREATED,['building'],261911,0.536,0.536,2071,0.876
