,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,Meta,GEOMETRY,['highway'],830195,0.136,0.136,104,0.076
1,t0,Apple,GEOMETRY,['highway'],801562,0.131,0.267,477,0.348
2,t0,Meta,GEOMETRY,['building'],496891,0.081,0.348,101,0.074
3,t0,Apple,GEOMETRY,['building'],441637,0.072,0.421,406,0.296
4,t0,Meta,CREATED,['highway'],409284,0.067,0.488,101,0.074
5,t0,Grab,GEOMETRY,['highway'],403988,0.066,0.554,118,0.086
6,t0,Apple,NONE,['building'],272166,0.045,0.598,220,0.16
7,t0,Apple,CREATED,['highway'],187568,0.031,0.629,364,0.265
8,t0,Grab,CREATED,['highway'],178141,0.029,0.658,116,0.085
9,t0,Grab,GEOMETRY,['building'],173982,0.028,0.687,92,0.067
10,t0,Meta,CREATED,['building'],168172,0.028,0.714,39,0.028
11,t0,Meta,TAG,['other'],155284,0.025,0.74,64,0.047
12,t0,Apple,CREATED,['building'],153931,0.025,0.765,232,0.169
13,t0,Kaart,TAG,['highway'],131874,0.022,0.786,55,0.04
14,t0,Meta,DELETED,['highway'],122254,0.02,0.806,98,0.071
15,t0,Amazon,CREATED,['building'],103292,0.017,0.823,453,0.33
16,t0,Apple,TAG,['highway'],91719,0.015,0.838,308,0.224
17,t0,Meta,TAG,['highway'],73164,0.012,0.85,97,0.071
18,t0,Mapbox,DELETED,['building'],72784,0.012,0.862,17,0.012
19,t0,Kaart,GEOMETRY,['highway'],58039,0.009,0.872,58,0.042
0,t1,Meta,CREATED,['building'],3113420,0.323,0.323,33,0.022
1,t1,Meta,GEOMETRY,['building'],1784024,0.185,0.508,44,0.029
2,t1,Apple,GEOMETRY,['highway'],924072,0.096,0.604,609,0.404
3,t1,Apple,GEOMETRY,['building'],524046,0.054,0.659,517,0.343
4,t1,Grab,CREATED,['building'],487282,0.051,0.709,38,0.025
5,t1,Meta,NONE,['building'],459193,0.048,0.757,35,0.023
6,t1,Meta,DELETED,['building'],306129,0.032,0.789,36,0.024
7,t1,Meta,GEOMETRY,['highway'],260285,0.027,0.816,41,0.027
8,t1,Kaart,GEOMETRY,['highway'],164442,0.017,0.833,29,0.019
9,t1,Grab,GEOMETRY,['highway'],159234,0.017,0.849,253,0.168
10,t1,Kaart,TAG,['highway'],140933,0.015,0.864,30,0.02
11,t1,Grab,TAG,['highway'],121042,0.013,0.876,214,0.142
12,t1,Grab,CREATED,['highway'],102253,0.011,0.887,228,0.151
13,t1,Apple,CREATED,['highway'],82751,0.009,0.896,505,0.335
14,t1,Kaart,CREATED,['highway'],62598,0.006,0.902,27,0.018
15,t1,Apple,TAG,['highway'],59351,0.006,0.908,503,0.334
16,t1,Apple,CREATED,['barrier'],50266,0.005,0.913,374,0.248
17,t1,Grab,GEOMETRY,['building'],43576,0.005,0.918,166,0.11
18,t1,Apple,CREATED,['building'],42827,0.004,0.922,110,0.073
19,t1,Grab,DELETED,['other'],42051,0.004,0.927,64,0.042
0,t0,nc,CREATED,['building'],7594182,0.467,0.467,28424,0.837
1,t0,nc,GEOMETRY,['highway'],3676415,0.226,0.694,17084,0.503
2,t0,nc,GEOMETRY,['building'],1425049,0.088,0.782,15661,0.461
3,t0,nc,CREATED,['highway'],1112630,0.068,0.85,4543,0.134
4,t0,nc,DELETED,['building'],532067,0.033,0.883,6450,0.19
5,t0,nc,CREATED,['waterway'],398400,0.025,0.907,812,0.024
6,t0,nc,TAG,['highway'],246065,0.015,0.922,2352,0.069
7,t0,nc,TAG,['building'],137147,0.008,0.931,1653,0.049
8,t0,nc,TAG_GEOMETRY,['highway'],119533,0.007,0.938,1912,0.056
9,t0,nc,CREATED,['other'],110763,0.007,0.945,2349,0.069
10,t0,nc,NONE,['building'],101095,0.006,0.951,2606,0.077
11,t0,nc,DELETED,['highway'],78592,0.005,0.956,2226,0.066
12,t0,nc,GEOMETRY,['waterway'],69645,0.004,0.96,1655,0.049
13,t0,nc,TAG,['other'],69156,0.004,0.965,904,0.027
14,t0,nc,NONE,['other'],67998,0.004,0.969,1070,0.031
15,t0,nc,TAG,['waterway'],43669,0.003,0.972,325,0.01
16,t0,nc,CREATED,['landuse'],35236,0.002,0.974,1699,0.05
17,t0,nc,NONE,['highway'],34579,0.002,0.976,1424,0.042
18,t0,nc,CREATED,['power'],31053,0.002,0.978,88,0.003
19,t0,nc,DELETED,['other'],25850,0.002,0.979,657,0.019
0,t1,nc,CREATED,['building'],3778648,0.584,0.584,12498,0.745
1,t1,nc,GEOMETRY,['building'],745268,0.115,0.699,7786,0.464
2,t1,nc,GEOMETRY,['highway'],461472,0.071,0.77,8949,0.534
3,t1,nc,DELETED,['building'],324014,0.05,0.82,3551,0.212
4,t1,nc,CREATED,['highway'],196512,0.03,0.851,2615,0.156
5,t1,nc,TAG,['highway'],172427,0.027,0.877,1882,0.112
6,t1,nc,TAG,['building'],82812,0.013,0.89,1698,0.101
7,t1,nc,NONE,['building'],68551,0.011,0.901,1460,0.087
8,t1,nc,NONE,['other'],63057,0.01,0.91,729,0.043
9,t1,nc,CREATED,['other'],43078,0.007,0.917,1351,0.081
10,t1,nc,TAG_GEOMETRY,['highway'],39101,0.006,0.923,1316,0.078
11,t1,nc,CREATED,['landuse'],36982,0.006,0.929,1158,0.069
12,t1,nc,CREATED,['amenity'],29775,0.005,0.933,1400,0.084
13,t1,nc,DELETED,['other'],27499,0.004,0.938,447,0.027
14,t1,nc,CREATED,['natural'],26504,0.004,0.942,614,0.037
15,t1,nc,DELETED,['highway'],25581,0.004,0.946,1521,0.091
16,t1,nc,TAG,['other'],23553,0.004,0.949,756,0.045
17,t1,nc,NONE,['highway'],18115,0.003,0.952,1132,0.068
18,t1,nc,GEOMETRY,['landuse'],15266,0.002,0.955,1994,0.119
19,t1,nc,CREATED,['waterway'],14814,0.002,0.957,568,0.034
