,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,Meta,CREATED,['highway'],2103802,0.408,0.408,92,0.089
1,t0,Meta,GEOMETRY,['highway'],1871424,0.363,0.772,103,0.1
2,t0,Meta,DELETED,['highway'],181478,0.035,0.807,91,0.088
3,t0,Meta,TAG,['highway'],159037,0.031,0.838,94,0.091
4,t0,Kaart,CREATED,['building'],147713,0.029,0.866,9,0.009
5,t0,Meta,TAG_GEOMETRY,['highway'],132594,0.026,0.892,89,0.086
6,t0,Meta,GEOMETRY,['building'],80183,0.016,0.908,100,0.097
7,t0,Amazon,CREATED,['building'],58290,0.011,0.919,575,0.558
8,t0,Kaart,GEOMETRY,['building'],54550,0.011,0.93,8,0.008
9,t0,Uber,GEOMETRY,['highway'],38558,0.007,0.937,35,0.034
10,t0,Uber,CREATED,['highway'],32332,0.006,0.943,34,0.033
11,t0,MeNextBillion,GEOMETRY,['highway'],31468,0.006,0.949,27,0.026
12,t0,MeNextBillion,CREATED,['highway'],21778,0.004,0.954,27,0.026
13,t0,Kaart,NONE,['building'],17309,0.003,0.957,7,0.007
14,t0,Lyft,CREATED,['building'],17102,0.003,0.96,15,0.015
15,t0,Meta,NONE,['highway'],16750,0.003,0.964,90,0.087
16,t0,Meta,CREATED,['other'],14521,0.003,0.966,83,0.081
17,t0,Meta,NONE,['other'],11581,0.002,0.969,85,0.082
18,t0,Meta,GEOMETRY,['waterway'],10540,0.002,0.971,86,0.083
19,t0,Meta,TAG,['other'],8054,0.002,0.972,82,0.08
0,t1,Meta,CREATED,['highway'],2789578,0.44,0.44,92,0.163
1,t1,Meta,GEOMETRY,['highway'],2763058,0.436,0.876,107,0.19
2,t1,Meta,DELETED,['highway'],239360,0.038,0.914,90,0.16
3,t1,Meta,TAG,['highway'],147149,0.023,0.937,100,0.178
4,t1,Meta,TAG_GEOMETRY,['highway'],128705,0.02,0.957,89,0.158
5,t1,Meta,GEOMETRY,['building'],69462,0.011,0.968,103,0.183
6,t1,Stackbox,CREATED,['highway'],28465,0.004,0.973,14,0.025
7,t1,TomTom,GEOMETRY,['highway'],24820,0.004,0.977,84,0.149
8,t1,Meta,NONE,['highway'],13024,0.002,0.979,98,0.174
9,t1,Meta,GEOMETRY,['waterway'],10233,0.002,0.981,89,0.158
10,t1,TomTom,CREATED,['highway'],9709,0.002,0.982,47,0.083
11,t1,Meta,CREATED,['other'],9366,0.001,0.984,76,0.135
12,t1,Meta,GEOMETRY,['railway'],8597,0.001,0.985,81,0.144
13,t1,Stackbox,GEOMETRY,['highway'],8005,0.001,0.986,13,0.023
14,t1,Meta,TAG,['other'],6142,0.001,0.987,92,0.163
15,t1,Meta,NONE,['other'],5150,0.001,0.988,81,0.144
16,t1,Meta,NONE,['railway'],4938,0.001,0.989,78,0.139
17,t1,Meta,CREATED,['railway'],3607,0.001,0.989,77,0.137
18,t1,Meta,GEOMETRY,['landuse'],3100,0.0,0.99,80,0.142
19,t1,Meta,DELETED,['other'],2770,0.0,0.99,64,0.114
0,t0,nc,CREATED,['building'],3247254,0.388,0.388,23048,0.661
1,t0,nc,CREATED,['highway'],837625,0.1,0.488,11090,0.318
2,t0,nc,GEOMETRY,['building'],685170,0.082,0.57,9526,0.273
3,t0,nc,GEOMETRY,['highway'],598595,0.072,0.641,12452,0.357
4,t0,nc,DELETED,['building'],220324,0.026,0.668,5262,0.151
5,t0,nc,CREATED,['amenity'],177737,0.021,0.689,6456,0.185
6,t0,nc,TAG,['highway'],171892,0.021,0.71,4343,0.125
7,t0,nc,CREATED,['landuse'],152357,0.018,0.728,4675,0.134
