,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,Neshan,GEOMETRY,['highway'],162268,0.302,0.302,10,0.048
1,t0,Neshan,CREATED,['highway'],87579,0.163,0.464,9,0.043
2,t0,Neshan,TAG,['highway'],69354,0.129,0.593,10,0.048
3,t0,Apple,GEOMETRY,['highway'],59701,0.111,0.704,108,0.522
4,t0,Apple,CREATED,['highway'],21651,0.04,0.744,89,0.43
5,t0,Apple,TAG,['highway'],20142,0.037,0.782,71,0.343
6,t0,Neshan,TAG_GEOMETRY,['highway'],18731,0.035,0.817,9,0.043
7,t0,Neshan,DELETED,['highway'],13490,0.025,0.842,9,0.043
8,t0,Apple,NONE,['other'],8462,0.016,0.858,77,0.372
9,t0,Apple,TAG,['other'],5594,0.01,0.868,47,0.227
10,t0,Neshan,NONE,['highway'],5469,0.01,0.878,9,0.043
11,t0,Apple,TAG_GEOMETRY,['highway'],3944,0.007,0.885,73,0.353
12,t0,Snapp,CREATED,['building'],3906,0.007,0.893,3,0.014
13,t0,Snapp,CREATED,['highway'],3776,0.007,0.9,7,0.034
14,t0,Snapp,CREATED,['other'],3466,0.006,0.906,6,0.029
15,t0,Snapp,TAG,['other'],3394,0.006,0.912,5,0.024
16,t0,Snapp,GEOMETRY,['highway'],3161,0.006,0.918,7,0.034
17,t0,Snapp,TAG,['highway'],2748,0.005,0.923,7,0.034
18,t0,Neshan,CREATED,['landuse'],2271,0.004,0.928,7,0.034
19,t0,Apple,GEOMETRY,['waterway'],1891,0.004,0.931,64,0.309
0,t1,Neshan,GEOMETRY,['highway'],125556,0.25,0.25,12,0.027
1,t1,Neshan,TAG,['highway'],78173,0.156,0.406,12,0.027
2,t1,Neshan,CREATED,['highway'],71461,0.142,0.549,12,0.027
3,t1,Apple,GEOMETRY,['highway'],37915,0.076,0.624,260,0.583
4,t1,Snapp,TAG,['highway'],26366,0.053,0.677,9,0.02
5,t1,Apple,CREATED,['highway'],24044,0.048,0.725,217,0.487
6,t1,Snapp,CREATED,['highway'],23800,0.047,0.772,9,0.02
7,t1,Neshan,TAG_GEOMETRY,['highway'],17707,0.035,0.808,12,0.027
8,t1,Snapp,GEOMETRY,['highway'],14079,0.028,0.836,9,0.02
9,t1,Apple,TAG,['highway'],13794,0.028,0.863,242,0.543
10,t1,Neshan,DELETED,['highway'],13706,0.027,0.891,12,0.027
11,t1,Neshan,NONE,['highway'],5770,0.012,0.902,11,0.025
12,t1,Apple,TAG_GEOMETRY,['highway'],4009,0.008,0.91,205,0.46
13,t1,Microsoft,GEOMETRY,['highway'],3711,0.007,0.917,20,0.045
14,t1,Snapp,TAG_GEOMETRY,['highway'],3160,0.006,0.924,7,0.016
15,t1,Snapp,TAG,['amenity'],1862,0.004,0.927,8,0.018
16,t1,Snapp,DELETED,['highway'],1814,0.004,0.931,8,0.018
17,t1,Neshan,CREATED,['barrier'],1391,0.003,0.934,12,0.027
18,t1,Apple,DELETED,['highway'],1291,0.003,0.936,123,0.276
19,t1,Neshan,TAG,['other'],1066,0.002,0.939,11,0.025
0,t0,nc,GEOMETRY,['highway'],372742,0.218,0.218,1814,0.328
1,t0,nc,CREATED,['highway'],298749,0.175,0.393,1411,0.255
2,t0,nc,TAG,['highway'],279842,0.164,0.556,1397,0.253
3,t0,nc,CREATED,['building'],120595,0.071,0.627,737,0.133
4,t0,nc,TAG_GEOMETRY,['highway'],51891,0.03,0.657,918,0.166
5,t0,nc,TAG,['boundary'],42267,0.025,0.682,77,0.014
6,t0,nc,TAG,['other'],41205,0.024,0.706,588,0.106
7,t0,nc,CREATED,['other'],38632,0.023,0.729,987,0.179
8,t0,nc,DELETED,['highway'],35779,0.021,0.75,778,0.141
9,t0,nc,CREATED,['landuse'],30211,0.018,0.767,527,0.095
10,t0,nc,NONE,['highway'],27557,0.016,0.783,742,0.134
11,t0,nc,CREATED,['waterway'],25573,0.015,0.798,243,0.044
12,t0,nc,CREATED,['power'],24157,0.014,0.812,85,0.015
13,t0,nc,TAG,['place'],18522,0.011,0.823,444,0.08
14,t0,nc,CREATED,['amenity'],17334,0.01,0.833,1560,0.282
15,t0,nc,CREATED,['barrier'],16817,0.01,0.843,225,0.041
16,t0,nc,TAG,['amenity'],12828,0.008,0.851,805,0.146
17,t0,nc,GEOMETRY,['building'],12027,0.007,0.858,431,0.078
18,t0,nc,NONE,['other'],11781,0.007,0.865,454,0.082
19,t0,nc,CREATED,['natural'],11611,0.007,0.871,295,0.053
0,t1,nc,GEOMETRY,['highway'],261189,0.207,0.207,1673,0.322
1,t1,nc,TAG,['highway'],186651,0.148,0.356,1252,0.241
