,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,Apple,GEOMETRY,['highway'],60437,0.386,0.386,84,0.494
1,t0,Apple,CREATED,['highway'],38358,0.245,0.631,63,0.371
2,t0,Apple,NONE,['other'],14035,0.09,0.72,69,0.406
3,t0,Apple,TAG,['other'],8787,0.056,0.776,45,0.265
4,t0,Apple,TAG,['highway'],8283,0.053,0.829,54,0.318
5,t0,Apple,TAG_GEOMETRY,['highway'],4769,0.03,0.86,50,0.294
6,t0,Apple,GEOMETRY,['waterway'],3077,0.02,0.879,74,0.435
7,t0,Apple,GEOMETRY,['other'],2997,0.019,0.898,72,0.424
8,t0,Apple,DELETED,['other'],1841,0.012,0.91,37,0.218
9,t0,Apple,CREATED,['man_made'],1350,0.009,0.919,42,0.247
10,t0,Apple,GEOMETRY,['water' 'natural'],1278,0.008,0.927,56,0.329
11,t0,Kaart,GEOMETRY,['highway'],1244,0.008,0.935,8,0.047
12,t0,Kaart,CREATED,['highway'],1199,0.008,0.943,6,0.035
13,t0,Apple,DELETED,['highway'],1040,0.007,0.949,31,0.182
14,t0,Apple,GEOMETRY,['natural'],674,0.004,0.953,48,0.282
15,t0,Apple,GEOMETRY,['landuse'],637,0.004,0.958,53,0.312
16,t0,Apple,NONE,['highway'],504,0.003,0.961,29,0.171
17,t0,Kaart,TAG,['highway'],480,0.003,0.964,3,0.018
18,t0,Apple,GEOMETRY,['building'],453,0.003,0.967,22,0.129
19,t0,Apple,CREATED,['building'],400,0.003,0.969,4,0.024
0,t1,DigitalEgypt,GEOMETRY,['highway'],67458,0.386,0.386,26,0.114
1,t1,DigitalEgypt,CREATED,['highway'],13531,0.077,0.464,25,0.11
2,t1,Apple,GEOMETRY,['highway'],13530,0.077,0.541,85,0.373
3,t1,Apple,CREATED,['highway'],10765,0.062,0.603,57,0.25
4,t1,Neshan,GEOMETRY,['highway'],7634,0.044,0.647,9,0.039
5,t1,DigitalEgypt,DELETED,['highway'],7204,0.041,0.688,25,0.11
6,t1,DigitalEgypt,TAG_GEOMETRY,['highway'],5758,0.033,0.721,25,0.11
7,t1,DigitalEgypt,TAG,['highway'],5270,0.03,0.751,26,0.114
8,t1,Neshan,CREATED,['highway'],5225,0.03,0.781,7,0.031
9,t1,Apple,TAG,['other'],3860,0.022,0.803,62,0.272
10,t1,Apple,GEOMETRY,['waterway'],3677,0.021,0.824,72,0.316
11,t1,Apple,CREATED,['waterway'],3126,0.018,0.842,53,0.232
12,t1,Neshan,TAG,['highway'],2910,0.017,0.859,7,0.031
13,t1,DigitalEgypt,NONE,['other'],2077,0.012,0.871,22,0.096
14,t1,DigitalEgypt,NONE,['highway'],1944,0.011,0.882,24,0.105
15,t1,Apple,TAG,['place'],1695,0.01,0.892,49,0.215
16,t1,Apple,NONE,['other'],1559,0.009,0.9,57,0.25
17,t1,Apple,TAG,['waterway'],964,0.006,0.906,49,0.215
18,t1,Apple,GEOMETRY,['other'],880,0.005,0.911,64,0.281
19,t1,Apple,GEOMETRY,['building'],768,0.004,0.915,14,0.061
0,t0,nc,CREATED,['building'],121593,0.195,0.195,643,0.065
1,t0,nc,GEOMETRY,['highway'],116051,0.186,0.382,707,0.072
2,t0,nc,CREATED,['highway'],74906,0.12,0.502,1253,0.128
3,t0,nc,TAG,['highway'],23954,0.038,0.54,292,0.03
4,t0,nc,GEOMETRY,['building'],23214,0.037,0.578,272,0.028
5,t0,nc,TAG,['place'],18176,0.029,0.607,427,0.043
6,t0,nc,CREATED,['power'],17860,0.029,0.635,40,0.004
7,t0,nc,CREATED,['amenity'],13630,0.022,0.657,3915,0.398
8,t0,nc,CREATED,['tourism'],12659,0.02,0.678,4152,0.423
9,t0,nc,DELETED,['tourism'],11418,0.018,0.696,119,0.012
10,t0,nc,DELETED,['building'],11303,0.018,0.714,171,0.017
11,t0,nc,CREATED,['landuse'],9996,0.016,0.73,223,0.023
12,t0,nc,TAG_GEOMETRY,['highway'],9347,0.015,0.745,185,0.019
13,t0,nc,DELETED,['highway'],8967,0.014,0.76,193,0.02
14,t0,nc,NONE,['other'],8456,0.014,0.773,136,0.014
15,t0,nc,CREATED,['shop'],8054,0.013,0.786,2939,0.299
16,t0,nc,CREATED,['natural'],7849,0.013,0.799,561,0.057
17,t0,nc,CREATED,['waterway'],7325,0.012,0.81,142,0.014
18,t0,nc,DELETED,['other'],5908,0.009,0.82,111,0.011
19,t0,nc,TAG,['amenity'],5884,0.009,0.829,1017,0.104
0,t1,nc,CREATED,['building'],492588,0.313,0.313,1024,0.15
1,t1,nc,DELETED,['building'],370669,0.235,0.548,244,0.036
2,t1,nc,GEOMETRY,['highway'],133516,0.085,0.633,700,0.103
3,t1,nc,TAG,['building'],124402,0.079,0.712,225,0.033
4,t1,nc,CREATED,['highway'],62276,0.04,0.752,862,0.126
5,t1,nc,TAG,['highway'],45674,0.029,0.781,286,0.042
6,t1,nc,GEOMETRY,['building'],40071,0.025,0.806,491,0.072
7,t1,nc,CREATED,['other'],22292,0.014,0.82,203,0.03
8,t1,nc,DELETED,['place'],20181,0.013,0.833,69,0.01
9,t1,nc,DELETED,['highway'],15535,0.01,0.843,191,0.028
10,t1,nc,CREATED,['amenity'],13842,0.009,0.852,2435,0.357
11,t1,nc,TAG_GEOMETRY,['highway'],13335,0.008,0.86,172,0.025
12,t1,nc,GEOMETRY,['other'],12586,0.008,0.868,109,0.016
13,t1,nc,DELETED,['tourism'],12216,0.008,0.876,115,0.017
14,t1,nc,NONE,['other'],11620,0.007,0.883,97,0.014
15,t1,nc,TAG,['amenity'],9462,0.006,0.889,475,0.07
16,t1,nc,CREATED,['natural'],9170,0.006,0.895,374,0.055
17,t1,nc,TAG,['other'],9125,0.006,0.901,151,0.022
18,t1,nc,CREATED,['tourism'],8103,0.005,0.906,2393,0.351
19,t1,nc,CREATED,['landuse'],7561,0.005,0.911,149,0.022
