,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,Grab,GEOMETRY,['highway'],7847,0.229,0.229,46,0.23
1,t0,Apple,GEOMETRY,['highway'],5539,0.161,0.39,78,0.39
2,t0,Kaart,GEOMETRY,['highway'],4456,0.13,0.52,2,0.01
3,t0,Grab,CREATED,['highway'],4313,0.126,0.646,45,0.225
4,t0,Apple,CREATED,['highway'],3839,0.112,0.758,48,0.24
5,t0,Kaart,CREATED,['highway'],1046,0.03,0.788,2,0.01
6,t0,Apple,GEOMETRY,['waterway'],814,0.024,0.812,49,0.245
7,t0,Meta,GEOMETRY,['highway'],538,0.016,0.827,40,0.2
8,t0,Apple,GEOMETRY,['other'],500,0.015,0.842,40,0.2
9,t0,Meta,CREATED,['highway'],424,0.012,0.854,33,0.165
10,t0,Grab,GEOMETRY,['building'],380,0.011,0.865,24,0.12
11,t0,Apple,GEOMETRY,['natural'],344,0.01,0.876,53,0.265
12,t0,Apple,CREATED,['other'],302,0.009,0.884,25,0.125
13,t0,Apple,GEOMETRY,['building'],235,0.007,0.891,25,0.125
14,t0,Apple,TAG,['highway'],221,0.006,0.898,27,0.135
15,t0,Grab,DELETED,['highway'],185,0.005,0.903,26,0.13
16,t0,Apple,TAG_GEOMETRY,['highway'],181,0.005,0.908,30,0.15
17,t0,Grab,TAG,['highway'],177,0.005,0.913,30,0.15
18,t0,Apple,NONE,['other'],173,0.005,0.918,27,0.135
19,t0,Grab,NONE,['highway'],126,0.004,0.922,14,0.07
0,t1,Apple,GEOMETRY,['highway'],20094,0.229,0.229,99,0.369
1,t1,Kaart,GEOMETRY,['highway'],11272,0.128,0.357,15,0.056
2,t1,Apple,CREATED,['highway'],10278,0.117,0.475,76,0.284
3,t1,Kaart,CREATED,['highway'],9007,0.103,0.577,14,0.052
4,t1,Kaart,TAG,['highway'],5236,0.06,0.637,14,0.052
5,t1,Grab,GEOMETRY,['highway'],5054,0.058,0.695,42,0.157
6,t1,Grab,CREATED,['highway'],4337,0.049,0.744,28,0.104
7,t1,Kaart,NONE,['highway'],3078,0.035,0.779,14,0.052
8,t1,Kaart,CREATED,['barrier'],2639,0.03,0.809,13,0.049
9,t1,Kaart,TAG_GEOMETRY,['highway'],2528,0.029,0.838,14,0.052
10,t1,Kaart,TAG,['barrier'],2202,0.025,0.863,13,0.049
11,t1,Meta,GEOMETRY,['highway'],1149,0.013,0.876,23,0.086
12,t1,Apple,GEOMETRY,['building'],1141,0.013,0.889,30,0.112
13,t1,Apple,TAG,['highway'],935,0.011,0.9,68,0.254
14,t1,Kaart,DELETED,['highway'],847,0.01,0.909,14,0.052
15,t1,Apple,TAG_GEOMETRY,['highway'],703,0.008,0.917,51,0.19
16,t1,Apple,DELETED,['highway'],487,0.006,0.923,34,0.127
17,t1,Meta,NONE,['other'],329,0.004,0.927,11,0.041
18,t1,Meta,GEOMETRY,['building'],328,0.004,0.931,15,0.056
19,t1,Kaart,CREATED,['other'],274,0.003,0.934,12,0.045
0,t0,nc,GEOMETRY,['highway'],68374,0.357,0.357,352,0.286
1,t0,nc,CREATED,['highway'],38607,0.202,0.559,311,0.252
2,t0,nc,CREATED,['building'],11460,0.06,0.618,98,0.08
3,t0,nc,DELETED,['highway'],6051,0.032,0.65,138,0.112
4,t0,nc,DELETED,['other'],5842,0.031,0.68,29,0.024
5,t0,nc,CREATED,['other'],5641,0.029,0.71,138,0.112
6,t0,nc,GEOMETRY,['building'],4846,0.025,0.735,122,0.099
7,t0,nc,TAG,['highway'],4829,0.025,0.76,192,0.156
8,t0,nc,CREATED,['railway'],3934,0.021,0.781,17,0.014
9,t0,nc,DELETED,['railway'],3388,0.018,0.799,3,0.002
10,t0,nc,CREATED,['amenity'],3166,0.017,0.815,405,0.329
11,t0,nc,TAG_GEOMETRY,['highway'],2984,0.016,0.831,176,0.143
12,t0,nc,NONE,['highway'],2492,0.013,0.844,122,0.099
13,t0,nc,DELETED,['building'],1872,0.01,0.854,24,0.019
14,t0,nc,DELETED,['amenity'],1855,0.01,0.863,36,0.029
15,t0,nc,CREATED,['landuse'],1751,0.009,0.872,42,0.034
16,t0,nc,NONE,['other'],1713,0.009,0.881,92,0.075
17,t0,nc,NONE,['amenity'],1654,0.009,0.89,48,0.039
18,t0,nc,TAG,['amenity'],1284,0.007,0.897,181,0.147
19,t0,nc,CREATED,['tourism'],1053,0.005,0.902,233,0.189
0,t1,nc,GEOMETRY,['highway'],33738,0.277,0.277,215,0.319
1,t1,nc,CREATED,['building'],19810,0.162,0.439,128,0.19
2,t1,nc,CREATED,['highway'],16052,0.132,0.571,143,0.212
3,t1,nc,TAG,['highway'],6224,0.051,0.622,111,0.164
4,t1,nc,DELETED,['highway'],4814,0.039,0.661,63,0.093
5,t1,nc,TAG,['amenity'],2275,0.019,0.68,99,0.147
6,t1,nc,TAG_GEOMETRY,['highway'],2154,0.018,0.697,76,0.113
7,t1,nc,NONE,['highway'],2098,0.017,0.714,70,0.104
8,t1,nc,GEOMETRY,['building'],2016,0.017,0.731,72,0.107
9,t1,nc,CREATED,['waterway'],1894,0.016,0.747,33,0.049
10,t1,nc,DELETED,['building'],1480,0.012,0.759,49,0.073
11,t1,nc,DELETED,['other'],1430,0.012,0.77,25,0.037
12,t1,nc,GEOMETRY,['waterway'],1410,0.012,0.782,56,0.083
13,t1,nc,CREATED,['landuse'],1279,0.01,0.792,44,0.065
14,t1,nc,CREATED,['power'],1232,0.01,0.803,10,0.015
15,t1,nc,CREATED,['natural'],1199,0.01,0.812,43,0.064
16,t1,nc,CREATED,['amenity'],1175,0.01,0.822,155,0.23
17,t1,nc,TAG,['building'],1112,0.009,0.831,52,0.077
18,t1,nc,GEOMETRY,['landuse'],1084,0.009,0.84,52,0.077
19,t1,nc,TAG,['tourism'],952,0.008,0.848,56,0.083
