,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,Kaart,GEOMETRY,['highway'],11455,0.366,0.366,23,0.338
1,t0,Kaart,CREATED,['highway'],7359,0.235,0.601,23,0.338
2,t0,Kaart,TAG,['highway'],4070,0.13,0.731,21,0.309
3,t0,Apple,NONE,['other'],1862,0.059,0.79,17,0.25
4,t0,Kaart,TAG_GEOMETRY,['highway'],1404,0.045,0.835,20,0.294
5,t0,Apple,CREATED,['building'],1205,0.038,0.873,5,0.074
6,t0,Kaart,DELETED,['highway'],866,0.028,0.901,17,0.25
7,t0,Kaart,GEOMETRY,['building'],652,0.021,0.922,8,0.118
8,t0,Kaart,NONE,['highway'],593,0.019,0.941,19,0.279
9,t0,Apple,GEOMETRY,['highway'],333,0.011,0.951,15,0.221
10,t0,Apple,GEOMETRY,['natural'],134,0.004,0.956,20,0.294
11,t0,Apple,DELETED,['other'],126,0.004,0.96,6,0.088
12,t0,Kaart,NONE,['other'],113,0.004,0.963,12,0.176
13,t0,Apple,GEOMETRY,['building'],100,0.003,0.966,3,0.044
14,t0,Kaart,TAG,['barrier'],97,0.003,0.969,7,0.103
15,t0,Apple,TAG,['highway'],93,0.003,0.972,6,0.088
16,t0,Kaart,CREATED,['other'],82,0.003,0.975,12,0.176
17,t0,Apple,GEOMETRY,['man_made'],71,0.002,0.977,14,0.206
18,t0,Apple,TAG,['other'],68,0.002,0.979,5,0.074
19,t0,Kaart,GEOMETRY,['place' 'landuse'],59,0.002,0.981,8,0.118
0,t1,DigitalEgypt,GEOMETRY,['highway'],37574,0.261,0.261,21,0.188
1,t1,Kaart,TAG,['highway'],18966,0.132,0.393,18,0.161
2,t1,Apple,GEOMETRY,['highway'],17522,0.122,0.515,37,0.33
3,t1,DigitalEgypt,CREATED,['highway'],13240,0.092,0.607,19,0.17
4,t1,Kaart,GEOMETRY,['highway'],11249,0.078,0.685,17,0.152
5,t1,Apple,CREATED,['highway'],7986,0.056,0.741,37,0.33
6,t1,DigitalEgypt,TAG,['highway'],5191,0.036,0.777,21,0.188
7,t1,Kaart,CREATED,['highway'],4211,0.029,0.806,17,0.152
8,t1,Apple,TAG,['highway'],3811,0.026,0.833,37,0.33
9,t1,DigitalEgypt,DELETED,['highway'],3363,0.023,0.856,20,0.179
10,t1,DigitalEgypt,TAG_GEOMETRY,['highway'],3157,0.022,0.878,20,0.179
11,t1,Apple,GEOMETRY,['building'],2101,0.015,0.892,18,0.161
12,t1,DigitalEgypt,NONE,['highway'],1898,0.013,0.906,18,0.161
13,t1,Kaart,TAG_GEOMETRY,['highway'],1882,0.013,0.919,17,0.152
14,t1,Kaart,NONE,['highway'],1203,0.008,0.927,17,0.152
15,t1,DigitalEgypt,TAG,['other'],1172,0.008,0.935,8,0.071
16,t1,Kaart,DELETED,['highway'],897,0.006,0.942,16,0.143
17,t1,DigitalEgypt,CREATED,['other'],697,0.005,0.946,13,0.116
18,t1,DigitalEgypt,GEOMETRY,['building'],618,0.004,0.951,9,0.08
19,t1,Apple,TAG_GEOMETRY,['highway'],613,0.004,0.955,32,0.286
0,t0,nc,TAG,['building'],147262,0.814,0.814,38,0.134
1,t0,nc,CREATED,['building'],7470,0.041,0.856,35,0.123
2,t0,nc,GEOMETRY,['highway'],5255,0.029,0.885,68,0.239
3,t0,nc,TAG,['highway'],5000,0.028,0.912,37,0.13
4,t0,nc,CREATED,['highway'],2599,0.014,0.927,50,0.176
5,t0,nc,DELETED,['other'],2338,0.013,0.94,16,0.056
6,t0,nc,CREATED,['amenity'],2084,0.012,0.951,42,0.148
7,t0,nc,TAG,['other'],1145,0.006,0.958,25,0.088
8,t0,nc,CREATED,['power'],873,0.005,0.962,8,0.028
9,t0,nc,NONE,['other'],750,0.004,0.967,16,0.056
10,t0,nc,DELETED,['highway'],602,0.003,0.97,22,0.077
11,t0,nc,CREATED,['landuse'],562,0.003,0.973,17,0.06
12,t0,nc,TAG_GEOMETRY,['highway'],530,0.003,0.976,17,0.06
13,t0,nc,NONE,['highway'],408,0.002,0.978,22,0.077
14,t0,nc,TAG,['amenity'],382,0.002,0.98,42,0.148
15,t0,nc,CREATED,['man_made'],308,0.002,0.982,20,0.07
16,t0,nc,TAG,['amenity' 'building'],196,0.001,0.983,26,0.092
17,t0,nc,GEOMETRY,['building'],165,0.001,0.984,22,0.077
18,t0,nc,CREATED,['other'],151,0.001,0.985,18,0.063
19,t0,nc,CREATED,['barrier'],143,0.001,0.986,10,0.035
0,t1,nc,CREATED,['other'],11166,0.161,0.161,21,0.096
1,t1,nc,DELETED,['other'],9488,0.137,0.298,12,0.055
2,t1,nc,CREATED,['power'],7298,0.105,0.403,8,0.037
3,t1,nc,TAG,['building'],5113,0.074,0.477,31,0.142
4,t1,nc,TAG,['highway'],3306,0.048,0.525,26,0.119
5,t1,nc,CREATED,['highway'],3228,0.047,0.571,42,0.192
6,t1,nc,CREATED,['building'],3189,0.046,0.617,35,0.16
7,t1,nc,CREATED,['amenity' 'building'],3028,0.044,0.661,18,0.082
8,t1,nc,CREATED,['man_made'],2667,0.038,0.699,13,0.059
9,t1,nc,GEOMETRY,['highway'],2542,0.037,0.736,61,0.279
10,t1,nc,CREATED,['landuse'],2460,0.035,0.772,10,0.046
