,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,Apple,GEOMETRY,['highway'],58064,0.571,0.571,75,0.701
1,t0,Apple,CREATED,['highway'],17806,0.175,0.746,67,0.626
2,t0,Apple,TAG,['highway'],9266,0.091,0.838,60,0.561
3,t0,Kaart,TAG,['highway'],5993,0.059,0.897,2,0.019
4,t0,Apple,TAG_GEOMETRY,['highway'],2598,0.026,0.922,55,0.514
5,t0,Apple,NONE,['other'],1798,0.018,0.94,39,0.364
6,t0,Apple,NONE,['highway'],1737,0.017,0.957,45,0.421
7,t0,Apple,GEOMETRY,['building'],844,0.008,0.965,25,0.234
8,t0,Apple,DELETED,['highway'],658,0.006,0.972,40,0.374
9,t0,Apple,TAG,['other'],425,0.004,0.976,19,0.178
10,t0,Apple,CREATED,['other'],168,0.002,0.978,32,0.299
11,t0,Apple,GEOMETRY,['landuse'],158,0.002,0.979,24,0.224
12,t0,Apple,GEOMETRY,['aeroway'],141,0.001,0.98,3,0.028
13,t0,Apple,TAG,['railway'],134,0.001,0.982,11,0.103
14,t0,Apple,NONE,['barrier'],133,0.001,0.983,16,0.15
15,t0,Apple,NONE,['public_transport' 'highway'],125,0.001,0.984,11,0.103
16,t0,Apple,GEOMETRY,['waterway'],107,0.001,0.986,23,0.215
17,t0,Apple,GEOMETRY,['railway'],107,0.001,0.986,16,0.15
18,t0,Apple,NONE,['railway'],91,0.001,0.987,11,0.103
19,t0,Apple,CREATED,['barrier'],87,0.001,0.988,16,0.15
0,t1,TomTom,GEOMETRY,['highway'],32710,0.235,0.235,135,0.48
1,t1,DigitalEgypt,GEOMETRY,['highway'],30701,0.221,0.456,27,0.096
2,t1,TomTom,CREATED,['highway'],30350,0.218,0.674,130,0.463
3,t1,DigitalEgypt,CREATED,['highway'],10149,0.073,0.747,26,0.093
4,t1,DigitalEgypt,TAG,['highway'],4871,0.035,0.782,23,0.082
5,t1,DigitalEgypt,NONE,['highway'],4491,0.032,0.815,23,0.082
6,t1,DigitalEgypt,TAG_GEOMETRY,['highway'],4071,0.029,0.844,27,0.096
7,t1,DigitalEgypt,TAG,['other'],3071,0.022,0.866,15,0.053
8,t1,DigitalEgypt,DELETED,['highway'],2929,0.021,0.887,26,0.093
9,t1,Apple,GEOMETRY,['highway'],2030,0.015,0.902,35,0.125
10,t1,Apple,CREATED,['highway'],1165,0.008,0.91,35,0.125
11,t1,DigitalEgypt,NONE,['other'],947,0.007,0.917,23,0.082
12,t1,TomTom,GEOMETRY,['building'],583,0.004,0.921,58,0.206
13,t1,DigitalEgypt,CREATED,['barrier'],573,0.004,0.925,19,0.068
14,t1,Microsoft,CREATED,['highway'],563,0.004,0.929,14,0.05
15,t1,TomTom,TAG,['highway'],553,0.004,0.933,79,0.281
16,t1,Apple,TAG,['highway'],547,0.004,0.937,23,0.082
17,t1,DigitalEgypt,CREATED,['other'],465,0.003,0.941,21,0.075
18,t1,DigitalEgypt,TAG,['barrier'],464,0.003,0.944,20,0.071
19,t1,Microsoft,GEOMETRY,['highway'],433,0.003,0.947,17,0.06
0,t0,nc,GEOMETRY,['highway'],882264,0.52,0.52,758,0.392
1,t0,nc,CREATED,['highway'],324659,0.191,0.711,617,0.319
2,t0,nc,CREATED,['power'],95328,0.056,0.767,17,0.009
3,t0,nc,TAG,['highway'],75508,0.044,0.812,518,0.268
4,t0,nc,CREATED,['building'],74216,0.044,0.856,331,0.171
5,t0,nc,TAG,['other'],30191,0.018,0.873,257,0.133
6,t0,nc,NONE,['other'],22301,0.013,0.887,332,0.171
7,t0,nc,TAG_GEOMETRY,['highway'],19193,0.011,0.898,420,0.217
8,t0,nc,NONE,['highway'],17944,0.011,0.908,384,0.198
9,t0,nc,GEOMETRY,['building'],12649,0.007,0.916,318,0.164
10,t0,nc,CREATED,['landuse'],10067,0.006,0.922,138,0.071
11,t0,nc,TAG,['power'],8875,0.005,0.927,27,0.014
12,t0,nc,CREATED,['other'],8561,0.005,0.932,370,0.191
13,t0,nc,CREATED,['natural'],7397,0.004,0.937,104,0.054
14,t0,nc,CREATED,['amenity'],7210,0.004,0.941,483,0.249
15,t0,nc,DELETED,['highway'],5790,0.003,0.944,299,0.154
16,t0,nc,TAG,['place'],5345,0.003,0.947,86,0.044
17,t0,nc,GEOMETRY,['landuse'],4917,0.003,0.95,371,0.192
18,t0,nc,DELETED,['natural'],4720,0.003,0.953,25,0.013
19,t0,nc,DELETED,['amenity'],4607,0.003,0.956,68,0.035
0,t1,nc,CREATED,['building'],102116,0.324,0.324,395,0.27
1,t1,nc,CREATED,['power'],42844,0.136,0.46,20,0.014
2,t1,nc,GEOMETRY,['highway'],28788,0.091,0.551,455,0.311
3,t1,nc,CREATED,['highway'],21718,0.069,0.62,313,0.214
4,t1,nc,TAG,['highway'],19680,0.062,0.683,236,0.161
5,t1,nc,CREATED,['landuse'],8195,0.026,0.709,130,0.089
6,t1,nc,NONE,['highway'],4519,0.014,0.723,169,0.116
7,t1,nc,CREATED,['amenity'],4517,0.014,0.737,342,0.234
8,t1,nc,TAG,['public_transport' 'highway'],4138,0.013,0.75,34,0.023
9,t1,nc,CREATED,['natural'],3988,0.013,0.763,107,0.073
10,t1,nc,TAG_GEOMETRY,['highway'],3780,0.012,0.775,127,0.087
11,t1,nc,TAG,['place'],3728,0.012,0.787,73,0.05
12,t1,nc,GEOMETRY,['building'],3560,0.011,0.798,176,0.12
13,t1,nc,GEOMETRY,['landuse'],3433,0.011,0.809,206,0.141
14,t1,nc,DELETED,['highway'],3091,0.01,0.819,112,0.077
15,t1,nc,CREATED,['other'],3078,0.01,0.829,134,0.092
16,t1,nc,CREATED,['public_transport' 'highway'],2473,0.008,0.836,12,0.008
17,t1,nc,GEOMETRY,['waterway'],2402,0.008,0.844,100,0.068
18,t1,nc,NONE,['power'],2400,0.008,0.852,35,0.024
19,t1,nc,CREATED,['barrier'],1889,0.006,0.858,74,0.051
