,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,Apple,GEOMETRY,['building'],58799,0.168,0.168,147,0.519
1,t0,Apple,TAG,['other'],57242,0.164,0.332,84,0.297
2,t0,Apple,CREATED,['building'],56077,0.161,0.493,84,0.297
3,t0,Apple,NONE,['building'],37442,0.107,0.6,79,0.279
4,t0,Apple,GEOMETRY,['highway'],29970,0.086,0.686,157,0.555
5,t0,Apple,CREATED,['highway'],19325,0.055,0.742,100,0.353
6,t0,Apple,NONE,['other'],18259,0.052,0.794,113,0.399
7,t0,Apple,GEOMETRY,['waterway'],5528,0.016,0.81,107,0.378
8,t0,Grab,GEOMETRY,['highway'],5318,0.015,0.825,18,0.064
9,t0,Apple,DELETED,['building'],4880,0.014,0.839,77,0.272
10,t0,Grab,CREATED,['highway'],4529,0.013,0.852,16,0.057
11,t0,Apple,DELETED,['other'],4483,0.013,0.865,68,0.24
12,t0,Meta,CREATED,['building'],3616,0.01,0.875,3,0.011
13,t0,Apple,GEOMETRY,['natural'],3589,0.01,0.885,92,0.325
14,t0,Kaart,GEOMETRY,['highway'],3501,0.01,0.895,7,0.025
15,t0,Apple,GEOMETRY,['other'],3052,0.009,0.904,104,0.367
16,t0,Apple,GEOMETRY,['route'],2810,0.008,0.912,68,0.24
17,t0,Apple,TAG_GEOMETRY,['building'],2617,0.007,0.92,49,0.173
18,t0,Apple,TAG,['highway'],2192,0.006,0.926,64,0.226
19,t0,Apple,TAG,['amenity'],2086,0.006,0.932,60,0.212
0,t1,Apple,GEOMETRY,['highway'],19381,0.145,0.145,150,0.391
1,t1,Apple,TAG,['other'],18338,0.137,0.282,66,0.172
2,t1,Apple,NONE,['building'],15004,0.112,0.394,36,0.094
3,t1,Apple,GEOMETRY,['building'],13663,0.102,0.496,85,0.221
4,t1,Apple,NONE,['other'],11829,0.088,0.584,76,0.198
5,t1,Apple,CREATED,['highway'],10832,0.081,0.665,94,0.245
6,t1,Apple,CREATED,['building'],5618,0.042,0.707,39,0.102
7,t1,Meta,GEOMETRY,['highway'],5486,0.041,0.748,27,0.07
8,t1,Grab,GEOMETRY,['highway'],2991,0.022,0.77,62,0.161
9,t1,Apple,TAG,['highway'],2328,0.017,0.788,88,0.229
10,t1,Apple,DELETED,['other'],2227,0.017,0.804,43,0.112
11,t1,Meta,GEOMETRY,['building'],2117,0.016,0.82,25,0.065
12,t1,Grab,CREATED,['highway'],1707,0.013,0.833,40,0.104
13,t1,TomTom,GEOMETRY,['highway'],1567,0.012,0.844,37,0.096
14,t1,Meta,DELETED,['building'],1331,0.01,0.854,21,0.055
15,t1,Apple,DELETED,['building'],1100,0.008,0.863,35,0.091
16,t1,Grab,TAG,['highway'],977,0.007,0.87,28,0.073
17,t1,Apple,GEOMETRY,['natural'],973,0.007,0.877,64,0.167
18,t1,Wonder,GEOMETRY,['building'],919,0.007,0.884,1,0.003
19,t1,Meta,CREATED,['railway'],799,0.006,0.89,19,0.049
0,t0,nc,CREATED,['building'],755083,0.521,0.521,2058,0.507
1,t0,nc,GEOMETRY,['building'],154677,0.107,0.628,1085,0.267
2,t0,nc,CREATED,['highway'],120337,0.083,0.711,921,0.227
3,t0,nc,GEOMETRY,['highway'],108798,0.075,0.786,1278,0.315
4,t0,nc,DELETED,['building'],80978,0.056,0.842,604,0.149
5,t0,nc,NONE,['building'],67673,0.047,0.889,316,0.078
6,t0,nc,CREATED,['landuse'],16664,0.012,0.9,228,0.056
7,t0,nc,DELETED,['highway'],16276,0.011,0.912,338,0.083
8,t0,nc,CREATED,['other'],16139,0.011,0.923,304,0.075
9,t0,nc,TAG,['highway'],10851,0.007,0.93,451,0.111
10,t0,nc,TAG_GEOMETRY,['building'],10033,0.007,0.937,144,0.035
11,t0,nc,CREATED,['amenity'],7744,0.005,0.943,694,0.171
12,t0,nc,TAG_GEOMETRY,['highway'],7333,0.005,0.948,347,0.085
13,t0,nc,TAG,['other'],6992,0.005,0.952,179,0.044
14,t0,nc,TAG,['building'],6323,0.004,0.957,256,0.063
15,t0,nc,DELETED,['other'],5749,0.004,0.961,151,0.037
16,t0,nc,CREATED,['waterway'],4880,0.003,0.964,244,0.06
17,t0,nc,GEOMETRY,['waterway'],3586,0.002,0.967,342,0.084
18,t0,nc,GEOMETRY,['landuse'],3315,0.002,0.969,351,0.086
19,t0,nc,TAG,['amenity'],2835,0.002,0.971,333,0.082
0,t1,nc,CREATED,['building'],74355,0.444,0.444,255,0.263
1,t1,nc,CREATED,['highway'],18311,0.109,0.553,230,0.237
2,t1,nc,GEOMETRY,['highway'],13499,0.081,0.633,311,0.321
3,t1,nc,DELETED,['building'],7425,0.044,0.678,95,0.098
4,t1,nc,GEOMETRY,['building'],5385,0.032,0.71,142,0.146
5,t1,nc,TAG,['highway'],4106,0.024,0.734,159,0.164
6,t1,nc,CREATED,['power'],3879,0.023,0.757,10,0.01
7,t1,nc,CREATED,['landuse'],3233,0.019,0.777,83,0.086
8,t1,nc,CREATED,['waterway'],2128,0.013,0.789,70,0.072
9,t1,nc,CREATED,['railway'],2020,0.012,0.802,15,0.015
10,t1,nc,GEOMETRY,['waterway'],1600,0.01,0.811,117,0.121
11,t1,nc,TAG,['building'],1557,0.009,0.82,85,0.088
12,t1,nc,CREATED,['historic'],1518,0.009,0.829,15,0.015
13,t1,nc,DELETED,['highway'],1465,0.009,0.838,99,0.102
14,t1,nc,TAG_GEOMETRY,['highway'],1294,0.008,0.846,119,0.123
15,t1,nc,GEOMETRY,['railway'],1272,0.008,0.853,22,0.023
16,t1,nc,CREATED,['other'],1143,0.007,0.867,79,0.081
17,t1,nc,CREATED,['natural'],1143,0.007,0.867,58,0.06
18,t1,nc,TAG,['amenity'],1132,0.007,0.874,110,0.113
19,t1,nc,NONE,['building'],1106,0.007,0.88,43,0.044
