,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,Apple,GEOMETRY,['highway'],619800,0.261,0.261,247,0.373
1,t0,Meta,GEOMETRY,['highway'],403149,0.17,0.431,91,0.137
2,t0,Meta,CREATED,['highway'],241906,0.102,0.533,88,0.133
3,t0,Kaart,TAG,['highway'],134278,0.057,0.59,40,0.06
4,t0,Apple,CREATED,['highway'],115168,0.049,0.638,208,0.314
5,t0,Kaart,GEOMETRY,['highway'],105726,0.045,0.683,38,0.057
6,t0,Grab,CREATED,['highway'],70952,0.03,0.713,211,0.319
7,t0,Grab,GEOMETRY,['highway'],68516,0.029,0.742,210,0.317
8,t0,Kaart,CREATED,['highway'],62696,0.026,0.768,38,0.057
9,t0,Apple,TAG,['highway'],58492,0.025,0.793,161,0.243
10,t0,Meta,DELETED,['highway'],54053,0.023,0.815,86,0.13
11,t0,Meta,TAG,['highway'],51977,0.022,0.837,84,0.127
12,t0,Kaart,TAG_GEOMETRY,['highway'],45641,0.019,0.857,39,0.059
13,t0,Meta,NONE,['highway'],43689,0.018,0.875,82,0.124
14,t0,Apple,TAG_GEOMETRY,['highway'],38120,0.016,0.891,177,0.267
15,t0,Meta,TAG_GEOMETRY,['highway'],37124,0.016,0.907,85,0.128
16,t0,Apple,NONE,['other'],16869,0.007,0.914,186,0.281
17,t0,Apple,GEOMETRY,['building'],15049,0.006,0.92,156,0.236
18,t0,Apple,NONE,['highway'],11187,0.005,0.925,152,0.23
19,t0,Kaart,DELETED,['highway'],9827,0.004,0.929,38,0.057
0,t1,Grab,CREATED,['building'],184007,0.288,0.288,48,0.062
1,t1,Apple,GEOMETRY,['highway'],114814,0.179,0.467,375,0.481
2,t1,Kaart,TAG,['highway'],98358,0.154,0.621,4,0.005
3,t1,Apple,CREATED,['highway'],30163,0.047,0.668,314,0.403
4,t1,Grab,GEOMETRY,['highway'],23099,0.036,0.704,233,0.299
5,t1,Grab,TAG,['highway'],22925,0.036,0.74,179,0.23
6,t1,Grab,CREATED,['highway'],19148,0.03,0.77,214,0.275
7,t1,Grab,GEOMETRY,['building'],17568,0.027,0.797,48,0.062
8,t1,Kaart,GEOMETRY,['highway'],17514,0.027,0.824,6,0.008
9,t1,Apple,TAG,['highway'],16008,0.025,0.85,312,0.401
10,t1,Kaart,CREATED,['highway'],10210,0.016,0.865,6,0.008
11,t1,Kaart,TAG_GEOMETRY,['highway'],8903,0.014,0.879,5,0.006
12,t1,Apple,CREATED,['barrier'],6924,0.011,0.89,180,0.231
13,t1,Apple,TAG_GEOMETRY,['highway'],6297,0.01,0.9,277,0.356
14,t1,Kaart,DELETED,['highway'],4616,0.007,0.907,5,0.006
15,t1,Grab,TAG_GEOMETRY,['building'],4032,0.006,0.914,7,0.009
16,t1,Apple,TAG,['barrier'],3843,0.006,0.92,195,0.25
17,t1,Apple,NONE,['highway'],3316,0.005,0.925,254,0.326
18,t1,Grab,TAG,['building'],3082,0.005,0.93,11,0.014
19,t1,Grab,TAG_GEOMETRY,['highway'],3047,0.005,0.934,146,0.187
0,t0,nc,GEOMETRY,['highway'],706076,0.419,0.419,1185,0.436
1,t0,nc,CREATED,['highway'],290869,0.173,0.592,986,0.363
2,t0,nc,CREATED,['building'],207282,0.123,0.715,622,0.229
3,t0,nc,TAG,['highway'],106352,0.063,0.778,779,0.287
4,t0,nc,TAG_GEOMETRY,['highway'],56069,0.033,0.811,577,0.213
5,t0,nc,DELETED,['highway'],30715,0.018,0.829,501,0.185
6,t0,nc,GEOMETRY,['building'],30333,0.018,0.847,492,0.181
7,t0,nc,NONE,['highway'],17610,0.01,0.858,486,0.179
8,t0,nc,NONE,['other'],14230,0.008,0.866,361,0.133
9,t0,nc,CREATED,['other'],13735,0.008,0.874,535,0.197
10,t0,nc,TAG,['building'],13007,0.008,0.882,293,0.108
11,t0,nc,CREATED,['amenity'],11890,0.007,0.889,694,0.256
12,t0,nc,CREATED,['landuse'],11689,0.007,0.896,277,0.102
13,t0,nc,CREATED,['waterway'],9320,0.006,0.901,127,0.047
14,t0,nc,TAG,['amenity'],9295,0.006,0.907,332,0.122
15,t0,nc,CREATED,['natural'],8596,0.005,0.912,142,0.052
16,t0,nc,GEOMETRY,['landuse'],8118,0.005,0.917,349,0.129
17,t0,nc,TAG,['other'],7904,0.005,0.922,301,0.111
18,t0,nc,CREATED,['power'],6696,0.004,0.925,40,0.015
19,t0,nc,DELETED,['building'],6211,0.004,0.929,170,0.063
0,t1,nc,CREATED,['building'],202493,0.246,0.246,397,0.21
1,t1,nc,GEOMETRY,['highway'],143502,0.174,0.42,699,0.37
2,t1,nc,CREATED,['highway'],62746,0.076,0.497,514,0.272
3,t1,nc,TAG,['highway'],55632,0.068,0.564,482,0.255
4,t1,nc,CREATED,['natural'],37934,0.046,0.61,118,0.063
5,t1,nc,TAG,['building'],35606,0.043,0.654,287,0.152
6,t1,nc,TAG_GEOMETRY,['highway'],24578,0.03,0.684,278,0.147
7,t1,nc,DELETED,['highway'],19198,0.023,0.707,228,0.121
8,t1,nc,GEOMETRY,['building'],18901,0.023,0.73,259,0.137
9,t1,nc,CREATED,['amenity'],12990,0.016,0.746,442,0.234
10,t1,nc,NONE,['highway'],12163,0.015,0.76,261,0.138
11,t1,nc,CREATED,['other'],10577,0.013,0.773,252,0.133
12,t1,nc,TAG,['amenity'],9024,0.011,0.784,270,0.143
13,t1,nc,TAG,['other'],8372,0.01,0.794,206,0.109
14,t1,nc,CREATED,['landuse'],7881,0.01,0.804,197,0.104
15,t1,nc,NONE,['other'],7448,0.009,0.813,145,0.077
16,t1,nc,DELETED,['building'],7428,0.009,0.822,110,0.058
17,t1,nc,TAG_GEOMETRY,['building'],6629,0.008,0.83,113,0.06
18,t1,nc,CREATED,['waterway'],6123,0.007,0.838,94,0.05
19,t1,nc,GEOMETRY,['landuse'],5723,0.007,0.845,188,0.1
