,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,Kaart,GEOMETRY,['highway'],41276,0.203,0.203,13,0.071
1,t0,Kaart,CREATED,['highway'],30349,0.149,0.351,13,0.071
2,t0,Apple,CREATED,['highway'],22215,0.109,0.46,49,0.266
3,t0,Apple,GEOMETRY,['highway'],18321,0.09,0.55,74,0.402
4,t0,MeNextBillion,GEOMETRY,['highway'],14072,0.069,0.619,8,0.043
5,t0,Kaart,TAG,['highway'],12399,0.061,0.68,12,0.065
6,t0,Apple,TAG,['other'],12203,0.06,0.74,51,0.277
7,t0,MeNextBillion,CREATED,['highway'],12120,0.059,0.799,8,0.043
8,t0,Apple,NONE,['other'],6408,0.031,0.831,51,0.277
9,t0,Kaart,TAG_GEOMETRY,['highway'],3570,0.018,0.848,13,0.071
10,t0,Apple,GEOMETRY,['other'],3112,0.015,0.864,54,0.293
11,t0,Apple,GEOMETRY,['waterway'],2986,0.015,0.878,62,0.337
12,t0,Kaart,NONE,['highway'],1814,0.009,0.887,9,0.049
13,t0,Apple,DELETED,['other'],1725,0.008,0.896,29,0.158
14,t0,Apple,GEOMETRY,['natural'],1469,0.007,0.903,55,0.299
15,t0,Apple,GEOMETRY,['water' 'natural'],1341,0.007,0.91,54,0.293
16,t0,Uber,GEOMETRY,['highway'],1332,0.007,0.916,21,0.114
17,t0,MeNextBillion,TAG,['highway'],1329,0.007,0.923,7,0.038
18,t0,Kaart,DELETED,['highway'],1242,0.006,0.929,7,0.038
19,t0,Uber,CREATED,['highway'],1213,0.006,0.941,20,0.109
0,t1,Kaart,CREATED,['highway'],173758,0.411,0.411,57,0.185
1,t1,Kaart,GEOMETRY,['highway'],107256,0.254,0.665,57,0.185
2,t1,Apple,GEOMETRY,['highway'],45182,0.107,0.772,107,0.347
3,t1,Apple,CREATED,['highway'],29959,0.071,0.843,82,0.266
4,t1,Kaart,TAG_GEOMETRY,['highway'],7837,0.019,0.862,50,0.162
5,t1,Kaart,TAG,['highway'],6981,0.017,0.878,45,0.146
6,t1,Kaart,TAG,['other'],5927,0.014,0.892,22,0.071
7,t1,Kaart,DELETED,['highway'],5749,0.014,0.906,43,0.14
8,t1,Apple,CREATED,['other'],3077,0.007,0.913,65,0.211
9,t1,Apple,TAG,['highway'],2813,0.007,0.92,58,0.188
10,t1,Apple,GEOMETRY,['other'],2746,0.007,0.926,73,0.237
11,t1,Apple,NONE,['other'],2652,0.006,0.933,58,0.188
12,t1,Kaart,CREATED,['other'],2617,0.006,0.939,33,0.107
13,t1,Kaart,NONE,['other'],1790,0.004,0.943,30,0.097
14,t1,Apple,GEOMETRY,['waterway'],1711,0.004,0.947,81,0.263
15,t1,Apple,TAG_GEOMETRY,['highway'],1485,0.004,0.951,57,0.185
16,t1,Microsoft,GEOMETRY,['highway'],1442,0.003,0.954,18,0.058
17,t1,Kaart,NONE,['highway'],1217,0.003,0.957,45,0.146
18,t1,Apple,DELETED,['highway'],940,0.002,0.959,36,0.117
19,t1,Kaart,CREATED,['building'],928,0.002,0.961,19,0.062
0,t0,nc,CREATED,['highway'],154985,0.333,0.333,418,0.269
1,t0,nc,GEOMETRY,['highway'],91581,0.197,0.53,525,0.338
2,t0,nc,CREATED,['building'],43501,0.094,0.623,317,0.204
3,t0,nc,TAG,['highway'],42182,0.091,0.714,277,0.178
4,t0,nc,DELETED,['other'],17219,0.037,0.751,82,0.053
5,t0,nc,TAG_GEOMETRY,['highway'],8477,0.018,0.769,195,0.125
6,t0,nc,DELETED,['highway'],7634,0.016,0.786,160,0.103
7,t0,nc,NONE,['highway'],7044,0.015,0.801,172,0.111
8,t0,nc,TAG,['amenity'],6743,0.014,0.815,189,0.122
9,t0,nc,TAG,['other'],6416,0.014,0.829,191,0.123
10,t0,nc,GEOMETRY,['building'],5781,0.012,0.842,157,0.101
11,t0,nc,CREATED,['other'],4499,0.01,0.851,248,0.16
12,t0,nc,CREATED,['natural'],4319,0.009,0.861,102,0.066
13,t0,nc,CREATED,['landuse'],3633,0.008,0.868,194,0.125
14,t0,nc,CREATED,['waterway'],3617,0.008,0.876,105,0.068
15,t0,nc,TAG,['building'],3523,0.008,0.884,137,0.088
16,t0,nc,CREATED,['amenity'],3413,0.007,0.891,320,0.206
17,t0,nc,TAG,['place'],2891,0.006,0.897,133,0.086
18,t0,nc,CREATED,['place'],2724,0.006,0.903,90,0.058
19,t0,nc,DELETED,['building'],2642,0.006,0.909,90,0.058
0,t1,nc,CREATED,['highway'],326288,0.351,0.351,808,0.417
1,t1,nc,DELETED,['highway'],168936,0.182,0.533,283,0.146
2,t1,nc,CREATED,['building'],160717,0.173,0.706,784,0.405
3,t1,nc,GEOMETRY,['highway'],90688,0.098,0.803,936,0.483
4,t1,nc,TAG,['highway'],34832,0.037,0.841,405,0.209
5,t1,nc,GEOMETRY,['building'],12174,0.013,0.854,347,0.179
6,t1,nc,CREATED,['waterway'],11422,0.012,0.866,235,0.121
7,t1,nc,TAG_GEOMETRY,['highway'],11337,0.012,0.878,338,0.174
8,t1,nc,CREATED,['place'],10282,0.011,0.889,102,0.053
9,t1,nc,CREATED,['landuse'],9698,0.01,0.9,263,0.136
10,t1,nc,CREATED,['natural'],8754,0.009,0.909,182,0.094
11,t1,nc,CREATED,['other'],7821,0.008,0.918,284,0.147
12,t1,nc,GEOMETRY,['waterway'],6182,0.007,0.924,325,0.168
13,t1,nc,DELETED,['building'],4610,0.005,0.929,190,0.098
14,t1,nc,TAG,['place'],4239,0.005,0.934,145,0.075
15,t1,nc,TAG,['amenity'],3707,0.004,0.938,145,0.075
16,t1,nc,CREATED,['power'],3365,0.004,0.941,37,0.019
17,t1,nc,NONE,['building'],3292,0.004,0.945,123,0.063
18,t1,nc,CREATED,['amenity'],3238,0.003,0.948,287,0.148
19,t1,nc,NONE,['highway'],3090,0.003,0.952,243,0.125
