,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,Microsoft,CREATED,['highway'],77554,0.217,0.217,34,0.139
1,t0,DevelopmentSeed,CREATED,['building'],70498,0.197,0.414,4,0.016
2,t0,Microsoft,GEOMETRY,['highway'],59554,0.167,0.581,34,0.139
3,t0,Kaart,GEOMETRY,['highway'],27701,0.077,0.658,25,0.102
4,t0,Lyft,CREATED,['building'],14281,0.04,0.698,14,0.057
5,t0,DevelopmentSeed,GEOMETRY,['building'],13073,0.037,0.734,4,0.016
6,t0,DevelopmentSeed,DELETED,['building'],8623,0.024,0.759,4,0.016
7,t0,Kaart,CREATED,['highway'],6969,0.019,0.778,23,0.094
8,t0,Kaart,TAG,['highway'],6239,0.017,0.796,21,0.086
9,t0,Apple,GEOMETRY,['building'],5269,0.015,0.81,19,0.078
10,t0,Apple,CREATED,['building'],4895,0.014,0.824,18,0.073
11,t0,DevelopmentSeed,CREATED,['power'],4018,0.011,0.835,3,0.012
12,t0,DevelopmentSeed,GEOMETRY,['highway'],3801,0.011,0.846,4,0.016
13,t0,Apple,GEOMETRY,['highway'],3413,0.01,0.855,27,0.11
14,t0,DevelopmentSeed,CREATED,['highway'],2978,0.008,0.864,4,0.016
15,t0,Microsoft,GEOMETRY,['building'],2961,0.008,0.872,28,0.114
16,t0,Microsoft,TAG_GEOMETRY,['highway'],2929,0.008,0.88,33,0.135
17,t0,Apple,NONE,['other'],2698,0.008,0.888,16,0.065
18,t0,Kaart,NONE,['highway'],2471,0.007,0.895,19,0.078
19,t0,Microsoft,TAG,['highway'],2443,0.007,0.901,32,0.131
0,t1,Apple,GEOMETRY,['highway'],139994,0.353,0.353,126,0.41
1,t1,Kaart,GEOMETRY,['highway'],68931,0.174,0.527,54,0.176
2,t1,Kaart,CREATED,['highway'],28020,0.071,0.598,53,0.173
3,t1,Apple,CREATED,['highway'],25140,0.063,0.661,107,0.349
