,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,Apple,GEOMETRY,['highway'],921535,0.323,0.323,324,0.374
1,t0,Apple,GEOMETRY,['building'],312964,0.11,0.433,273,0.315
2,t0,Apple,CREATED,['highway'],231667,0.081,0.514,256,0.295
3,t0,Kaart,GEOMETRY,['building'],135250,0.047,0.562,24,0.028
4,t0,Apple,TAG,['highway'],117652,0.041,0.603,230,0.265
5,t0,Grab,CREATED,['building'],110227,0.039,0.642,157,0.181
6,t0,Kaart,GEOMETRY,['highway'],96953,0.034,0.676,65,0.075
7,t0,Apple,NONE,['other'],75610,0.027,0.702,245,0.283
8,t0,Kaart,TAG,['highway'],66649,0.023,0.726,31,0.036
9,t0,Apple,NONE,['building'],65281,0.023,0.749,153,0.176
10,t0,Kaart,CREATED,['highway'],61355,0.022,0.77,58,0.067
11,t0,Grab,GEOMETRY,['highway'],57033,0.02,0.79,179,0.206
12,t0,Apple,TAG_GEOMETRY,['highway'],56856,0.02,0.81,220,0.254
13,t0,Kaart,CREATED,['building'],48609,0.017,0.827,28,0.032
14,t0,Grab,CREATED,['highway'],43646,0.015,0.842,133,0.153
15,t0,Apple,CREATED,['building'],32161,0.011,0.854,116,0.134
16,t0,Kaart,TAG_GEOMETRY,['highway'],29416,0.01,0.864,27,0.031
17,t0,Grab,GEOMETRY,['building'],21909,0.008,0.872,129,0.149
18,t0,Kaart,TAG,['building'],18430,0.006,0.878,5,0.006
19,t0,Kaart,NONE,['other'],18198,0.006,0.885,22,0.025
0,t1,Kaart,TAG,['highway'],177875,0.154,0.154,29,0.034
1,t1,Apple,GEOMETRY,['highway'],99765,0.087,0.241,332,0.392
2,t1,Kaart,GEOMETRY,['highway'],91487,0.079,0.321,29,0.034
3,t1,Kaart,CREATED,['highway'],71767,0.062,0.383,21,0.025
4,t1,Kaart,CREATED,['building'],69926,0.061,0.444,13,0.015
5,t1,Kaart,TAG_GEOMETRY,['highway'],60506,0.053,0.496,21,0.025
6,t1,Kaart,GEOMETRY,['building'],51966,0.045,0.541,18,0.021
7,t1,Grab,GEOMETRY,['highway'],49331,0.043,0.584,199,0.235
8,t1,Apple,GEOMETRY,['building'],30207,0.026,0.61,187,0.221
9,t1,Apple,TAG,['highway'],23918,0.021,0.631,270,0.319
10,t1,Grab,CREATED,['highway'],21708,0.019,0.65,166,0.196
11,t1,Grab,GEOMETRY,['building'],18980,0.016,0.666,83,0.098
12,t1,Apple,NONE,['other'],18728,0.016,0.683,212,0.25
13,t1,Kaart,TAG,['building'],15296,0.013,0.696,8,0.009
14,t1,Apple,CREATED,['highway'],13191,0.011,0.707,243,0.287
15,t1,Kaart,NONE,['other'],12590,0.011,0.718,19,0.022
16,t1,Kaart,DELETED,['highway'],11638,0.01,0.729,20,0.024
17,t1,Grab,TAG,['highway'],11606,0.01,0.739,152,0.179
18,t1,Kaart,CREATED,['amenity'],11411,0.01,0.748,5,0.006
19,t1,Kaart,TAG,['other'],11335,0.01,0.758,19,0.022
0,t0,nc,CREATED,['building'],3503159,0.466,0.466,15404,0.732
1,t0,nc,GEOMETRY,['building'],1518207,0.202,0.668,7954,0.378
2,t0,nc,GEOMETRY,['highway'],479559,0.064,0.732,9045,0.43
3,t0,nc,DELETED,['building'],280257,0.037,0.769,4653,0.221
4,t0,nc,CREATED,['highway'],268459,0.036,0.805,5963,0.283
5,t0,nc,TAG,['building'],209545,0.028,0.832,1635,0.078
6,t0,nc,NONE,['building'],155596,0.021,0.853,1659,0.079
7,t0,nc,TAG,['highway'],134187,0.018,0.871,1729,0.082
8,t0,nc,CREATED,['landuse'],81131,0.011,0.882,3751,0.178
9,t0,nc,NONE,['other'],74990,0.01,0.892,1443,0.069
10,t0,nc,TAG,['other'],62484,0.008,0.9,638,0.03
11,t0,nc,TAG_GEOMETRY,['highway'],53382,0.007,0.907,1304,0.062
12,t0,nc,CREATED,['amenity'],45066,0.006,0.913,2363,0.112
13,t0,nc,GEOMETRY,['landuse'],43463,0.006,0.919,3724,0.177
14,t0,nc,TAG_GEOMETRY,['building'],42754,0.006,0.925,1150,0.055
15,t0,nc,TAG,['place'],42363,0.006,0.93,265,0.013
16,t0,nc,DELETED,['highway'],35075,0.005,0.935,1452,0.069
17,t0,nc,CREATED,['other'],26358,0.004,0.938,1932,0.092
18,t0,nc,CREATED,['natural'],25964,0.003,0.942,1249,0.059
19,t0,nc,GEOMETRY,['waterway'],25236,0.003,0.945,2076,0.099
0,t1,nc,CREATED,['building'],1379353,0.419,0.419,4084,0.519
1,t1,nc,GEOMETRY,['building'],438973,0.133,0.552,2560,0.326
2,t1,nc,GEOMETRY,['highway'],202291,0.061,0.613,2630,0.334
3,t1,nc,DELETED,['building'],178036,0.054,0.667,1551,0.197
4,t1,nc,TAG,['highway'],143898,0.044,0.711,1162,0.148
5,t1,nc,TAG,['building'],123166,0.037,0.748,1424,0.181
6,t1,nc,CREATED,['highway'],95021,0.029,0.777,1496,0.19
7,t1,nc,NONE,['building'],56442,0.017,0.794,638,0.081
8,t1,nc,CREATED,['other'],38772,0.012,0.806,827,0.105
9,t1,nc,NONE,['other'],38289,0.012,0.818,669,0.085
10,t1,nc,TAG_GEOMETRY,['highway'],31874,0.01,0.827,669,0.085
11,t1,nc,CREATED,['natural'],28178,0.009,0.836,454,0.058
12,t1,nc,TAG_GEOMETRY,['building'],27007,0.008,0.844,779,0.099
13,t1,nc,CREATED,['power'],26736,0.008,0.852,88,0.011
14,t1,nc,NONE,['highway'],26386,0.008,0.86,650,0.083
15,t1,nc,CREATED,['amenity'],24390,0.007,0.867,1393,0.177
16,t1,nc,TAG,['other'],24058,0.007,0.875,543,0.069
17,t1,nc,CREATED,['landuse'],22261,0.007,0.882,924,0.118
18,t1,nc,CREATED,['waterway'],19806,0.006,0.888,293,0.037
19,t1,nc,TAG,['amenity'],19138,0.006,0.893,735,0.093
