,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,Kaart,GEOMETRY,['highway'],14385,0.342,0.342,20,0.26
1,t0,Kaart,CREATED,['highway'],11139,0.265,0.607,20,0.26
2,t0,Apple,TAG,['other'],2761,0.066,0.672,24,0.312
3,t0,Apple,NONE,['other'],2243,0.053,0.726,30,0.39
4,t0,Kaart,TAG_GEOMETRY,['highway'],1519,0.036,0.762,19,0.247
5,t0,Kaart,TAG,['highway'],1460,0.035,0.796,18,0.234
6,t0,Kaart,DELETED,['highway'],1371,0.033,0.829,17,0.221
7,t0,Apple,GEOMETRY,['highway'],1040,0.025,0.854,17,0.221
8,t0,Kaart,CREATED,['other'],671,0.016,0.87,18,0.234
9,t0,Apple,CREATED,['highway'],614,0.015,0.884,11,0.143
10,t0,Apple,TAG,['highway'],563,0.013,0.898,10,0.13
11,t0,Kaart,NONE,['highway'],526,0.013,0.91,18,0.234
12,t0,Kaart,NONE,['other'],371,0.009,0.919,18,0.234
13,t0,Apple,GEOMETRY,['aeroway'],354,0.008,0.927,1,0.013
14,t0,Apple,GEOMETRY,['natural'],322,0.008,0.935,29,0.377
15,t0,Kaart,GEOMETRY,['building'],316,0.008,0.943,7,0.091
16,t0,Uber,GEOMETRY,['highway'],258,0.006,0.949,17,0.221
17,t0,Uber,CREATED,['highway'],251,0.006,0.955,17,0.221
18,t0,Kaart,TAG,['barrier'],245,0.006,0.961,15,0.195
19,t0,Apple,TAG_GEOMETRY,['highway'],215,0.005,0.966,10,0.13
0,t1,Kaart,TAG,['highway'],75675,0.223,0.223,43,0.176
1,t1,Kaart,GEOMETRY,['highway'],43119,0.127,0.35,43,0.176
2,t1,DigitalEgypt,GEOMETRY,['highway'],32572,0.096,0.445,27,0.111
3,t1,Apple,GEOMETRY,['highway'],24139,0.071,0.516,58,0.238
4,t1,TomTom,CREATED,['building'],22789,0.067,0.583,67,0.275
5,t1,Apple,CREATED,['highway'],18308,0.054,0.637,51,0.209
6,t1,Kaart,CREATED,['highway'],17674,0.052,0.689,41,0.168
7,t1,DigitalEgypt,TAG,['highway'],13781,0.041,0.73,27,0.111
8,t1,Kaart,NONE,['highway'],12887,0.038,0.768,33,0.135
9,t1,DigitalEgypt,CREATED,['highway'],10554,0.031,0.799,27,0.111
10,t1,Apple,TAG,['highway'],10361,0.03,0.829,52,0.213
11,t1,Kaart,TAG_GEOMETRY,['highway'],9233,0.027,0.857,41,0.168
12,t1,DigitalEgypt,TAG_GEOMETRY,['highway'],5330,0.016,0.872,27,0.111
13,t1,DigitalEgypt,DELETED,['highway'],5091,0.015,0.887,27,0.111
14,t1,Apple,NONE,['highway'],2657,0.008,0.895,40,0.164
15,t1,DigitalEgypt,NONE,['highway'],2433,0.007,0.902,26,0.107
16,t1,TomTom,GEOMETRY,['building'],2375,0.007,0.909,34,0.139
17,t1,Kaart,DELETED,['highway'],2354,0.007,0.916,27,0.111
18,t1,Apple,TAG_GEOMETRY,['highway'],2196,0.006,0.923,40,0.164
19,t1,TomTom,CREATED,['highway'],2044,0.006,0.929,10,0.041
0,t0,nc,GEOMETRY,['highway'],6277,0.171,0.171,123,0.335
1,t0,nc,CREATED,['highway'],6064,0.165,0.336,94,0.256
2,t0,nc,CREATED,['building'],5435,0.148,0.484,57,0.155
3,t0,nc,TAG,['highway'],4608,0.126,0.61,76,0.207
4,t0,nc,CREATED,['natural'],1439,0.039,0.649,16,0.044
5,t0,nc,TAG,['other'],932,0.025,0.675,33,0.09
6,t0,nc,GEOMETRY,['building'],744,0.02,0.695,37,0.101
7,t0,nc,DELETED,['highway'],637,0.017,0.712,45,0.123
8,t0,nc,TAG_GEOMETRY,['highway'],616,0.017,0.729,62,0.169
9,t0,nc,CREATED,['landuse'],597,0.016,0.745,24,0.065
10,t0,nc,CREATED,['other'],558,0.015,0.761,52,0.142
11,t0,nc,TAG,['building'],487,0.013,0.774,31,0.084
12,t0,nc,CREATED,['amenity'],441,0.012,0.786,70,0.191
13,t0,nc,NONE,['other'],382,0.01,0.796,39,0.106
14,t0,nc,DELETED,['other'],361,0.01,0.806,22,0.06
15,t0,nc,CREATED,['man_made'],309,0.008,0.814,16,0.044
16,t0,nc,CREATED,['barrier'],301,0.008,0.823,19,0.052
17,t0,nc,TAG,['amenity'],283,0.008,0.83,49,0.134
18,t0,nc,CREATED,['tourism'],277,0.008,0.838,47,0.128
19,t0,nc,NONE,['highway'],275,0.007,0.845,40,0.109
0,t1,nc,CREATED,['building'],96724,0.542,0.542,330,0.531
1,t1,nc,GEOMETRY,['highway'],17881,0.1,0.642,242,0.389
2,t1,nc,CREATED,['highway'],17716,0.099,0.742,156,0.251
3,t1,nc,GEOMETRY,['building'],5096,0.029,0.77,160,0.257
4,t1,nc,TAG,['highway'],3907,0.022,0.792,77,0.124
5,t1,nc,CREATED,['power'],3425,0.019,0.811,12,0.019
6,t1,nc,CREATED,['waterway'],3215,0.018,0.829,6,0.01
7,t1,nc,CREATED,['barrier'],2021,0.011,0.841,38,0.061
8,t1,nc,CREATED,['landuse'],1903,0.011,0.851,60,0.096
9,t1,nc,CREATED,['amenity'],1697,0.01,0.861,90,0.145
10,t1,nc,TAG,['building'],1569,0.009,0.87,53,0.085
11,t1,nc,CREATED,['man_made'],1560,0.009,0.878,26,0.042
12,t1,nc,TAG_GEOMETRY,['highway'],1201,0.007,0.885,66,0.106
13,t1,nc,DELETED,['building'],1163,0.007,0.892,72,0.116
14,t1,nc,CREATED,['natural'],1071,0.006,0.898,33,0.053
15,t1,nc,DELETED,['highway'],968,0.005,0.903,70,0.113
16,t1,nc,TAG,['other'],932,0.005,0.908,52,0.084
17,t1,nc,CREATED,['leisure'],808,0.005,0.913,41,0.066
18,t1,nc,GEOMETRY,['landuse'],802,0.004,0.917,71,0.114
19,t1,nc,NONE,['highway'],769,0.004,0.922,77,0.124
