,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,Apple,GEOMETRY,['highway'],70859,0.188,0.188,46,0.272
1,t0,Kaart,GEOMETRY,['highway'],58438,0.155,0.344,33,0.195
2,t0,Kaart,CREATED,['highway'],32647,0.087,0.431,29,0.172
3,t0,Kaart,CREATED,['other'],30729,0.082,0.512,18,0.107
4,t0,Bolt,CREATED,['other'],24405,0.065,0.577,5,0.03
5,t0,Kaart,TAG,['highway'],23516,0.063,0.64,30,0.178
6,t0,Kaart,CREATED,['building'],20441,0.054,0.694,7,0.041
7,t0,Kaart,TAG,['building'],10902,0.029,0.723,7,0.041
8,t0,Apple,CREATED,['highway'],9993,0.027,0.75,35,0.207
9,t0,Apple,NONE,['other'],8573,0.023,0.773,30,0.178
10,t0,Kaart,TAG,['other'],8403,0.022,0.795,16,0.095
11,t0,Apple,TAG,['highway'],6638,0.018,0.813,34,0.201
12,t0,Apple,TAG_GEOMETRY,['highway'],5522,0.015,0.827,31,0.183
13,t0,Kaart,TAG_GEOMETRY,['highway'],5496,0.015,0.842,25,0.148
14,t0,Kaart,NONE,['other'],5237,0.014,0.856,26,0.154
15,t0,Kaart,GEOMETRY,['building'],4680,0.012,0.868,18,0.107
16,t0,Apple,GEOMETRY,['building'],3421,0.009,0.877,24,0.142
17,t0,Kaart,DELETED,['other'],2915,0.008,0.885,15,0.089
18,t0,Kaart,NONE,['highway'],2088,0.006,0.891,20,0.118
19,t0,Apple,NONE,['highway'],2045,0.005,0.896,23,0.136
0,t1,Kaart,GEOMETRY,['highway'],102284,0.431,0.431,52,0.189
1,t1,Kaart,CREATED,['highway'],37077,0.156,0.588,52,0.189
2,t1,Kaart,TAG,['highway'],11425,0.048,0.636,48,0.175
3,t1,Apple,GEOMETRY,['highway'],7690,0.032,0.668,63,0.229
4,t1,Apple,TAG,['highway'],6711,0.028,0.697,39,0.142
5,t1,Kaart,GEOMETRY,['building'],6607,0.028,0.724,28,0.102
6,t1,RocketData,TAG,['shop'],6357,0.027,0.751,3,0.011
7,t1,Apple,CREATED,['highway'],6030,0.025,0.777,40,0.145
8,t1,Kaart,NONE,['other'],5655,0.024,0.8,39,0.142
9,t1,Kaart,TAG_GEOMETRY,['highway'],3363,0.014,0.815,48,0.175
10,t1,Kaart,NONE,['highway'],2643,0.011,0.826,42,0.153
11,t1,Bolt,CREATED,['highway'],2237,0.009,0.835,39,0.142
12,t1,Bolt,GEOMETRY,['highway'],2150,0.009,0.844,41,0.149
13,t1,Apple,GEOMETRY,['other'],2022,0.009,0.853,53,0.193
14,t1,Apple,GEOMETRY,['landuse'],1941,0.008,0.861,53,0.193
15,t1,Apple,NONE,['other'],1679,0.007,0.868,50,0.182
16,t1,Kaart,CREATED,['other'],1511,0.006,0.874,29,0.105
17,t1,Apple,TAG_GEOMETRY,['highway'],1395,0.006,0.88,37,0.135
18,t1,Kaart,GEOMETRY,['waterway'],1271,0.005,0.886,22,0.08
19,t1,Kaart,GEOMETRY,['other'],1204,0.005,0.891,38,0.138
0,t0,nc,GEOMETRY,['highway'],345723,0.214,0.214,1249,0.362
1,t0,nc,CREATED,['building'],221940,0.137,0.351,859,0.249
2,t0,nc,TAG,['highway'],159718,0.099,0.45,1114,0.323
3,t0,nc,TAG,['other'],125020,0.077,0.527,406,0.118
4,t0,nc,CREATED,['highway'],91736,0.057,0.584,1016,0.294
5,t0,nc,TAG,['building'],60826,0.038,0.621,800,0.232
6,t0,nc,NONE,['other'],54816,0.034,0.655,446,0.129
7,t0,nc,GEOMETRY,['building'],47389,0.029,0.684,631,0.183
8,t0,nc,TAG,['railway'],47120,0.029,0.713,175,0.051
9,t0,nc,TAG_GEOMETRY,['highway'],32571,0.02,0.734,623,0.18
10,t0,nc,CREATED,['other'],27981,0.017,0.751,574,0.166
11,t0,nc,NONE,['highway'],25628,0.016,0.767,503,0.146
12,t0,nc,GEOMETRY,['landuse'],22699,0.014,0.781,580,0.168
13,t0,nc,GEOMETRY,['railway'],19306,0.012,0.793,257,0.074
14,t0,nc,CREATED,['railway'],19141,0.012,0.805,159,0.046
15,t0,nc,DELETED,['other'],18926,0.012,0.816,271,0.078
16,t0,nc,CREATED,['waterway'],17732,0.011,0.827,177,0.051
17,t0,nc,DELETED,['highway'],12439,0.008,0.835,431,0.125
18,t0,nc,TAG,['amenity'],12376,0.008,0.843,481,0.139
19,t0,nc,CREATED,['power'],11843,0.007,0.85,82,0.024
0,t1,nc,CREATED,['building'],311722,0.168,0.168,736,0.253
1,t1,nc,TAG,['highway'],233621,0.126,0.293,989,0.34
2,t1,nc,GEOMETRY,['highway'],205058,0.11,0.403,1024,0.352
