,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,Microsoft,CREATED,['building'],137932,0.249,0.249,14,0.098
1,t0,Microsoft,CREATED,['highway'],76480,0.138,0.387,15,0.105
2,t0,Microsoft,GEOMETRY,['highway'],58395,0.105,0.493,15,0.105
3,t0,Microsoft,CREATED,['other'],37790,0.068,0.561,14,0.098
4,t0,Microsoft,TAG,['highway'],34592,0.062,0.624,14,0.098
5,t0,Microsoft,GEOMETRY,['building'],21101,0.038,0.662,14,0.098
6,t0,Kaart,GEOMETRY,['highway'],19286,0.035,0.696,17,0.119
7,t0,Microsoft,NONE,['other'],18718,0.034,0.73,14,0.098
8,t0,Microsoft,GEOMETRY,['other'],15732,0.028,0.759,13,0.091
9,t0,Microsoft,TAG_GEOMETRY,['highway'],14313,0.026,0.785,14,0.098
10,t0,Apple,GEOMETRY,['highway'],12691,0.023,0.807,50,0.35
11,t0,Microsoft,TAG,['building'],8371,0.015,0.823,11,0.077
12,t0,Microsoft,TAG,['other'],7603,0.014,0.836,14,0.098
13,t0,Microsoft,NONE,['highway'],7378,0.013,0.85,14,0.098
14,t0,Microsoft,CREATED,['natural'],7283,0.013,0.863,9,0.063
15,t0,Apple,CREATED,['highway'],5614,0.01,0.873,30,0.21
16,t0,Microsoft,CREATED,['barrier'],5146,0.009,0.882,13,0.091
17,t0,Kaart,CREATED,['highway'],4217,0.008,0.89,15,0.105
18,t0,Kaart,TAG,['highway'],3536,0.006,0.896,17,0.119
19,t0,Apple,TAG,['highway'],2975,0.005,0.902,31,0.217
0,t1,Microsoft,CREATED,['highway'],40278,0.258,0.258,14,0.065
1,t1,Microsoft,GEOMETRY,['highway'],28256,0.181,0.44,14,0.065
2,t1,Microsoft,TAG,['highway'],10927,0.07,0.51,14,0.065
3,t1,Microsoft,TAG,['other'],6321,0.041,0.55,11,0.051
4,t1,Kaart,GEOMETRY,['highway'],5659,0.036,0.587,40,0.186
5,t1,Microsoft,TAG_GEOMETRY,['highway'],4264,0.027,0.614,14,0.065
6,t1,Microsoft,CREATED,['building'],3842,0.025,0.639,13,0.06
7,t1,TomTom,GEOMETRY,['highway'],3426,0.022,0.661,69,0.321
8,t1,Microsoft,NONE,['other'],3317,0.021,0.682,11,0.051
9,t1,Microsoft,CREATED,['barrier'],3306,0.021,0.703,11,0.051
10,t1,Kaart,CREATED,['highway'],3262,0.021,0.724,37,0.172
11,t1,TomTom,CREATED,['highway'],3247,0.021,0.745,68,0.316
12,t1,Microsoft,CREATED,['natural'],2924,0.019,0.764,6,0.028
13,t1,Microsoft,GEOMETRY,['building'],2793,0.018,0.782,12,0.056
14,t1,Microsoft,CREATED,['other'],2568,0.016,0.798,12,0.056
15,t1,Microsoft,NONE,['highway'],2319,0.015,0.813,12,0.056
16,t1,Microsoft,TAG,['building'],2214,0.014,0.827,10,0.047
17,t1,Microsoft,CREATED,['amenity'],1845,0.012,0.839,12,0.056
18,t1,Microsoft,GEOMETRY,['landuse'],1292,0.008,0.847,14,0.065
19,t1,Microsoft,TAG,['amenity'],1278,0.008,0.855,12,0.056
0,t0,nc,CREATED,['building'],182069,0.179,0.179,612,0.341
1,t0,nc,GEOMETRY,['highway'],120204,0.118,0.297,683,0.38
2,t0,nc,CREATED,['highway'],77409,0.076,0.373,570,0.317
3,t0,nc,TAG,['highway'],73203,0.072,0.445,400,0.223
4,t0,nc,CREATED,['landuse'],55995,0.055,0.5,202,0.112
5,t0,nc,TAG,['other'],51977,0.051,0.551,187,0.104
6,t0,nc,TAG,['building'],50450,0.05,0.601,293,0.163
7,t0,nc,GEOMETRY,['building'],43313,0.043,0.643,342,0.19
8,t0,nc,GEOMETRY,['boundary'],37364,0.037,0.68,159,0.089
9,t0,nc,NONE,['boundary'],34274,0.034,0.714,31,0.017
10,t0,nc,CREATED,['natural'],22251,0.022,0.736,140,0.078
11,t0,nc,GEOMETRY,['landuse'],18129,0.018,0.754,328,0.183
12,t0,nc,NONE,['other'],18059,0.018,0.771,163,0.091
13,t0,nc,TAG_GEOMETRY,['highway'],17026,0.017,0.788,249,0.139
14,t0,nc,NONE,['highway'],12453,0.012,0.8,236,0.131
15,t0,nc,TAG,['boundary'],12315,0.012,0.812,27,0.015
16,t0,nc,TAG,['public_transport' 'highway'],12241,0.012,0.824,59,0.033
17,t0,nc,CREATED,['other'],10146,0.01,0.834,276,0.154
18,t0,nc,NONE,['building'],10071,0.01,0.844,113,0.063
19,t0,nc,DELETED,['other'],10054,0.01,0.854,112,0.062
0,t1,nc,CREATED,['building'],335628,0.221,0.221,344,0.232
1,t1,nc,CREATED,['other'],180236,0.118,0.339,257,0.173
2,t1,nc,TAG,['highway'],148291,0.097,0.436,479,0.323
3,t1,nc,TAG,['building'],128285,0.084,0.521,340,0.229
4,t1,nc,TAG,['other'],115374,0.076,0.597,218,0.147
5,t1,nc,GEOMETRY,['highway'],106335,0.07,0.666,546,0.368
6,t1,nc,GEOMETRY,['building'],83734,0.055,0.722,246,0.166
7,t1,nc,CREATED,['highway'],74665,0.049,0.771,484,0.326
8,t1,nc,CREATED,['landuse'],31813,0.021,0.791,171,0.115
9,t1,nc,NONE,['highway'],22610,0.015,0.806,277,0.187
10,t1,nc,TAG_GEOMETRY,['building'],20545,0.014,0.82,133,0.09
11,t1,nc,DELETED,['other'],20147,0.013,0.833,139,0.094
12,t1,nc,NONE,['other'],20035,0.013,0.846,171,0.115
13,t1,nc,TAG_GEOMETRY,['highway'],16247,0.011,0.857,254,0.171
14,t1,nc,CREATED,['natural'],15862,0.01,0.867,147,0.099
15,t1,nc,GEOMETRY,['landuse'],15050,0.01,0.877,285,0.192
16,t1,nc,CREATED,['amenity'],10076,0.007,0.884,378,0.255
17,t1,nc,CREATED,['waterway'],8859,0.006,0.89,93,0.063
18,t1,nc,NONE,['building'],8454,0.006,0.895,113,0.076
19,t1,nc,TAG,['natural'],8291,0.005,0.901,93,0.063
