,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,Apple,CREATED,['building'],863,0.287,0.287,10,0.169
1,t0,Apple,GEOMETRY,['highway'],693,0.23,0.517,25,0.424
2,t0,Apple,CREATED,['highway'],202,0.067,0.584,19,0.322
3,t0,Apple,TAG,['highway'],194,0.064,0.648,11,0.186
4,t0,Grab,CREATED,['building'],159,0.053,0.701,2,0.034
5,t0,Grab,GEOMETRY,['building'],158,0.052,0.754,2,0.034
6,t0,Grab,DELETED,['building'],92,0.031,0.815,1,0.017
7,t0,Apple,DELETED,['highway'],92,0.031,0.815,6,0.102
8,t0,Amazon,CREATED,['building'],82,0.027,0.842,3,0.051
9,t0,Apple,TAG_GEOMETRY,['highway'],55,0.018,0.86,10,0.169
10,t0,Amazon,GEOMETRY,['building'],41,0.014,0.874,1,0.017
11,t0,Amazon,DELETED,['building'],40,0.013,0.887,1,0.017
12,t0,Apple,GEOMETRY,['waterway'],28,0.009,0.896,8,0.136
13,t0,Apple,NONE,['highway'],27,0.009,0.905,4,0.068
14,t0,Grab,NONE,['building'],26,0.009,0.914,1,0.017
15,t0,Meta,TAG,['building'],23,0.008,0.929,2,0.034
16,t0,Apple,TAG,['other'],23,0.008,0.929,5,0.085
17,t0,Apple,GEOMETRY,['other'],22,0.007,0.937,6,0.102
18,t0,Apple,GEOMETRY,['natural'],18,0.006,0.943,6,0.102
19,t0,Grab,GEOMETRY,['highway'],16,0.005,0.948,1,0.017
0,t1,DevelopmentSeed,CREATED,['building'],112510,0.653,0.653,4,0.028
1,t1,DevelopmentSeed,GEOMETRY,['building'],15273,0.089,0.742,4,0.028
2,t1,DevelopmentSeed,DELETED,['building'],8714,0.051,0.792,4,0.028
3,t1,DevelopmentSeed,CREATED,['highway'],7119,0.041,0.834,4,0.028
4,t1,DevelopmentSeed,GEOMETRY,['highway'],5917,0.034,0.868,4,0.028
5,t1,TomTom,CREATED,['highway'],5772,0.034,0.902,32,0.227
6,t1,TomTom,GEOMETRY,['highway'],4336,0.025,0.927,46,0.326
7,t1,DigitalEgypt,GEOMETRY,['highway'],3182,0.018,0.945,22,0.156
8,t1,Apple,GEOMETRY,['building'],1191,0.007,0.952,9,0.064
9,t1,Apple,CREATED,['building'],730,0.004,0.956,5,0.035
10,t1,DigitalEgypt,DELETED,['highway'],697,0.004,0.96,18,0.128
11,t1,Apple,DELETED,['building'],592,0.003,0.964,5,0.035
12,t1,DevelopmentSeed,NONE,['building'],471,0.003,0.967,4,0.028
13,t1,DigitalEgypt,TAG,['highway'],463,0.003,0.969,16,0.113
14,t1,DigitalEgypt,TAG_GEOMETRY,['highway'],441,0.003,0.972,20,0.142
15,t1,DigitalEgypt,GEOMETRY,['building'],396,0.002,0.974,15,0.106
16,t1,DevelopmentSeed,DELETED,['highway'],391,0.002,0.976,4,0.028
17,t1,TomTom,GEOMETRY,['building'],390,0.002,0.979,33,0.234
18,t1,TomTom,TAG,['highway'],307,0.002,0.98,32,0.227
19,t1,DigitalEgypt,CREATED,['highway'],287,0.002,0.982,18,0.128
0,t0,nc,CREATED,['building'],261917,0.5,0.5,2137,0.794
1,t0,nc,GEOMETRY,['building'],73976,0.141,0.642,949,0.352
2,t0,nc,DELETED,['building'],68566,0.131,0.773,817,0.303
3,t0,nc,CREATED,['highway'],14472,0.028,0.801,505,0.188
4,t0,nc,GEOMETRY,['highway'],12264,0.023,0.824,814,0.302
5,t0,nc,CREATED,['natural'],11862,0.023,0.847,136,0.051
6,t0,nc,CREATED,['landuse'],11028,0.021,0.868,478,0.177
7,t0,nc,CREATED,['place'],10782,0.021,0.888,66,0.025
8,t0,nc,CREATED,['waterway'],7694,0.015,0.903,79,0.029
9,t0,nc,TAG,['place'],7552,0.014,0.917,66,0.025
10,t0,nc,NONE,['building'],4235,0.008,0.926,229,0.085
11,t0,nc,GEOMETRY,['waterway'],3984,0.008,0.933,136,0.051
12,t0,nc,GEOMETRY,['landuse'],3117,0.006,0.939,605,0.225
13,t0,nc,DELETED,['highway'],2691,0.005,0.944,114,0.042
14,t0,nc,TAG,['building'],2440,0.005,0.949,81,0.03
15,t0,nc,CREATED,['man_made'],2284,0.004,0.953,36,0.013
16,t0,nc,CREATED,['barrier'],2053,0.004,0.957,92,0.034
