,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,Grab,GEOMETRY,['highway'],246172,0.335,0.335,115,0.282
1,t0,Grab,CREATED,['highway'],211657,0.288,0.623,111,0.272
2,t0,Kaart,CREATED,['highway'],55010,0.075,0.698,27,0.066
3,t0,Kaart,GEOMETRY,['highway'],54737,0.074,0.772,28,0.069
4,t0,Kaart,TAG,['highway'],38657,0.053,0.825,25,0.061
5,t0,Grab,TAG,['highway'],16504,0.022,0.847,90,0.221
6,t0,Grab,TAG_GEOMETRY,['highway'],14142,0.019,0.867,89,0.218
7,t0,Kaart,TAG_GEOMETRY,['highway'],9732,0.013,0.88,24,0.059
8,t0,Kaart,CREATED,['building'],8603,0.012,0.892,12,0.029
9,t0,Grab,NONE,['other'],5604,0.008,0.899,61,0.15
10,t0,Grab,DELETED,['highway'],5480,0.007,0.907,85,0.208
11,t0,Kaart,DELETED,['highway'],5409,0.007,0.914,22,0.054
12,t0,Grab,CREATED,['other'],4888,0.007,0.921,71,0.174
13,t0,Kaart,CREATED,['other'],3850,0.005,0.926,18,0.044
14,t0,Kaart,GEOMETRY,['building'],3699,0.005,0.931,15,0.037
15,t0,Apple,CREATED,['building'],3638,0.005,0.936,53,0.13
16,t0,Meta,GEOMETRY,['highway'],3167,0.004,0.94,39,0.096
17,t0,Kaart,NONE,['highway'],2878,0.004,0.944,23,0.056
18,t0,Kaart,NONE,['other'],2698,0.004,0.948,20,0.049
19,t0,Grab,NONE,['highway'],2084,0.003,0.951,73,0.179
0,t1,Grab,GEOMETRY,['highway'],196917,0.351,0.351,211,0.474
1,t1,Grab,CREATED,['highway'],158827,0.283,0.634,191,0.429
2,t1,Grab,CREATED,['building'],52123,0.093,0.727,23,0.052
3,t1,Grab,TAG,['highway'],37789,0.067,0.794,185,0.416
4,t1,Grab,NONE,['highway'],12233,0.022,0.816,143,0.321
5,t1,Grab,TAG,['other'],10908,0.019,0.836,101,0.227
6,t1,Grab,TAG_GEOMETRY,['highway'],9596,0.017,0.853,163,0.366
