,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,Meta,GEOMETRY,['highway'],545401,0.331,0.331,57,0.252
1,t0,Meta,CREATED,['highway'],370201,0.225,0.555,52,0.23
2,t0,Meta,GEOMETRY,['building'],204557,0.124,0.679,54,0.239
3,t0,Meta,TAG_GEOMETRY,['highway'],111846,0.068,0.747,38,0.168
4,t0,Meta,TAG,['highway'],78836,0.048,0.795,39,0.173
5,t0,Meta,DELETED,['highway'],69142,0.042,0.837,38,0.168
6,t0,Meta,CREATED,['other'],63902,0.039,0.876,33,0.146
7,t0,Meta,NONE,['other'],30288,0.018,0.894,29,0.128
8,t0,Meta,CREATED,['building'],20221,0.012,0.906,48,0.212
9,t0,Meta,NONE,['highway'],18373,0.011,0.918,42,0.186
10,t0,Meta,TAG,['other'],15463,0.009,0.927,28,0.124
11,t0,Apple,GEOMETRY,['highway'],15189,0.009,0.936,67,0.296
12,t0,Meta,NONE,['power'],12606,0.008,0.944,17,0.075
13,t0,Meta,DELETED,['other'],8531,0.005,0.949,27,0.119
14,t0,Amazon,GEOMETRY,['building'],8076,0.005,0.954,7,0.031
15,t0,Amazon,CREATED,['building'],5957,0.004,0.958,7,0.031
16,t0,Meta,GEOMETRY,['waterway'],5441,0.003,0.961,35,0.155
17,t0,Meta,NONE,['building'],4950,0.003,0.964,35,0.155
18,t0,Apple,CREATED,['highway'],4387,0.003,0.966,53,0.235
19,t0,Apple,GEOMETRY,['building'],3517,0.002,0.969,45,0.199
0,t1,Meta,GEOMETRY,['highway'],1139004,0.354,0.354,51,0.081
1,t1,Meta,CREATED,['highway'],634940,0.197,0.551,41,0.065
2,t1,Meta,GEOMETRY,['building'],263952,0.082,0.633,56,0.089
3,t1,Meta,TAG_GEOMETRY,['highway'],168278,0.052,0.686,38,0.061
4,t1,Meta,NONE,['highway'],168098,0.052,0.738,40,0.064
5,t1,Meta,NONE,['building'],158320,0.049,0.787,37,0.059
6,t1,Meta,DELETED,['highway'],136361,0.042,0.829,45,0.072
7,t1,Meta,TAG,['other'],130394,0.041,0.87,28,0.045
8,t1,Meta,TAG,['highway'],94408,0.029,0.899,36,0.057
9,t1,Amazon,CREATED,['building'],43737,0.014,0.913,105,0.167
10,t1,Meta,NONE,['other'],34808,0.011,0.924,34,0.054
11,t1,Meta,NONE,['power'],30196,0.009,0.933,20,0.032
12,t1,Meta,CREATED,['building'],29418,0.009,0.942,34,0.054
13,t1,Apple,GEOMETRY,['highway'],24004,0.007,0.95,202,0.322
14,t1,Apple,GEOMETRY,['building'],14462,0.004,0.954,135,0.215
15,t1,Meta,TAG,['building'],13780,0.004,0.958,33,0.053
16,t1,Wonder,GEOMETRY,['building'],10496,0.003,0.962,1,0.002
17,t1,Meta,CREATED,['other'],9097,0.003,0.964,29,0.046
18,t1,Apple,TAG,['highway'],8032,0.002,0.967,167,0.266
19,t1,TomTom,GEOMETRY,['highway'],7236,0.002,0.969,94,0.15
0,t0,nc,CREATED,['building'],3562919,0.486,0.486,7509,0.8
1,t0,nc,GEOMETRY,['building'],1129618,0.154,0.64,4038,0.43
2,t0,nc,NONE,['building'],712170,0.097,0.737,1072,0.114
3,t0,nc,DELETED,['building'],687382,0.094,0.831,3117,0.332
4,t0,nc,GEOMETRY,['highway'],231731,0.032,0.863,4078,0.435
5,t0,nc,CREATED,['highway'],227560,0.031,0.894,3706,0.395
6,t0,nc,TAG,['building'],188684,0.026,0.919,534,0.057
7,t0,nc,CREATED,['other'],183892,0.025,0.944,852,0.091
8,t0,nc,DELETED,['highway'],58943,0.008,0.953,1044,0.111
9,t0,nc,TAG,['highway'],40214,0.005,0.958,929,0.099
10,t0,nc,NONE,['other'],38763,0.005,0.963,390,0.042
11,t0,nc,TAG,['other'],27356,0.004,0.967,249,0.027
12,t0,nc,DELETED,['other'],27040,0.004,0.971,377,0.04
13,t0,nc,TAG_GEOMETRY,['highway'],23095,0.003,0.974,895,0.095
14,t0,nc,TAG_GEOMETRY,['building'],20347,0.003,0.977,566,0.06
15,t0,nc,CREATED,['natural'],18213,0.002,0.979,493,0.053
16,t0,nc,TAG,['amenity'],16403,0.002,0.981,224,0.024
17,t0,nc,CREATED,['shop'],13177,0.002,0.983,180,0.019
18,t0,nc,CREATED,['place'],8619,0.001,0.984,64,0.007
19,t0,nc,CREATED,['landuse'],8346,0.001,0.985,779,0.083
0,t1,nc,CREATED,['building'],1329696,0.353,0.353,3935,0.767
1,t1,nc,GEOMETRY,['building'],833848,0.222,0.575,1831,0.357
2,t1,nc,NONE,['building'],252855,0.067,0.642,577,0.113
3,t1,nc,DELETED,['building'],208691,0.055,0.698,1265,0.247
4,t1,nc,GEOMETRY,['highway'],173876,0.046,0.744,1954,0.381
5,t1,nc,CREATED,['other'],151418,0.04,0.784,502,0.098
6,t1,nc,TAG_GEOMETRY,['building'],131905,0.035,0.819,296,0.058
7,t1,nc,TAG,['other'],109923,0.029,0.848,190,0.037
8,t1,nc,CREATED,['highway'],103959,0.028,0.876,1313,0.256
9,t1,nc,TAG,['building'],73361,0.019,0.896,403,0.079
10,t1,nc,DELETED,['other'],40474,0.011,0.906,222,0.043
11,t1,nc,NONE,['highway'],39891,0.011,0.917,315,0.061
12,t1,nc,CREATED,['man_made' 'craft'],33495,0.009,0.926,6,0.001
13,t1,nc,DELETED,['highway'],33422,0.009,0.935,399,0.078
14,t1,nc,NONE,['other'],31004,0.008,0.943,219,0.043
15,t1,nc,TAG,['highway'],30295,0.008,0.951,450,0.088
16,t1,nc,CREATED,['amenity'],25378,0.007,0.958,325,0.063
17,t1,nc,TAG_GEOMETRY,['highway'],13947,0.004,0.961,370,0.072
18,t1,nc,TAG,['amenity'],12710,0.003,0.965,220,0.043
19,t1,nc,CREATED,['natural'],12098,0.003,0.968,264,0.051
