,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,Kaart,GEOMETRY,['highway'],270773,0.26,0.26,35,0.123
1,t0,Kaart,CREATED,['building'],166449,0.16,0.419,7,0.025
2,t0,Kaart,GEOMETRY,['building'],75149,0.072,0.491,16,0.056
3,t0,Lightcyphers,GEOMETRY,['highway'],49376,0.047,0.539,9,0.032
4,t0,Kaart,TAG,['building'],44460,0.043,0.581,10,0.035
5,t0,Kaart,CREATED,['highway'],38120,0.037,0.618,24,0.085
6,t0,Apple,GEOMETRY,['highway'],37652,0.036,0.654,130,0.458
7,t0,Kaart,CREATED,['waterway'],37294,0.036,0.69,13,0.046
8,t0,Kaart,GEOMETRY,['landuse'],20175,0.019,0.709,20,0.07
9,t0,Kaart,GEOMETRY,['waterway'],20090,0.019,0.728,18,0.063
10,t0,Apple,NONE,['other'],13916,0.013,0.742,98,0.345
11,t0,Apple,GEOMETRY,['natural'],12984,0.012,0.754,119,0.419
12,t0,Apple,CREATED,['building'],12639,0.012,0.766,18,0.063
13,t0,Kaart,TAG,['highway'],12168,0.012,0.778,19,0.067
14,t0,Kaart,NONE,['building'],10876,0.01,0.788,9,0.032
15,t0,Apple,CREATED,['highway'],9616,0.009,0.797,87,0.306
16,t0,Apple,GEOMETRY,['waterway'],8936,0.009,0.806,96,0.338
17,t0,Kaart,NONE,['other'],8423,0.008,0.814,18,0.063
18,t0,Kaart,NONE,['highway'],8412,0.008,0.822,16,0.056
19,t0,Lightcyphers,GEOMETRY,['landuse'],7278,0.007,0.829,7,0.025
0,t1,Kaart,CREATED,['building'],63272,0.176,0.176,2,0.009
1,t1,Kaart,CREATED,['highway'],41870,0.116,0.292,9,0.042
2,t1,Kaart,TAG,['highway'],41620,0.116,0.408,7,0.032
3,t1,Kaart,GEOMETRY,['building'],39783,0.11,0.518,5,0.023
4,t1,Kaart,GEOMETRY,['highway'],34794,0.097,0.615,11,0.051
5,t1,Apple,GEOMETRY,['highway'],17055,0.047,0.662,73,0.338
6,t1,Kaart,TAG,['building'],13366,0.037,0.699,3,0.014
7,t1,Kaart,DELETED,['highway'],9274,0.026,0.725,7,0.032
8,t1,Kaart,CREATED,['other'],9100,0.025,0.75,6,0.028
9,t1,Kaart,TAG,['other'],8285,0.023,0.773,6,0.028
10,t1,Kaart,DELETED,['other'],6733,0.019,0.792,7,0.032
11,t1,Kaart,DELETED,['building'],6331,0.018,0.809,3,0.014
12,t1,Kaart,GEOMETRY,['waterway'],3795,0.011,0.82,6,0.028
13,t1,Apple,CREATED,['building'],3782,0.011,0.83,8,0.037
14,t1,Kaart,CREATED,['waterway'],3402,0.009,0.84,5,0.023
15,t1,Kaart,TAG_GEOMETRY,['building'],3261,0.009,0.849,3,0.014
16,t1,Kaart,TAG_GEOMETRY,['waterway'],3255,0.009,0.858,5,0.023
17,t1,Apple,CREATED,['highway'],3251,0.009,0.867,62,0.287
18,t1,Kaart,TAG_GEOMETRY,['highway'],3204,0.009,0.876,6,0.028
19,t1,Bolt,CREATED,['highway'],3036,0.008,0.884,34,0.157
0,t0,nc,CREATED,['building'],1358944,0.216,0.216,2241,0.227
1,t0,nc,GEOMETRY,['highway'],680804,0.108,0.324,3158,0.32
2,t0,nc,CREATED,['highway'],586496,0.093,0.418,2827,0.286
3,t0,nc,TAG,['building'],513432,0.082,0.499,2725,0.276
4,t0,nc,TAG,['highway'],441545,0.07,0.57,2242,0.227
5,t0,nc,GEOMETRY,['building'],292223,0.046,0.616,1764,0.179
6,t0,nc,CREATED,['natural'],205764,0.033,0.649,1175,0.119
7,t0,nc,CREATED,['landuse'],205503,0.033,0.681,1180,0.119
