,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,Kaart,CREATED,['other'],559400,0.749,0.749,22,0.143
1,t0,Kaart,TAG,['other'],129129,0.173,0.922,9,0.058
2,t0,Kaart,GEOMETRY,['highway'],13705,0.018,0.94,56,0.364
3,t0,Kaart,NONE,['other'],9649,0.013,0.953,11,0.071
4,t0,Kaart,TAG,['highway'],9517,0.013,0.966,17,0.11
5,t0,Kaart,CREATED,['highway'],6423,0.009,0.974,67,0.435
6,t0,Apple,NONE,['other'],3830,0.005,0.979,25,0.162
7,t0,Kaart,DELETED,['other'],3561,0.005,0.984,6,0.039
8,t0,Kaart,TAG_GEOMETRY,['highway'],1726,0.002,0.986,18,0.117
9,t0,Kaart,CREATED,['building'],1707,0.002,0.989,34,0.221
10,t0,Apple,GEOMETRY,['other'],1085,0.001,0.99,35,0.227
11,t0,Apple,GEOMETRY,['waterway'],898,0.001,0.991,36,0.234
12,t0,Apple,GEOMETRY,['highway'],474,0.001,0.992,24,0.156
13,t0,Kaart,GEOMETRY,['building'],463,0.001,0.993,8,0.052
14,t0,Kaart,NONE,['highway'],454,0.001,0.993,10,0.065
15,t0,Apple,TAG,['other'],433,0.001,0.994,14,0.091
16,t0,Kaart,DELETED,['highway'],254,0.0,0.994,14,0.091
17,t0,Apple,CREATED,['highway'],248,0.0,0.994,8,0.052
18,t0,Kaart,TAG,['amenity'],199,0.0,0.995,6,0.039
19,t0,Microsoft,CREATED,['building'],177,0.0,0.995,13,0.084
0,t1,Microsoft,CREATED,['highway'],15897,0.272,0.272,17,0.128
1,t1,Microsoft,GEOMETRY,['highway'],9829,0.168,0.44,17,0.128
2,t1,Microsoft,CREATED,['barrier'],6630,0.113,0.553,9,0.068
3,t1,Kaart,CREATED,['highway'],6409,0.11,0.662,43,0.323
4,t1,Kaart,GEOMETRY,['highway'],5586,0.095,0.758,44,0.331
5,t1,Kaart,TAG,['highway'],1952,0.033,0.791,23,0.173
6,t1,Kaart,TAG_GEOMETRY,['highway'],1100,0.019,0.81,28,0.211
7,t1,Microsoft,GEOMETRY,['waterway'],1083,0.019,0.828,9,0.068
8,t1,Microsoft,CREATED,['waterway'],750,0.013,0.841,9,0.068
9,t1,Microsoft,TAG,['highway'],747,0.013,0.854,14,0.105
10,t1,Microsoft,TAG_GEOMETRY,['highway'],658,0.011,0.865,15,0.113
11,t1,Apple,GEOMETRY,['highway'],637,0.011,0.876,30,0.226
12,t1,Kaart,CREATED,['barrier'],531,0.009,0.885,13,0.098
13,t1,Microsoft,CREATED,['other'],517,0.009,0.894,11,0.083
14,t1,Microsoft,TAG,['other'],469,0.008,0.902,10,0.075
15,t1,Apple,TAG,['other'],459,0.008,0.91,11,0.083
16,t1,Apple,CREATED,['highway'],322,0.006,0.915,22,0.165
17,t1,Apple,TAG,['highway'],306,0.005,0.921,25,0.188
18,t1,Kaart,CREATED,['building'],291,0.005,0.926,9,0.068
19,t1,Apple,NONE,['other'],245,0.004,0.93,14,0.105
0,t0,nc,GEOMETRY,['highway'],23993,0.237,0.237,160,0.29
1,t0,nc,CREATED,['natural'],8255,0.082,0.319,35,0.064
2,t0,nc,TAG,['other'],7327,0.072,0.391,100,0.181
3,t0,nc,CREATED,['highway'],7036,0.07,0.461,130,0.236
4,t0,nc,CREATED,['building'],6871,0.068,0.528,84,0.152
5,t0,nc,TAG,['highway'],6556,0.065,0.593,116,0.211
6,t0,nc,NONE,['highway'],5449,0.054,0.647,51,0.093
7,t0,nc,NONE,['other'],3684,0.036,0.684,88,0.16
8,t0,nc,CREATED,['landuse'],3132,0.031,0.714,47,0.085
9,t0,nc,GEOMETRY,['landuse'],2596,0.026,0.74,53,0.096
10,t0,nc,CREATED,['waterway'],1745,0.017,0.757,40,0.073
11,t0,nc,CREATED,['other'],1699,0.017,0.774,70,0.127
12,t0,nc,GEOMETRY,['building'],1542,0.015,0.789,38,0.069
13,t0,nc,DELETED,['other'],1435,0.014,0.804,42,0.076
14,t0,nc,TAG,['natural'],1400,0.014,0.817,11,0.02
15,t0,nc,TAG_GEOMETRY,['highway'],1239,0.012,0.83,64,0.116
16,t0,nc,CREATED,['barrier'],856,0.008,0.838,21,0.038
