,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,Amazon,CREATED,['highway'],5588234,0.423,0.423,441,0.474
1,t0,Amazon,GEOMETRY,['highway'],3905273,0.296,0.718,450,0.483
2,t0,Amazon,NONE,['other'],1192121,0.09,0.809,416,0.447
3,t0,Amazon,CREATED,['barrier'],526199,0.04,0.848,413,0.444
4,t0,Amazon,DELETED,['other'],455862,0.034,0.883,396,0.425
5,t0,Amazon,TAG_GEOMETRY,['highway'],272930,0.021,0.904,420,0.451
6,t0,Amazon,TAG,['highway'],204663,0.015,0.919,417,0.448
7,t0,Amazon,CREATED,['building'],75876,0.006,0.925,113,0.121
8,t0,Amazon,DELETED,['highway'],70132,0.005,0.93,410,0.44
9,t0,Lyft,CREATED,['highway'],61060,0.005,0.935,51,0.055
10,t0,Amazon,CREATED,['other'],60212,0.005,0.939,402,0.432
11,t0,Amazon,NONE,['highway'],55863,0.004,0.943,411,0.441
12,t0,Lyft,GEOMETRY,['highway'],50325,0.004,0.947,52,0.056
13,t0,Lyft,TAG,['highway'],40020,0.003,0.95,46,0.049
14,t0,Mapbox,GEOMETRY,['highway'],34203,0.003,0.953,77,0.083
15,t0,Mapbox,NONE,['other'],31850,0.002,0.955,70,0.075
16,t0,Telenav,GEOMETRY,['highway'],30576,0.002,0.958,19,0.02
17,t0,Meta,CREATED,['highway'],28815,0.002,0.96,33,0.035
18,t0,Meta,GEOMETRY,['highway'],27605,0.002,0.962,39,0.042
19,t0,Mapbox,CREATED,['highway'],26400,0.002,0.964,64,0.069
0,t1,Amazon,CREATED,['highway'],877693,0.134,0.134,980,0.587
1,t1,Meta,CREATED,['building'],805308,0.123,0.257,60,0.036
2,t1,Amazon,GEOMETRY,['highway'],780536,0.119,0.376,1144,0.685
3,t1,Lyft,CREATED,['highway'],659241,0.101,0.477,20,0.012
4,t1,Amazon,NONE,['other'],371635,0.057,0.534,807,0.483
5,t1,Lyft,GEOMETRY,['highway'],288737,0.044,0.578,35,0.021
6,t1,Meta,TAG,['other'],251533,0.038,0.617,59,0.035
7,t1,Lyft,TAG,['highway'],196533,0.03,0.647,20,0.012
8,t1,Amazon,TAG,['highway'],149658,0.023,0.669,739,0.443
9,t1,Amazon,DELETED,['other'],141744,0.022,0.691,626,0.375
10,t1,Amazon,TAG_GEOMETRY,['highway'],129713,0.02,0.711,790,0.473
11,t1,Amazon,CREATED,['building'],112395,0.017,0.728,123,0.074
12,t1,Mapbox,GEOMETRY,['highway'],95376,0.015,0.743,95,0.057
13,t1,Meta,GEOMETRY,['building'],84601,0.013,0.756,69,0.041
14,t1,Mapbox,CREATED,['highway'],84162,0.013,0.769,91,0.054
15,t1,Amazon,CREATED,['barrier'],79566,0.012,0.781,748,0.448
16,t1,Lyft,TAG_GEOMETRY,['highway'],79421,0.012,0.793,19,0.011
17,t1,Telenav,CREATED,['highway'],69838,0.011,0.803,17,0.01
18,t1,Meta,NONE,['other'],68331,0.01,0.814,68,0.041
