,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,Microsoft,CREATED,['highway'],90554,0.393,0.393,30,0.186
1,t0,Microsoft,GEOMETRY,['highway'],62951,0.273,0.666,33,0.205
2,t0,Kaart,GEOMETRY,['highway'],17739,0.077,0.743,34,0.211
3,t0,Kaart,CREATED,['highway'],11989,0.052,0.795,34,0.211
4,t0,Kaart,TAG,['highway'],5536,0.024,0.819,25,0.155
5,t0,Apple,NONE,['other'],4549,0.02,0.839,19,0.118
6,t0,Microsoft,TAG,['highway'],4122,0.018,0.857,30,0.186
7,t0,Microsoft,CREATED,['place' 'landuse'],3699,0.016,0.873,5,0.031
8,t0,Microsoft,TAG_GEOMETRY,['highway'],3596,0.016,0.888,29,0.18
9,t0,Microsoft,CREATED,['building'],1911,0.008,0.896,21,0.13
10,t0,Apple,GEOMETRY,['highway'],1554,0.007,0.903,22,0.137
11,t0,Apple,GEOMETRY,['other'],1489,0.006,0.91,36,0.224
12,t0,Apple,GEOMETRY,['waterway'],1479,0.006,0.916,36,0.224
13,t0,Microsoft,CREATED,['barrier'],1387,0.006,0.922,19,0.118
14,t0,Kaart,TAG_GEOMETRY,['highway'],1306,0.006,0.928,31,0.193
15,t0,Microsoft,CREATED,['other'],1255,0.005,0.933,23,0.143
16,t0,Apple,TAG,['other'],1005,0.004,0.938,11,0.068
17,t0,Microsoft,NONE,['highway'],937,0.004,0.942,30,0.186
18,t0,Kaart,TAG,['highway' 'emergency'],895,0.004,0.945,9,0.056
19,t0,Apple,CREATED,['highway'],824,0.004,0.949,10,0.062
0,t1,Kaart,GEOMETRY,['highway'],20092,0.347,0.347,39,0.186
1,t1,Kaart,CREATED,['highway'],11820,0.204,0.551,37,0.176
2,t1,Kaart,TAG,['highway'],3740,0.065,0.616,31,0.148
3,t1,TomTom,GEOMETRY,['highway'],2467,0.043,0.658,38,0.181
4,t1,Apple,GEOMETRY,['highway'],2144,0.037,0.695,51,0.243
5,t1,Microsoft,GEOMETRY,['highway'],2049,0.035,0.731,22,0.105
6,t1,Microsoft,CREATED,['highway'],1557,0.027,0.758,20,0.095
7,t1,Kaart,TAG_GEOMETRY,['highway'],804,0.014,0.771,34,0.162
8,t1,Apple,GEOMETRY,['waterway'],788,0.014,0.785,12,0.057
9,t1,Kaart,NONE,['highway'],747,0.013,0.798,26,0.124
10,t1,Apple,NONE,['other'],718,0.012,0.81,13,0.062
11,t1,Apple,CREATED,['highway'],643,0.011,0.821,29,0.138
12,t1,Apple,GEOMETRY,['aeroway'],574,0.01,0.831,9,0.043
13,t1,Apple,GEOMETRY,['water' 'natural'],540,0.009,0.841,10,0.048
14,t1,Kaart,CREATED,['barrier'],460,0.008,0.849,16,0.076
15,t1,Apple,GEOMETRY,['other'],431,0.007,0.856,16,0.076
16,t1,Microsoft,GEOMETRY,['building'],392,0.007,0.863,9,0.043
17,t1,Kaart,DELETED,['highway'],367,0.006,0.869,28,0.133
18,t1,Microsoft,TAG,['highway'],362,0.006,0.875,16,0.076
19,t1,Apple,TAG,['highway'],336,0.006,0.881,26,0.124
0,t0,nc,CREATED,['building'],117411,0.214,0.214,913,0.567
1,t0,nc,TAG,['highway'],52589,0.096,0.31,187,0.116
2,t0,nc,CREATED,['highway'],46587,0.085,0.395,330,0.205
3,t0,nc,GEOMETRY,['highway'],43265,0.079,0.474,503,0.312
4,t0,nc,TAG,['other'],28802,0.053,0.527,109,0.068
5,t0,nc,CREATED,['power'],26902,0.049,0.576,25,0.016
6,t0,nc,GEOMETRY,['building'],25783,0.047,0.623,418,0.26
7,t0,nc,CREATED,['natural'],16876,0.031,0.654,138,0.086
8,t0,nc,DELETED,['building'],14925,0.027,0.681,250,0.155
9,t0,nc,TAG_GEOMETRY,['highway'],10548,0.019,0.7,142,0.088
10,t0,nc,TAG,['amenity'],9504,0.017,0.717,141,0.088
11,t0,nc,NONE,['other'],8795,0.016,0.733,117,0.073
12,t0,nc,DELETED,['highway'],8221,0.015,0.748,125,0.078
13,t0,nc,NONE,['highway'],8208,0.015,0.763,113,0.07
14,t0,nc,CREATED,['other'],7896,0.014,0.778,143,0.089
15,t0,nc,DELETED,['other'],7150,0.013,0.791,81,0.05
16,t0,nc,TAG,['building'],7130,0.013,0.804,99,0.061
17,t0,nc,NONE,['building'],6684,0.012,0.816,119,0.074
18,t0,nc,CREATED,['waterway'],6676,0.012,0.828,111,0.069
19,t0,nc,CREATED,['amenity'],4697,0.009,0.837,178,0.111
0,t1,nc,TAG,['highway'],106656,0.254,0.254,159,0.213
1,t1,nc,CREATED,['building'],71782,0.171,0.425,185,0.248
2,t1,nc,CREATED,['highway'],31109,0.074,0.5,168,0.226
3,t1,nc,GEOMETRY,['highway'],23510,0.056,0.556,242,0.325
4,t1,nc,CREATED,['place'],14441,0.034,0.59,43,0.058
5,t1,nc,CREATED,['other'],10067,0.024,0.614,89,0.119
6,t1,nc,CREATED,['natural'],8613,0.021,0.635,76,0.102
7,t1,nc,TAG_GEOMETRY,['highway'],8551,0.02,0.655,89,0.119
8,t1,nc,DELETED,['highway'],7439,0.018,0.673,79,0.106
9,t1,nc,TAG,['amenity'],7060,0.017,0.69,118,0.158
10,t1,nc,TAG,['place'],6523,0.016,0.705,65,0.087
11,t1,nc,CREATED,['shop'],6351,0.015,0.72,79,0.106
12,t1,nc,CREATED,['waterway'],5924,0.014,0.734,59,0.079
13,t1,nc,TAG,['highway' 'emergency'],5655,0.013,0.748,5,0.007
14,t1,nc,CREATED,['boundary'],5582,0.013,0.761,14,0.019
15,t1,nc,TAG,['other'],4710,0.011,0.772,81,0.109
16,t1,nc,CREATED,['amenity'],4701,0.011,0.784,113,0.152
17,t1,nc,NONE,['highway'],4423,0.011,0.794,85,0.114
18,t1,nc,TAG,['landuse'],4257,0.01,0.804,51,0.068
19,t1,nc,DELETED,['natural'],3712,0.009,0.813,24,0.032
