,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,Meta,GEOMETRY,['highway'],1613340,0.381,0.381,85,0.2
1,t0,Meta,CREATED,['highway'],1334252,0.315,0.696,82,0.192
2,t0,Grab,CREATED,['highway'],270760,0.064,0.76,140,0.329
3,t0,Grab,GEOMETRY,['highway'],217133,0.051,0.811,144,0.338
4,t0,Meta,DELETED,['highway'],214856,0.051,0.862,79,0.185
5,t0,Meta,TAG_GEOMETRY,['highway'],68627,0.016,0.878,78,0.183
6,t0,Kaart,TAG,['highway'],63022,0.015,0.893,38,0.089
7,t0,Meta,NONE,['highway'],62897,0.015,0.907,69,0.162
8,t0,Meta,TAG,['highway'],58510,0.014,0.921,79,0.185
9,t0,Kaart,GEOMETRY,['highway'],39923,0.009,0.931,38,0.089
10,t0,Meta,GEOMETRY,['building'],35307,0.008,0.939,46,0.108
11,t0,Grab,CREATED,['other'],32666,0.008,0.947,83,0.195
12,t0,Kaart,CREATED,['highway'],31519,0.007,0.954,38,0.089
13,t0,Apple,CREATED,['building'],19362,0.005,0.959,68,0.16
14,t0,Kaart,CREATED,['other'],17976,0.004,0.963,32,0.075
15,t0,Apple,GEOMETRY,['building'],17010,0.004,0.967,62,0.146
16,t0,Grab,TAG,['highway'],14026,0.003,0.97,133,0.312
17,t0,Kaart,TAG_GEOMETRY,['highway'],13137,0.003,0.973,35,0.082
18,t0,Meta,GEOMETRY,['waterway'],9284,0.002,0.976,63,0.148
19,t0,Meta,CREATED,['other'],6965,0.002,0.977,60,0.141
0,t1,Meta,GEOMETRY,['highway'],158733,0.28,0.28,49,0.116
1,t1,Grab,GEOMETRY,['highway'],109977,0.194,0.474,214,0.508
2,t1,Grab,CREATED,['highway'],73862,0.13,0.605,188,0.447
3,t1,Meta,CREATED,['highway'],41858,0.074,0.679,45,0.107
4,t1,Grab,CREATED,['building'],33757,0.06,0.738,14,0.033
5,t1,Grab,TAG,['highway'],30416,0.054,0.792,197,0.468
6,t1,Meta,DELETED,['highway'],14720,0.026,0.818,45,0.107
7,t1,Meta,TAG,['highway'],11320,0.02,0.838,45,0.107
8,t1,Apple,GEOMETRY,['building'],8498,0.015,0.853,5,0.012
9,t1,Grab,TAG_GEOMETRY,['highway'],8178,0.014,0.868,164,0.39
10,t1,Meta,TAG_GEOMETRY,['highway'],7736,0.014,0.881,40,0.095
11,t1,Grab,NONE,['highway'],6437,0.011,0.893,133,0.316
12,t1,Meta,NONE,['highway'],6253,0.011,0.904,46,0.109
13,t1,TomTom,GEOMETRY,['highway'],5939,0.01,0.914,65,0.154
14,t1,Grab,DELETED,['highway'],4966,0.009,0.923,118,0.28
15,t1,Apple,NONE,['building'],3417,0.006,0.929,5,0.012
16,t1,Apple,CREATED,['building'],2975,0.005,0.934,6,0.014
17,t1,Meta,GEOMETRY,['building'],2693,0.005,0.939,34,0.081
18,t1,Grab,CREATED,['other'],2616,0.005,0.943,87,0.207
19,t1,Meta,TAG,['other'],2546,0.004,0.948,30,0.071
0,t0,nc,CREATED,['highway'],960690,0.356,0.356,1324,0.239
1,t0,nc,GEOMETRY,['highway'],918588,0.341,0.697,1997,0.361
2,t0,nc,CREATED,['building'],336388,0.125,0.822,2356,0.426
3,t0,nc,TAG,['highway'],70815,0.026,0.848,806,0.146
4,t0,nc,GEOMETRY,['building'],58661,0.022,0.87,1283,0.232
5,t0,nc,DELETED,['other'],37157,0.014,0.884,184,0.033
6,t0,nc,TAG_GEOMETRY,['highway'],36907,0.014,0.898,607,0.11
7,t0,nc,DELETED,['building'],34091,0.013,0.91,572,0.103
8,t0,nc,DELETED,['highway'],33607,0.012,0.923,601,0.109
9,t0,nc,TAG,['other'],15418,0.006,0.928,383,0.069
10,t0,nc,CREATED,['other'],13972,0.005,0.934,712,0.129
11,t0,nc,TAG,['building'],13200,0.005,0.938,276,0.05
12,t0,nc,CREATED,['amenity'],12868,0.005,0.943,1208,0.218
13,t0,nc,NONE,['highway'],9648,0.004,0.947,571,0.103
14,t0,nc,CREATED,['landuse'],9376,0.003,0.95,367,0.066
15,t0,nc,NONE,['building'],8538,0.003,0.953,304,0.055
16,t0,nc,CREATED,['natural'],7070,0.003,0.956,243,0.044
17,t0,nc,GEOMETRY,['waterway'],6048,0.002,0.958,476,0.086
18,t0,nc,DELETED,['amenity'],5489,0.002,0.96,164,0.03
19,t0,nc,CREATED,['waterway'],5427,0.002,0.962,238,0.043
0,t1,nc,GEOMETRY,['highway'],260171,0.246,0.246,920,0.395
1,t1,nc,CREATED,['highway'],180975,0.171,0.417,633,0.272
2,t1,nc,TAG,['highway'],125384,0.118,0.535,585,0.251
3,t1,nc,CREATED,['building'],92132,0.087,0.622,531,0.228
4,t1,nc,DELETED,['highway'],51211,0.048,0.67,371,0.159
5,t1,nc,TAG_GEOMETRY,['highway'],27537,0.026,0.696,359,0.154
6,t1,nc,CREATED,['power'],24638,0.023,0.719,41,0.018
7,t1,nc,GEOMETRY,['building'],17510,0.017,0.736,367,0.157
8,t1,nc,NONE,['highway'],17063,0.016,0.752,384,0.165
9,t1,nc,DELETED,['building'],16520,0.016,0.768,172,0.074
10,t1,nc,CREATED,['natural'],14721,0.014,0.782,156,0.067
11,t1,nc,CREATED,['amenity'],13681,0.013,0.795,504,0.216
12,t1,nc,TAG,['amenity'],10316,0.01,0.804,291,0.125
13,t1,nc,DELETED,['amenity'],9742,0.009,0.813,146,0.063
14,t1,nc,CREATED,['landuse'],8564,0.008,0.822,181,0.078
15,t1,nc,TAG,['public_transport' 'highway'],8535,0.008,0.83,49,0.021
16,t1,nc,CREATED,['other'],8401,0.008,0.838,400,0.172
17,t1,nc,GEOMETRY,['boundary'],8334,0.008,0.845,144,0.062
18,t1,nc,DELETED,['other'],7831,0.007,0.853,119,0.051
19,t1,nc,DELETED,['shop'],7490,0.007,0.86,72,0.031
