,time_range,corporation,contrib_type,primary_osm_tag_keys,edits,edits_share,edits_cumulative_share,contributors,contributors_share
0,t0,Apple,GEOMETRY,['highway'],363684,0.297,0.297,188,0.524
1,t0,Apple,CREATED,['highway'],192784,0.157,0.455,163,0.454
2,t0,Kaart,TAG,['highway'],168823,0.138,0.592,55,0.153
3,t0,Kaart,GEOMETRY,['highway'],77388,0.063,0.656,55,0.153
4,t0,Apple,NONE,['other'],69581,0.057,0.712,176,0.49
5,t0,Kaart,CREATED,['highway'],61387,0.05,0.763,55,0.153
6,t0,Meta,CREATED,['building'],47290,0.039,0.801,6,0.017
7,t0,Kaart,TAG_GEOMETRY,['highway'],30964,0.025,0.826,53,0.148
8,t0,Apple,TAG,['highway'],29708,0.024,0.851,155,0.432
9,t0,Kaart,NONE,['highway'],19850,0.016,0.867,53,0.148
10,t0,Apple,TAG_GEOMETRY,['highway'],16754,0.014,0.881,153,0.426
11,t0,Bolt,CREATED,['highway'],16476,0.013,0.894,8,0.022
12,t0,Kaart,NONE,['other'],13864,0.011,0.905,49,0.136
13,t0,Apple,TAG,['other'],12909,0.011,0.916,156,0.435
14,t0,Kaart,TAG,['barrier'],12546,0.01,0.926,35,0.097
15,t0,Kaart,TAG,['other'],11391,0.009,0.936,44,0.123
16,t0,Bolt,GEOMETRY,['highway'],7987,0.007,0.942,8,0.022
17,t0,Apple,NONE,['highway'],6909,0.006,0.948,136,0.379
18,t0,Kaart,CREATED,['other'],4391,0.004,0.951,42,0.117
19,t0,Apple,CREATED,['barrier'],4114,0.003,0.955,67,0.187
0,t1,Kaart,TAG,['highway'],45730,0.142,0.142,5,0.008
1,t1,Kaart,GEOMETRY,['highway'],32981,0.102,0.244,5,0.008
2,t1,Kaart,CREATED,['highway'],31261,0.097,0.34,5,0.008
3,t1,TomTom,CREATED,['highway'],22943,0.071,0.411,103,0.168
4,t1,Bolt,CREATED,['highway'],21289,0.066,0.477,43,0.07
5,t1,Bolt,GEOMETRY,['highway'],15491,0.048,0.525,45,0.073
6,t1,Apple,GEOMETRY,['building'],13600,0.042,0.567,71,0.116
7,t1,TomTom,GEOMETRY,['highway'],13097,0.041,0.608,117,0.191
8,t1,Apple,GEOMETRY,['highway'],12753,0.039,0.647,234,0.382
9,t1,Kaart,TAG_GEOMETRY,['highway'],11612,0.036,0.683,5,0.008
10,t1,Apple,CREATED,['highway'],10728,0.033,0.716,209,0.341
11,t1,Apple,NONE,['building'],8550,0.026,0.743,7,0.011
12,t1,Apple,TAG,['highway'],7622,0.024,0.766,209,0.341
13,t1,Kaart,DELETED,['highway'],7381,0.023,0.789,3,0.005
14,t1,Kaart,NONE,['highway'],5694,0.018,0.807,3,0.005
15,t1,Apple,CREATED,['building'],3515,0.011,0.818,11,0.018
16,t1,Kaart,CREATED,['building'],3213,0.01,0.828,3,0.005
17,t1,Amazon,CREATED,['building'],3134,0.01,0.837,43,0.07
18,t1,Microsoft,TAG,['highway'],3112,0.01,0.847,16,0.026
19,t1,Microsoft,CREATED,['highway'],2407,0.007,0.854,17,0.028
0,t0,nc,GEOMETRY,['highway'],1293332,0.381,0.381,1406,0.475
1,t0,nc,CREATED,['highway'],715959,0.211,0.593,1194,0.404
2,t0,nc,CREATED,['building'],239412,0.071,0.663,1115,0.377
3,t0,nc,TAG,['highway'],207254,0.061,0.724,870,0.294
4,t0,nc,NONE,['other'],204785,0.06,0.785,555,0.188
5,t0,nc,TAG,['other'],77196,0.023,0.808,592,0.2
6,t0,nc,TAG_GEOMETRY,['highway'],70004,0.021,0.828,640,0.216
7,t0,nc,CREATED,['power'],47852,0.014,0.842,73,0.025
8,t0,nc,CREATED,['landuse'],38489,0.011,0.854,388,0.131
9,t0,nc,NONE,['highway'],37913,0.011,0.865,560,0.189
10,t0,nc,CREATED,['natural'],35008,0.01,0.875,296,0.1
11,t0,nc,CREATED,['man_made'],30589,0.009,0.884,169,0.057
12,t0,nc,CREATED,['other'],27503,0.008,0.892,681,0.23
13,t0,nc,TAG,['building'],26362,0.008,0.9,369,0.125
14,t0,nc,CREATED,['barrier'],24953,0.007,0.908,288,0.097
15,t0,nc,GEOMETRY,['building'],22502,0.007,0.914,633,0.214
16,t0,nc,GEOMETRY,['railway'],21512,0.006,0.92,246,0.083
17,t0,nc,TAG,['railway'],21373,0.006,0.927,182,0.062
18,t0,nc,DELETED,['highway'],19459,0.006,0.933,497,0.168
19,t0,nc,TAG,['power'],18204,0.005,0.938,51,0.017
0,t1,nc,CREATED,['building'],1091685,0.491,0.491,3735,0.729
1,t1,nc,GEOMETRY,['building'],167519,0.075,0.567,1724,0.337
2,t1,nc,TAG,['highway'],131823,0.059,0.626,642,0.125
3,t1,nc,GEOMETRY,['highway'],102903,0.046,0.672,1898,0.371
4,t1,nc,CREATED,['highway'],100483,0.045,0.718,981,0.192
5,t1,nc,CREATED,['power'],84238,0.038,0.755,78,0.015
6,t1,nc,DELETED,['building'],75267,0.034,0.789,683,0.133
7,t1,nc,CREATED,['landuse'],51132,0.023,0.812,487,0.095
8,t1,nc,NONE,['building'],35869,0.016,0.828,367,0.072
9,t1,nc,CREATED,['natural'],27676,0.012,0.841,400,0.078
10,t1,nc,CREATED,['waterway'],25304,0.011,0.852,201,0.039
11,t1,nc,NONE,['other'],23199,0.01,0.863,514,0.1
12,t1,nc,TAG,['building'],21567,0.01,0.872,572,0.112
13,t1,nc,CREATED,['leisure'],19290,0.009,0.881,578,0.113
14,t1,nc,TAG,['power'],17146,0.008,0.889,66,0.013
15,t1,nc,TAG_GEOMETRY,['highway'],14616,0.007,0.895,366,0.071
16,t1,nc,GEOMETRY,['landuse'],14581,0.007,0.902,563,0.11
17,t1,nc,CREATED,['other'],14238,0.006,0.908,500,0.098
18,t1,nc,TAG,['other'],12090,0.005,0.914,357,0.07
19,t1,nc,CREATED,['water' 'natural'],9685,0.004,0.918,182,0.036
