,corporation,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,Amazon,291.0,912.0,432.0,722.0,1081.0,2323.0,1479,1197.0,570.0
1,AppLogica,,,,,,,2,,
2,Apple,3.0,33.0,67.0,103.0,1121.0,1151.0,573,460.0,371.0
3,Balad,,,1.0,2.0,,2.0,2,1.0,
4,Bolt,,3.0,,4.0,11.0,30.0,46,44.0,18.0
5,DevelopmentSeed,4.0,4.0,4.0,5.0,4.0,3.0,5,5.0,5.0
6,DigitalEgypt,,,1.0,22.0,20.0,24.0,27,24.0,20.0
7,Expedia,69.0,186.0,106.0,3.0,1.0,8.0,12,13.0,9.0
8,Gojek,,,,,2.0,5.0,12,3.0,3.0
9,Grab,3.0,96.0,177.0,464.0,182.0,427.0,314,250.0,129.0
10,Graphmasters,2.0,2.0,4.0,5.0,6.0,7.0,6,4.0,4.0
11,Kaart,46.0,72.0,332.0,456.0,417.0,365.0,167,118.0,157.0
12,Komoot,,,,,1.0,2.0,2,3.0,4.0
13,Kontur,,,1.0,1.0,2.0,2.0,2,2.0,
14,Lightcyphers,,,6.0,8.0,10.0,5.0,1,1.0,1.0
15,Lyft,,,26.0,40.0,35.0,39.0,18,15.0,15.0
16,Mapbox,83.0,64.0,31.0,34.0,80.0,95.0,104,109.0,78.0
17,MeNextBillion,,,,,28.0,1.0,1,,
18,Meta,1.0,24.0,85.0,123.0,177.0,169.0,218,148.0,57.0
19,Microsoft,1.0,3.0,12.0,14.0,47.0,41.0,34,32.0,24.0
20,Neshan,1.0,1.0,1.0,8.0,8.0,11.0,12,12.0,13.0
21,RocketData,,,,,1.0,4.0,5,2.0,2.0
22,Snap,3.0,3.0,3.0,4.0,3.0,3.0,2,3.0,2.0
23,Snapp,1.0,1.0,4.0,6.0,8.0,6.0,8,11.0,8.0
24,Stackbox,,,,,1.0,,12,12.0,4.0
25,TIDBO,,,3.0,5.0,1.0,,1,1.0,1.0
26,Telenav,12.0,21.0,27.0,30.0,9.0,18.0,16,15.0,1.0
27,TfNWS,2.0,3.0,3.0,3.0,3.0,3.0,4,3.0,2.0
28,TomTom,9.0,641.0,2.0,1.0,2.0,106.0,280,124.0,96.0
29,Uber,,2.0,87.0,77.0,21.0,7.0,7,3.0,1.0
30,WIGeoGIS-OMV,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0
31,Wonder,,1.0,1.0,1.0,1.0,2.0,2,1.0,
32,nc,259711.0,315941.0,305230.0,279117.0,299809.0,288153.0,255001,263916.0,198745.0
