,corporation,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,Amazon,38324.0,240667.0,541214.0,3985206.0,7223019.0,6073283.0,939266,612303.0,141545.0
1,AppLogica,,,,,,,4977,,
2,Apple,5834.0,125040.0,1076907.0,2065643.0,14408303.0,12152428.0,3776583,3414275.0,2101325.0
3,Balad,,,3.0,962.0,,22.0,8,6.0,
4,Bolt,,82.0,,29702.0,25782.0,158853.0,193430,54977.0,6414.0
5,DevelopmentSeed,559817.0,158223.0,283715.0,92484.0,68698.0,28786.0,151147,168119.0,69752.0
6,DigitalEgypt,,,1630.0,2919993.0,2279826.0,925386.0,1202121,833052.0,526461.0
7,Expedia,6234.0,32904.0,12411.0,1653.0,2.0,5534.0,11641,12262.0,1318.0
8,Gojek,,,,,2.0,2691.0,1406,330.0,3163.0
9,Grab,30854.0,241506.0,476204.0,736532.0,899725.0,2193255.0,1056829,652006.0,249963.0
10,Graphmasters,16.0,41.0,678.0,41105.0,284238.0,14056.0,25403,26531.0,10776.0
11,Kaart,1701595.0,2216957.0,3734157.0,8568149.0,8084299.0,5503095.0,4633095,3059998.0,1589045.0
12,Komoot,,,,,24.0,16.0,585,473.0,292.0
13,Kontur,,,1776.0,27.0,1397.0,245.0,42429,325.0,
14,Lightcyphers,,,190789.0,57786.0,147633.0,109.0,23,58.0,512.0
15,Lyft,,,18211.0,342657.0,125015.0,206435.0,805473,932985.0,461144.0
16,Mapbox,74378.0,65323.0,27702.0,99230.0,223755.0,417451.0,313319,229354.0,77215.0
17,MeNextBillion,,,,,109000.0,12.0,3,,
18,Meta,5067.0,447901.0,2475779.0,4360806.0,6930498.0,10685781.0,7984176,3118345.0,184029.0
19,Microsoft,69.0,10362.0,311349.0,766491.0,1113810.0,833763.0,444824,469489.0,250714.0
20,Neshan,11.0,20146.0,6.0,197477.0,171865.0,72564.0,199791,213320.0,111898.0
21,RocketData,,,,,11916.0,72183.0,143169,178373.0,102220.0
22,Snap,32721.0,7013.0,1139.0,6159.0,6292.0,9638.0,1516,138.0,76.0
23,Snapp,262.0,1.0,12884.0,54526.0,12951.0,20691.0,47452,54541.0,23703.0
24,Stackbox,,,,,1.0,,30585,19261.0,200.0
25,TIDBO,,,31559.0,62019.0,1036.0,,596,1003.0,47.0
26,Telenav,151475.0,475491.0,597516.0,207167.0,41659.0,122436.0,124246,8756.0,2.0
27,TfNWS,4068.0,5089.0,13295.0,27093.0,9994.0,28449.0,30525,10227.0,6748.0
28,TomTom,552.0,103501.0,11130.0,2.0,25.0,561052.0,710657,1015671.0,399514.0
29,Uber,,6.0,569742.0,223103.0,21716.0,5309.0,1176,800.0,1375.0
30,WIGeoGIS-OMV,136.0,153.0,280.0,162.0,454.0,215.0,659,324.0,245.0
31,Wonder,,5147.0,17006.0,13031.0,36808.0,32171.0,28961,16607.0,
32,nc,161391672.0,188578592.0,213827143.0,203509147.0,238626882.0,260514677.0,245044884,275244555.0,177242476.0
