country_iso_a3,corporation,t0_edits_total,t1_edits_total,diff_edits,norm_diff_edits
AGO,Amazon,285,9,-276,-0.9387755102040817
AGO,Mapbox,128,48,-80,-0.45454545454545453
AGO,Kontur,0,1,1,1.0
AGO,Kaart,1,31,30,0.9375
AGO,Snap,0,34,34,1.0
AGO,Meta,11,395,384,0.9458128078817734
AGO,Microsoft,2,993,991,0.9959798994974874
AGO,TomTom,0,12058,12058,1.0
AGO,Apple,23822,64480,40658,0.46044257208217254
ALB,Kaart,63271,6663,-56608,-0.8094489089713158
ALB,Apple,31852,3087,-28765,-0.8232920232405049
ALB,Lyft,70,0,-70,-1.0
ALB,Lightcyphers,27,0,-27,-1.0
ALB,Grab,5,0,-5,-1.0
ALB,Expedia,0,1,1,1.0
ALB,Amazon,0,3,3,1.0
ALB,DigitalEgypt,0,6,6,1.0
ALB,Mapbox,13,21,8,0.23529411764705882
ALB,Microsoft,2,17,15,0.7894736842105263
ALB,Meta,7,43,36,0.72
ALB,TomTom,0,74,74,1.0
ALB,RocketData,34,171,137,0.6682926829268293
ALB,Kontur,0,1138,1138,1.0
ARE,Kaart,94465,619,-93846,-0.9869799335324555
ARE,Amazon,7875,45,-7830,-0.9886363636363636
ARE,Mapbox,2166,103,-2063,-0.9092111062141913
ARE,Uber,179,0,-179,-1.0
ARE,Snapp,2,0,-2,-1.0
ARE,Snap,0,1,1,1.0
ARE,Telenav,0,2,2,1.0
ARE,Expedia,0,16,16,1.0
ARE,RocketData,1256,1387,131,0.04956488838441166
ARE,Kontur,0,162,162,1.0
ARE,Meta,64,340,276,0.6831683168316832
ARE,TomTom,0,578,578,1.0
ARE,Microsoft,38,719,681,0.8996036988110965
ARE,Apple,12918,645585,632667,0.96076555459884
ARE,DigitalEgypt,3424,970452,967028,0.9929683039729904
BRA,Apple,6348614,1434816,-4913798,-0.6313152427657215
BRA,Uber,227,2,-225,-0.982532751091703
BRA,DevelopmentSeed,79,0,-79,-1.0
BRA,Grab,77,0,-77,-1.0
BRA,Snap,24,10,-14,-0.4117647058823529
BRA,Telenav,0,7,7,1.0
BRA,Expedia,37,75,38,0.3392857142857143
BRA,Kontur,0,116,116,1.0
BRA,Meta,4450,12114,7664,0.46269017145617003
BRA,Mapbox,1273,9851,8578,0.7711254944264653
BRA,Amazon,111,13751,13640,0.9839849949502236
BRA,TomTom,0,39484,39484,1.0
BRA,Microsoft,2364,52807,50443,0.9143028040093527
BRA,Kaart,934595,1504521,569926,0.23366088369720833
CHL,Apple,211687,19605,-192082,-0.8304740328243087
CHL,Microsoft,102662,30520,-72142,-0.5416798065804689
CHL,Meta,1490,145,-1345,-0.8226299694189603
CHL,Uber,881,0,-881,-1.0
CHL,Mapbox,98,39,-59,-0.4306569343065693
CHL,Expedia,0,3,3,1.0
CHL,Kontur,0,7,7,1.0
CHL,RocketData,0,8,8,1.0
CHL,TomTom,0,350,350,1.0
CHL,Komoot,0,558,558,1.0
CHL,Kaart,1194630,1495848,301218,0.11195705744481092
COL,Microsoft,75038,11668,-63370,-0.7308606094157267
COL,DevelopmentSeed,2753,0,-2753,-1.0
COL,Lyft,1395,0,-1395,-1.0
COL,Uber,1205,0,-1205,-1.0
COL,Mapbox,629,135,-494,-0.6465968586387435
COL,Wonder,285,29,-256,-0.8152866242038217
COL,Grab,17,0,-17,-1.0
COL,Snap,5,0,-5,-1.0
COL,Kontur,0,1,1,1.0
COL,Expedia,0,75,75,1.0
COL,Amazon,19,290,271,0.8770226537216829
COL,Meta,787,1850,1063,0.4031095942358741
COL,TomTom,0,7910,7910,1.0
